NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,,,,,6.295064199999615,None,6.295064199999615,None,7.314143600000534,None,10.364564600000449,None,1,4.562797500002489,10.364564600000449,None,,,,,,,,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,1,1,1,,,,,,,,,,,14.996883899999375,None,2,1.987084300002607,14.996883899999375,None,,,,,,,,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,2,2,2,,,,,,,,,,,17.05220740000368,None,3,4.782330100002582,17.05220740000368,None,,,,,,,,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,3,3,3,,,,,,,,,,,21.91340620000119,None,1,3.3024886999992304,21.91340620000119,None,,,,,,,,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,4,4,4,,,,,,,,,,,25.322795200001565,None,2,1.291089500002272,25.322795200001565,None,,,,,,,,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,5,5,5,,,,,,,,,,,26.712565800000448,None,3,1.3118928000039887,26.712565800000448,None,,,,,,,,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,6,6,6,,,,,,,,,,,28.107762500003446,None,1,0.8900768000021344,28.107762500003446,None,,,,,,,,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,7,7,7,,,,,,,,,,,29.080419700003404,None,3,1.9483737999980804,29.080419700003404,None,,,,,,,,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,8,8,8,,,,,,,,,,,31.107634799998777,None,2,0.6552781999998842,31.107634799998777,None,,,,,,,,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,9,9,9,,,,,,,,,,,31.836678200001188,None,3,1.0055674999966868,31.836678200001188,None,,,,,,,,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,10,10,10,,,,,,,,,,,32.913059300000896,None,1,0.5710870999973849,32.913059300000896,None,,,,,,,,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
