NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,6.2206268000009,None,6.2206268000009,None,7.280690499996126,None,10.331614899994747,None,1,1.0710485000017798,10.331614899994747,None,,,,,,,,,,,,,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,11.49827959999675,None,2,0.6254939999998896,11.49827959999675,None,,,,,,,,,,,,,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,12.220918099999835,None,3,0.04939659999945434,12.220918099999835,None,,,,,,,,,,,,,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,12.346030499997141,None,1,0.08988809999573277,12.346030499997141,None,,,,,,,,,,,,,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,12.51266239999677,None,2,0.0406924999988405,12.51266239999677,None,,,,,,,,,,,,,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,12.62366469999688,None,3,0.01553799999965122,12.62366469999688,None,,,,,,,,,,,,,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,12.720771199994488,None,1,0.07104149999941001,12.720771199994488,None,,,,,,,,,,,,,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,12.873433599997952,None,3,0.10539319999952568,12.873433599997952,None,,,,,,,,,,,,,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,13.047275099997933,None,2,0.14108910000504693,13.047275099997933,None,,,,,,,,,,,,,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,13.262458099998184,None,3,0.7753073999992921,13.262458099998184,None,,,,,,,,,,,,,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,14.11665609999909,None,1,0.23863279999932274,14.11665609999909,None,,,,,,,,,,,,,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,14.429104799994093,None,2,0.36997189999965485,14.429104799994093,None,,,,,,,,,,,,,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,14.880549900000915,None,None,,14.880549900000915,None,,,,,,,,,,,,,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,,,,,,,,,0,0,0,0,,,,,15.885112899995875,None,,,,,,,,,,,,18.92881739999575,None,['2'],1,[0.7855104000045685],18.92881739999575,None,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,19.783542799996212,None,"['3', '1']",1,"[0.07066960000520339, 0.21007259999896633]",19.783542799996212,None,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,20.109260500001255,None,['2'],1,[0.06854700000258163],20.109260500001255,None,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,20.248460399998294,None,['3'],1,[-0.044083600005251355],20.248460399998294,None,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,20.33184159999655,None,"['1', '2']",1,"[0.02291490000061458, 0.14223499999934575]",20.33184159999655,None,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,20.553815999999642,None,['3'],1,[-0.013640600001963321],20.553815999999642,None,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,20.630408199998783,None,"['1', '2']",1,"[0.03787220000231173, 0.14967859999887878]",20.630408199998783,None,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,20.866646099995705,None,"['3', '1']",1,"[-0.00953049999952782, 0.12932590000127675]",20.866646099995705,None,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,21.102952199995343,None,['2'],1,[-0.0493408999973326],21.102952199995343,None,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,21.17176489999838,None,"['3', '1']",1,"[-0.0023380999991786666, 0.12050430000090273]",21.17176489999838,None,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,21.36631699999998,None,['2'],1,[1.479999627918005e-05],21.36631699999998,None,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,21.442741799997748,None,['3'],1,[0.04277100000035716],21.442741799997748,None,,001,2021_Nov_15_1445,TMTAB,2021.2.3,143.9565596612244,
