NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,6.0008565000025555,None,6.0008565000025555,None,6.588864799996372,None,9.639597300003516,None,1,1.6371973999921465,9.639597300003516,None,,001,2021_Nov_15_1744,TMTAB,2021.2.3,144.31555463962454,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,11.36934590000601,None,2,0.3728230000124313,11.36934590000601,None,,001,2021_Nov_15_1744,TMTAB,2021.2.3,144.31555463962454,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,11.813560499998857,None,3,0.24218730001302902,11.813560499998857,None,,001,2021_Nov_15_1744,TMTAB,2021.2.3,144.31555463962454,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,12.161105200008024,None,1,0.037503699990338646,12.161105200008024,None,,001,2021_Nov_15_1744,TMTAB,2021.2.3,144.31555463962454,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,12.271829999997863,None,2,0.1106790999911027,12.271829999997863,None,,001,2021_Nov_15_1744,TMTAB,2021.2.3,144.31555463962454,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,12.45252839999739,None,3,0.7863461000088137,12.45252839999739,None,,001,2021_Nov_15_1744,TMTAB,2021.2.3,144.31555463962454,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,13.313553100000718,None,1,0.11143610000726767,13.313553100000718,None,,001,2021_Nov_15_1744,TMTAB,2021.2.3,144.31555463962454,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,13.494165199997951,None,3,0.13797119999071583,13.494165199997951,None,,001,2021_Nov_15_1744,TMTAB,2021.2.3,144.31555463962454,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,13.73756740000681,None,2,0.5052453999960562,13.73756740000681,None,,001,2021_Nov_15_1744,TMTAB,2021.2.3,144.31555463962454,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,14.334331399993971,None,3,0.581117900001118,14.334331399993971,None,,001,2021_Nov_15_1744,TMTAB,2021.2.3,144.31555463962454,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,15.015292500000214,None,1,0.6174375999980839,15.015292500000214,None,,001,2021_Nov_15_1744,TMTAB,2021.2.3,144.31555463962454,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,15.709208300002501,None,2,0.42666389999794774,15.709208300002501,None,,001,2021_Nov_15_1744,TMTAB,2021.2.3,144.31555463962454,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,16.216513599996688,None,None,,16.216513599996688,None,,001,2021_Nov_15_1744,TMTAB,2021.2.3,144.31555463962454,
