NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,7.740482099994551,None,7.740482099994551,None,8.097823999996763,None,11.168795899997349,None,1,0.446994599988102,11.168795899997349,None,,,,,,,001,2021_Nov_17_1052,TMTAB,2021.2.3,144.4773531530877,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,11.73182829999132,None,2,0.25459090000367723,11.73182829999132,None,,,,,,,001,2021_Nov_17_1052,TMTAB,2021.2.3,144.4773531530877,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,12.106681999997818,None,3,0.2726784999977099,12.106681999997818,None,,,,,,,001,2021_Nov_17_1052,TMTAB,2021.2.3,144.4773531530877,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,12.5045214999991,None,1,0.28875649999827147,12.5045214999991,None,,,,,,,001,2021_Nov_17_1052,TMTAB,2021.2.3,144.4773531530877,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,12.909104299993487,None,2,0.25902729999506846,12.909104299993487,None,,,,,,,001,2021_Nov_17_1052,TMTAB,2021.2.3,144.4773531530877,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,13.267264199996134,None,3,0.308956599998055,13.267264199996134,None,,,,,,,001,2021_Nov_17_1052,TMTAB,2021.2.3,144.4773531530877,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,13.691917399992235,None,1,0.023138899996411055,13.691917399992235,None,,,,,,,001,2021_Nov_17_1052,TMTAB,2021.2.3,144.4773531530877,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,13.808741000000737,None,3,0.08857049999642186,13.808741000000737,None,,,,,,,001,2021_Nov_17_1052,TMTAB,2021.2.3,144.4773531530877,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,13.989138599994476,None,2,1.0193150999984937,13.989138599994476,None,,,,,,,001,2021_Nov_17_1052,TMTAB,2021.2.3,144.4773531530877,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,15.120511300003272,None,3,0.47189719999732915,15.120511300003272,None,,,,,,,001,2021_Nov_17_1052,TMTAB,2021.2.3,144.4773531530877,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,15.670144100004109,None,1,0.45749570000043605,15.670144100004109,None,,,,,,,001,2021_Nov_17_1052,TMTAB,2021.2.3,144.4773531530877,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,16.21118569999817,None,2,0.63919299999543,16.21118569999817,None,,,,,,,001,2021_Nov_17_1052,TMTAB,2021.2.3,144.4773531530877,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,16.919163999991724,None,None,,16.919163999991724,None,,,,,,,001,2021_Nov_17_1052,TMTAB,2021.2.3,144.4773531530877,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,17.981706329999724,None,None,17.981706329999724,None,,001,2021_Nov_17_1052,TMTAB,2021.2.3,144.4773531530877,
,,,,,,,,,,,,,,,,,,,,,,17.98700850000023,None,,,,,,,,,,,,,,,,,,
