NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,3,TMT-A_1_1.png,TMT-A_1_1.png,TMT-A_1_1.png,0,0,0,0,,,,,,,,,6.084777299998677,None,6.084777299998677,None,8.448580900003435,None,3,1,3.337076399999205,8.448580900003435,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
2,1,TMT-A_1_1.png,TMT-A_1_1firstgreen.png,TMT-A_1_1firstred.png,0,1,1,1,,,,,,,,,,,,,11.854399699994246,None,1,1,0.3736266999912914,11.854399699994246,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
3,2,TMT-A_1_1linestimulus0.png,TMT-A_1_1greenlinestimulus0.png,TMT-A_1_1redlinestimulus0.png,0,2,2,2,,,,,,,,,,,,,12.290849500001059,None,2,1,0.11076960001082625,12.290849500001059,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
4,3,TMT-A_1_1linestimulus1.png,TMT-A_1_1greenlinestimulus1.png,TMT-A_1_1redlinestimulus1.png,0,3,3,3,,,,,,,,,,,,,12.463034300002619,None,1,0,0.4699759999930393,12.463034300002619,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
5,2,TMT-A_1_1linestimulus2.png,TMT-A_1_1greenlinestimulus2.png,TMT-A_1_1redlinestimulus2.png,0,4,4,4,,,,,,,,,,,,,13.00034319999395,None,2,1,0.35835349999251775,13.00034319999395,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
6,1,TMT-A_1_1linestimulus3.png,TMT-A_1_1greenlinestimulus3.png,TMT-A_1_1redlinestimulus3.png,0,5,5,5,,,,,,,,,,,,,13.424596400000155,None,3,0,0.1228397000086261,13.424596400000155,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
7,3,TMT-A_1_1linestimulus4.png,TMT-A_1_1greenlinestimulus4.png,TMT-A_1_1redlinestimulus4.png,0,6,6,6,,,,,,,,,,,,,13.611703799993847,None,1,0,0.06793189999007154,13.611703799993847,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
8,1,TMT-A_1_1linestimulus5.png,TMT-A_1_1greenlinestimulus5.png,TMT-A_1_1redlinestimulus5.png,0,7,7,7,,,,,,,,,,,,,13.746294700002181,None,2,0,0.07154560000344645,13.746294700002181,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
9,3,TMT-A_1_1linestimulus6.png,TMT-A_1_1greenlinestimulus6.png,TMT-A_1_1redlinestimulus6.png,0,8,8,8,,,,,,,,,,,,,13.883316499995999,None,3,1,0.026624799997080117,13.883316499995999,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
10,1,TMT-A_1_1linestimulus7.png,TMT-A_1_1greenlinestimulus7.png,TMT-A_1_1redlinestimulus7.png,0,9,9,9,,,,,,,,,,,,,13.975950199994259,None,1,1,0.37834830000065267,13.975950199994259,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
11,2,TMT-A_1_1linestimulus8.png,TMT-A_1_1greenlinestimulus8.png,TMT-A_1_1redlinestimulus8.png,0,10,10,10,,,,,,,,,,,,,14.416622999997344,None,2,1,0.28207770000153687,14.416622999997344,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
12,1,TMT-A_1_1linestimulus9.png,TMT-A_1_1greenlinestimulus9.png,TMT-A_1_1redlinestimulus9.png,0,11,11,11,,,,,,,,,,,,,14.764628999997512,None,1,1,0.6859000999975251,14.764628999997512,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
None,None,None,TMT-A_1_1greenlinestimulus10.png,TMT-A_1_1redlinestimulus10.png,0,12,12,12,,,,,,,,,,,,,15.515984300000127,None,None,1,,15.515984300000127,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
1,2,TMT-A_1_2.png,TMT-A_1_2.png,TMT-A_1_2.png,,,,,0,0,0,0,,,,,,,,,19.567527299994254,None,3,0,0.7037876999966102,19.567527299994254,None,16.51905600000464,None,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
2,3,TMT-A_1_2.png,TMT-A_1_2firstgreen.png,TMT-A_1_2firstred.png,,,,,0,1,1,1,,,,,,,,,20.336986800000886,None,1,0,0.192169300004025,20.336986800000886,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
3,1,TMT-A_1_2linestimulus0.png,TMT-A_1_2greenlinestimulus0.png,TMT-A_1_2redlinestimulus0.png,,,,,0,2,2,2,,,,,,,,,20.5949774000037,None,2,0,0.08890299999620765,20.5949774000037,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
4,2,TMT-A_1_2linestimulus1.png,TMT-A_1_2greenlinestimulus1.png,TMT-A_1_2redlinestimulus1.png,,,,,0,3,3,3,,,,,,,,,20.746377400006168,None,3,0,0.056989799995790236,20.746377400006168,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
5,3,TMT-A_1_2linestimulus2.png,TMT-A_1_2greenlinestimulus2.png,TMT-A_1_2redlinestimulus2.png,,,,,0,4,4,4,,,,,,,,,20.86467530000664,None,2,0,0.8059300999884726,20.86467530000664,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
6,1,TMT-A_1_2linestimulus3.png,TMT-A_1_2greenlinestimulus3.png,TMT-A_1_2redlinestimulus3.png,,,,,0,5,5,5,,,,,,,,,21.732597399997758,None,3,0,0.3772865000064485,21.732597399997758,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
