NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,6.10013120000076,None,6.8642909999907715,None,1,0.5484049000078812,6.8642909999907715,None,,,,,,,,,,001,2021_Nov_17_1541,TMTAB,2021.2.3,142.81735803108367,
1,['1'],TMT-A_1_practice.png,TMT-A_1_practice.png,TMT-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,7.429687700001523,None,10.497764999992796,None,1,1.058893800000078,10.497764999992796,None,,001,2021_Nov_17_1541,TMTAB,2021.2.3,142.81735803108367,
2,['2'],TMT-A_1_practice.png,TMT-A_1_practicefirstgreen.png,TMT-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,11.629403300001286,None,2,2.01182109999354,11.629403300001286,None,,001,2021_Nov_17_1541,TMTAB,2021.2.3,142.81735803108367,
3,['3'],TMT-A_1_practicelinestimulus0.png,TMT-A_1_practicegreenlinestimulus0.png,TMT-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,13.719673200001125,None,3,0.604024499989464,13.719673200001125,None,,001,2021_Nov_17_1541,TMTAB,2021.2.3,142.81735803108367,
4,['1'],TMT-A_1_practicelinestimulus1.png,TMT-A_1_practicegreenlinestimulus1.png,TMT-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,14.393385299990769,None,1,0.3480165999935707,14.393385299990769,None,,001,2021_Nov_17_1541,TMTAB,2021.2.3,142.81735803108367,
5,['2'],TMT-A_1_practicelinestimulus2.png,TMT-A_1_practicegreenlinestimulus2.png,TMT-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,14.816892799994093,None,2,0.3290817999950377,14.816892799994093,None,,001,2021_Nov_17_1541,TMTAB,2021.2.3,142.81735803108367,
6,['3'],TMT-A_1_practicelinestimulus3.png,TMT-A_1_practicegreenlinestimulus3.png,TMT-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,15.226926999996067,None,3,0.0015081000019563362,15.226926999996067,None,,001,2021_Nov_17_1541,TMTAB,2021.2.3,142.81735803108367,
7,['1'],TMT-A_1_practicelinestimulus4.png,TMT-A_1_practicegreenlinestimulus4.png,TMT-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,15.303329000002122,None,1,0.12538860000495333,15.303329000002122,None,,001,2021_Nov_17_1541,TMTAB,2021.2.3,142.81735803108367,
8,['3'],TMT-A_1_practicelinestimulus5.png,TMT-A_1_practicegreenlinestimulus5.png,TMT-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,15.504667200002586,None,3,0.10014690000389237,15.504667200002586,None,,001,2021_Nov_17_1541,TMTAB,2021.2.3,142.81735803108367,
9,['2'],TMT-A_1_practicelinestimulus6.png,TMT-A_1_practicegreenlinestimulus6.png,TMT-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,15.678026599998702,None,1,0.09399210000992753,15.678026599998702,None,,001,2021_Nov_17_1541,TMTAB,2021.2.3,142.81735803108367,
10,['3'],TMT-A_1_practicelinestimulus7.png,TMT-A_1_practicegreenlinestimulus7.png,TMT-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,15.851756499992916,None,3,0.05361219999031164,15.851756499992916,None,,001,2021_Nov_17_1541,TMTAB,2021.2.3,142.81735803108367,
11,['1'],TMT-A_1_practicelinestimulus8.png,TMT-A_1_practicegreenlinestimulus8.png,TMT-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,15.983753099993919,None,1,0.1553974999987986,15.983753099993919,None,,001,2021_Nov_17_1541,TMTAB,2021.2.3,142.81735803108367,
12,['2'],TMT-A_1_practicelinestimulus9.png,TMT-A_1_practicegreenlinestimulus9.png,TMT-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,16.212881200000993,None,2,0.02669159999641124,16.212881200000993,None,,001,2021_Nov_17_1541,TMTAB,2021.2.3,142.81735803108367,
None,None,TMT-A_1_practicelinestimulus10.png,TMT-A_1_practicegreenlinestimulus10.png,TMT-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,16.310104299991508,None,3,0.006924500004970469,16.310104299991508,None,,001,2021_Nov_17_1541,TMTAB,2021.2.3,142.81735803108367,
