NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,6.289334999994026,None,7.372876099994755,None,3,0.7189940000098431,7.372876099994755,None,,,,,,,,,,,001,2021_Nov_17_1546,TMTAB,2021.2.3,143.6657759594603,
1,['1'],TMT-A_1_practice.png,TMT-A_1_practice.png,TMT-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,8.110122500002035,None,11.1734160999913,None,1,0,1.0436654999939492,11.1734160999913,None,,001,2021_Nov_17_1546,TMTAB,2021.2.3,143.6657759594603,
2,['2'],TMT-A_1_practice.png,TMT-A_1_practicefirstgreen.png,TMT-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,12.28406289999839,None,2,0,2.748051500006113,12.28406289999839,None,,001,2021_Nov_17_1546,TMTAB,2021.2.3,143.6657759594603,
3,['3'],TMT-A_1_practicelinestimulus0.png,TMT-A_1_practicegreenlinestimulus0.png,TMT-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,15.110335499994108,None,3,0,1.2288995000126306,15.110335499994108,None,,001,2021_Nov_17_1546,TMTAB,2021.2.3,143.6657759594603,
4,['1'],TMT-A_1_practicelinestimulus1.png,TMT-A_1_practicegreenlinestimulus1.png,TMT-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,16.402270599995973,None,1,0,0.3267736999987392,16.402270599995973,None,,001,2021_Nov_17_1546,TMTAB,2021.2.3,143.6657759594603,
5,['2'],TMT-A_1_practicelinestimulus2.png,TMT-A_1_practicegreenlinestimulus2.png,TMT-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,16.80539090000093,None,2,0,0.05169220000971109,16.80539090000093,None,,001,2021_Nov_17_1546,TMTAB,2021.2.3,143.6657759594603,
6,['3'],TMT-A_1_practicelinestimulus3.png,TMT-A_1_practicegreenlinestimulus3.png,TMT-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,16.9298839999974,None,3,0,0.03936580001027323,16.9298839999974,None,,001,2021_Nov_17_1546,TMTAB,2021.2.3,143.6657759594603,
7,['1'],TMT-A_1_practicelinestimulus4.png,TMT-A_1_practicegreenlinestimulus4.png,TMT-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,17.0477882999985,None,1,0,0.1683847000094829,17.0477882999985,None,,001,2021_Nov_17_1546,TMTAB,2021.2.3,143.6657759594603,
8,['3'],TMT-A_1_practicelinestimulus5.png,TMT-A_1_practicegreenlinestimulus5.png,TMT-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,17.291499099999783,None,3,0,0.274910699998145,17.291499099999783,None,,001,2021_Nov_17_1546,TMTAB,2021.2.3,143.6657759594603,
9,['2'],TMT-A_1_practicelinestimulus6.png,TMT-A_1_practicegreenlinestimulus6.png,TMT-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,17.645174199991743,None,1,0,0.09122400000342168,17.645174199991743,None,,001,2021_Nov_17_1546,TMTAB,2021.2.3,143.6657759594603,
10,['3'],TMT-A_1_practicelinestimulus7.png,TMT-A_1_practicegreenlinestimulus7.png,TMT-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,17.825450999996974,None,3,0,0.12136869999812916,17.825450999996974,None,,001,2021_Nov_17_1546,TMTAB,2021.2.3,143.6657759594603,
11,['1'],TMT-A_1_practicelinestimulus8.png,TMT-A_1_practicegreenlinestimulus8.png,TMT-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,18.033999799998128,None,1,0,0.39613170000666287,18.033999799998128,None,,001,2021_Nov_17_1546,TMTAB,2021.2.3,143.6657759594603,
12,['2'],TMT-A_1_practicelinestimulus9.png,TMT-A_1_practicegreenlinestimulus9.png,TMT-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,18.506322100001853,None,3,0,0.2063299999863375,18.506322100001853,None,,001,2021_Nov_17_1546,TMTAB,2021.2.3,143.6657759594603,
None,None,TMT-A_1_practicelinestimulus10.png,TMT-A_1_practicegreenlinestimulus10.png,TMT-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,18.783800999997766,None,None,1,,18.783800999997766,None,,001,2021_Nov_17_1546,TMTAB,2021.2.3,143.6657759594603,
