NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,6.143580799995107,None,6.824307499991846,None,2,0.43963300000177696,6.824307499991846,None,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
1,1,TMT-A_1_practice.png,TMT-A_1_practice.png,TMT-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,7.283694300000207,None,10.35374910000246,None,1,1,0.5237429999979213,10.35374910000246,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
2,2,TMT-A_1_practice.png,TMT-A_1_practicefirstgreen.png,TMT-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,10.950668199991924,None,3,0,0.11783019998983946,10.950668199991924,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
3,3,TMT-A_1_practicelinestimulus0.png,TMT-A_1_practicegreenlinestimulus0.png,TMT-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,11.145424399990588,None,1,0,0.09705680000479333,11.145424399990588,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
4,1,TMT-A_1_practicelinestimulus1.png,TMT-A_1_practicegreenlinestimulus1.png,TMT-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,11.31886499999382,None,2,0,0.005634400004055351,11.31886499999382,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
5,2,TMT-A_1_practicelinestimulus2.png,TMT-A_1_practicegreenlinestimulus2.png,TMT-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,11.402118899990455,None,3,0,0.014646499999798834,11.402118899990455,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
6,3,TMT-A_1_practicelinestimulus3.png,TMT-A_1_practicegreenlinestimulus3.png,TMT-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,11.499290599997039,None,2,0,2.2996119000017643,11.499290599997039,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
7,1,TMT-A_1_practicelinestimulus4.png,TMT-A_1_practicegreenlinestimulus4.png,TMT-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,13.874303699994925,None,1,1,0.32278309999674093,13.874303699994925,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
8,3,TMT-A_1_practicelinestimulus5.png,TMT-A_1_practicegreenlinestimulus5.png,TMT-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,14.292105799991987,None,2,0,0.014534099987940863,14.292105799991987,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
9,2,TMT-A_1_practicelinestimulus6.png,TMT-A_1_practicegreenlinestimulus6.png,TMT-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,14.397215499993763,None,1,0,0.18336470000213012,14.397215499993763,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
