NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,6.30471199999738,None,6.881274699990172,None,2,0.4322154999972554,6.881274699990172,None,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
1,1,TMT-A_1_practice.png,TMT-A_1_practice.png,TMT-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,7.3338693999976385,None,10.42505109999911,None,2,0,0.37416039999516215,10.42505109999911,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
2,2,TMT-A_1_practice.png,TMT-A_1_practicefirstgreen.png,TMT-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,10.875772699990193,None,3,0,0.10629090000293218,10.875772699990193,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
3,3,TMT-A_1_practicelinestimulus0.png,TMT-A_1_practicegreenlinestimulus0.png,TMT-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,11.056782100000419,None,2,0,0.11558310000691563,11.056782100000419,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
4,1,TMT-A_1_practicelinestimulus1.png,TMT-A_1_practicegreenlinestimulus1.png,TMT-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,11.251120399989304,None,1,1,0.12927059999492485,11.251120399989304,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
5,2,TMT-A_1_practicelinestimulus2.png,TMT-A_1_practicegreenlinestimulus2.png,TMT-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,11.459168899993529,None,2,1,0.008865399999194779,11.459168899993529,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
6,3,TMT-A_1_practicelinestimulus3.png,TMT-A_1_practicegreenlinestimulus3.png,TMT-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,11.543110999991768,None,3,1,0.006223099990165792,11.543110999991768,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
7,1,TMT-A_1_practicelinestimulus4.png,TMT-A_1_practicegreenlinestimulus4.png,TMT-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,11.632889299988165,None,1,1,0.05089469999074936,11.632889299988165,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
8,3,TMT-A_1_practicelinestimulus5.png,TMT-A_1_practicegreenlinestimulus5.png,TMT-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,11.764930799996364,None,3,1,0.08607629999460187,11.764930799996364,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
9,2,TMT-A_1_practicelinestimulus6.png,TMT-A_1_practicegreenlinestimulus6.png,TMT-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,11.931350400001975,None,1,0,0.03988009999739006,11.931350400001975,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
10,3,TMT-A_1_practicelinestimulus7.png,TMT-A_1_practicegreenlinestimulus7.png,TMT-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,12.04258999999729,None,3,1,0.3505130999983521,12.04258999999729,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
11,1,TMT-A_1_practicelinestimulus8.png,TMT-A_1_practicegreenlinestimulus8.png,TMT-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,12.466009299998404,None,1,1,0.27799010000308044,12.466009299998404,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
12,2,TMT-A_1_practicelinestimulus9.png,TMT-A_1_practicegreenlinestimulus9.png,TMT-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,12.820222399997874,None,2,1,0.32572110000182875,12.820222399997874,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
None,None,TMT-A_1_practicelinestimulus10.png,TMT-A_1_practicegreenlinestimulus10.png,TMT-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,13.23116630000004,None,None,1,,13.23116630000004,None,,,,,,,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.262204899991048,None,2,0.6824191000050632,14.262204899991048,None,,,,,,,,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
1,3,TMT-A_1_1.png,TMT-A_1_1.png,TMT-A_1_1.png,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,14.963308299993514,None,,,,,,,,,,,,,,18.014966999995522,None,['1'],0,[0.4339423999917926],18.014966999995522,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
2,1,TMT-A_1_1.png,TMT-A_1_1firstgreen.png,TMT-A_1_1firstred.png,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.521449199994095,None,['2'],0,[0.029685600005905144],18.521449199994095,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
3,2,TMT-A_1_1linestimulus0.png,TMT-A_1_1greenlinestimulus0.png,TMT-A_1_1redlinestimulus0.png,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.632480899992515,None,['3'],0,[0.0103703999920981],18.632480899992515,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
4,3,TMT-A_1_1linestimulus1.png,TMT-A_1_1greenlinestimulus1.png,TMT-A_1_1redlinestimulus1.png,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.716190799998003,None,['1'],0,[0.10191680000571068],18.716190799998003,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
5,2,TMT-A_1_1linestimulus2.png,TMT-A_1_1greenlinestimulus2.png,TMT-A_1_1redlinestimulus2.png,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.889531399996486,None,['1'],0,[0.1824456000031205],18.889531399996486,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
6,1,TMT-A_1_1linestimulus3.png,TMT-A_1_1greenlinestimulus3.png,TMT-A_1_1redlinestimulus3.png,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.14687209999829,None,['2'],0,[0.007060200005071238],19.14687209999829,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
7,3,TMT-A_1_1linestimulus4.png,TMT-A_1_1greenlinestimulus4.png,TMT-A_1_1redlinestimulus4.png,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.229605799991987,None,['3'],0,[0.01140839999425225],19.229605799991987,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
8,1,TMT-A_1_1linestimulus5.png,TMT-A_1_1greenlinestimulus5.png,TMT-A_1_1redlinestimulus5.png,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.31336659999215,None,['1'],0,[0.12283839999872725],19.31336659999215,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
9,3,TMT-A_1_1linestimulus6.png,TMT-A_1_1greenlinestimulus6.png,TMT-A_1_1redlinestimulus6.png,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.514822600001935,None,['2'],0,[0.010207300001638941],19.514822600001935,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
10,1,TMT-A_1_1linestimulus7.png,TMT-A_1_1greenlinestimulus7.png,TMT-A_1_1redlinestimulus7.png,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.597871099991607,None,['3'],0,[0.011666400008834898],19.597871099991607,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
11,2,TMT-A_1_1linestimulus8.png,TMT-A_1_1greenlinestimulus8.png,TMT-A_1_1redlinestimulus8.png,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.68150739998964,None,['1'],0,[0.2264621999929659],19.68150739998964,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
12,1,TMT-A_1_1linestimulus9.png,TMT-A_1_1greenlinestimulus9.png,TMT-A_1_1redlinestimulus9.png,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.987003299989738,None,['3'],0,[0.8871220000000903],19.987003299989738,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
None,None,None,TMT-A_1_1greenlinestimulus10.png,TMT-A_1_1redlinestimulus10.png,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.944966199996998,None,None,1,,20.944966199996998,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
1,2,TMT-A_1_2.png,TMT-A_1_2.png,TMT-A_1_2.png,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,21.942806199993356,None,,,,,,,,,,,,,,24.993420599988895,None,['2'],0,[1.0718562999973074],24.993420599988895,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
2,3,TMT-A_1_2.png,TMT-A_1_2firstgreen.png,TMT-A_1_2firstred.png,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.139411299998756,None,['1'],0,[0.5741397999954643],26.139411299998756,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
3,1,TMT-A_1_2linestimulus0.png,TMT-A_1_2greenlinestimulus0.png,TMT-A_1_2redlinestimulus0.png,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.792022800000268,None,['3'],0,[1.4399160000029951],26.792022800000268,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
4,2,TMT-A_1_2linestimulus1.png,TMT-A_1_2greenlinestimulus1.png,TMT-A_1_2redlinestimulus1.png,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.298926999996183,None,['1'],0,[0.09525759999814909],28.298926999996183,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
5,3,TMT-A_1_2linestimulus2.png,TMT-A_1_2greenlinestimulus2.png,TMT-A_1_2redlinestimulus2.png,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.465634899999714,None,['2'],0,[-0.031323999995947815],28.465634899999714,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
6,1,TMT-A_1_2linestimulus3.png,TMT-A_1_2greenlinestimulus3.png,TMT-A_1_2redlinestimulus3.png,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.555557300001965,None,['3'],0,[-0.0074801000009756535],28.555557300001965,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
7,3,TMT-A_1_2linestimulus4.png,TMT-A_1_2greenlinestimulus4.png,TMT-A_1_2redlinestimulus4.png,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.632051699998556,None,['1'],0,[0.08124809998844285],28.632051699998556,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
8,2,TMT-A_1_2linestimulus5.png,TMT-A_1_2greenlinestimulus5.png,TMT-A_1_2redlinestimulus5.png,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.792234399996232,None,['2'],0,[-0.029576700006145984],28.792234399996232,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
9,3,TMT-A_1_2linestimulus6.png,TMT-A_1_2greenlinestimulus6.png,TMT-A_1_2redlinestimulus6.png,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.861484699998982,None,['3'],0,[0.03059299998858478],28.861484699998982,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
10,2,TMT-A_1_2linestimulus7.png,TMT-A_1_2greenlinestimulus7.png,TMT-A_1_2redlinestimulus7.png,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.96566570000141,None,['1'],0,[0.12878919999639038],28.96566570000141,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
11,1,TMT-A_1_2linestimulus8.png,TMT-A_1_2greenlinestimulus8.png,TMT-A_1_2redlinestimulus8.png,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.167026199997053,None,['2'],0,[-0.02667490000021644],29.167026199997053,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
12,3,TMT-A_1_2linestimulus9.png,TMT-A_1_2greenlinestimulus9.png,TMT-A_1_2redlinestimulus9.png,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.236415899998974,None,['3'],0,[0.998333299998194],29.236415899998974,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
None,None,None,TMT-A_1_2greenlinestimulus10.png,TMT-A_1_2redlinestimulus10.png,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.30584960000124,None,None,1,,30.30584960000124,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
1,2,TMT-A_1_3.png,TMT-A_1_3.png,TMT-A_1_3.png,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,31.317067600000883,None,,,,,,,,,,,,,,34.3753083999909,None,['2'],0,[2.850662899989402],34.3753083999909,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
2,3,TMT-A_1_3.png,TMT-A_1_3firstgreen.png,TMT-A_1_3firstred.png,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,37.2992677000002,None,['1'],0,[0.022820900005172007],37.2992677000002,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
3,1,TMT-A_1_3linestimulus0.png,TMT-A_1_3greenlinestimulus0.png,TMT-A_1_3redlinestimulus0.png,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,37.3969025999977,None,['3'],0,[0.07173330000659917],37.3969025999977,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
4,2,TMT-A_1_3linestimulus1.png,TMT-A_1_3greenlinestimulus1.png,TMT-A_1_3redlinestimulus1.png,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,37.54900849999103,None,['1'],0,[0.06582860001071822],37.54900849999103,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
5,3,TMT-A_1_3linestimulus2.png,TMT-A_1_3greenlinestimulus2.png,TMT-A_1_3redlinestimulus2.png,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,37.694596999994246,None,['2'],0,[0.006600900000194088],37.694596999994246,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
6,2,TMT-A_1_3linestimulus3.png,TMT-A_1_3greenlinestimulus3.png,TMT-A_1_3redlinestimulus3.png,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,37.77777299999434,None,['3'],0,[0.020878000010270625],37.77777299999434,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.5696738907147,
