NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,6.041116899999906,None,6.638959700008854,None,1,0.011472599988337606,6.638959700008854,None,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_17_1552,TMTAB,2021.2.3,141.18570579124437,
1,1,TMT-A_1_practice.png,TMT-A_1_practice.png,TMT-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,6.667706100008218,None,9.751499100006185,None,1,1,0.46587759999965783,9.751499100006185,None,,,,,,,,,,,,,,,001,2021_Nov_17_1552,TMTAB,2021.2.3,141.18570579124437,
2,2,TMT-A_1_practice.png,TMT-A_1_practicefirstgreen.png,TMT-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,10.299776900006691,None,2,1,0.032758200002717786,10.299776900006691,None,,,,,,,,,,,,,,,001,2021_Nov_17_1552,TMTAB,2021.2.3,141.18570579124437,
3,3,TMT-A_1_practicelinestimulus0.png,TMT-A_1_practicegreenlinestimulus0.png,TMT-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,10.417908800009172,None,1,0,0.14057610000600107,10.417908800009172,None,,,,,,,,,,,,,,,001,2021_Nov_17_1552,TMTAB,2021.2.3,141.18570579124437,
4,1,TMT-A_1_practicelinestimulus1.png,TMT-A_1_practicegreenlinestimulus1.png,TMT-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,10.641529600005015,None,3,0,0.08440570000675507,10.641529600005015,None,,,,,,,,,,,,,,,001,2021_Nov_17_1552,TMTAB,2021.2.3,141.18570579124437,
5,2,TMT-A_1_practicelinestimulus2.png,TMT-A_1_practicegreenlinestimulus2.png,TMT-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,10.81503640000301,None,1,0,0.02177420000953134,10.81503640000301,None,,,,,,,,,,,,,,,001,2021_Nov_17_1552,TMTAB,2021.2.3,141.18570579124437,
6,3,TMT-A_1_practicelinestimulus3.png,TMT-A_1_practicegreenlinestimulus3.png,TMT-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,10.925923600007081,None,3,1,0.08060879999538884,10.925923600007081,None,,,,,,,,,,,,,,,001,2021_Nov_17_1552,TMTAB,2021.2.3,141.18570579124437,
7,1,TMT-A_1_practicelinestimulus4.png,TMT-A_1_practicegreenlinestimulus4.png,TMT-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,11.08464410000306,None,1,1,0.031110500000067987,11.08464410000306,None,,,,,,,,,,,,,,,001,2021_Nov_17_1552,TMTAB,2021.2.3,141.18570579124437,
8,3,TMT-A_1_practicelinestimulus5.png,TMT-A_1_practicegreenlinestimulus5.png,TMT-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,11.195680600008927,None,3,1,0.07996769998862874,11.195680600008927,None,,,,,,,,,,,,,,,001,2021_Nov_17_1552,TMTAB,2021.2.3,141.18570579124437,
9,2,TMT-A_1_practicelinestimulus6.png,TMT-A_1_practicegreenlinestimulus6.png,TMT-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,11.348917100011022,None,1,0,0.06015489999845158,11.348917100011022,None,,,,,,,,,,,,,,,001,2021_Nov_17_1552,TMTAB,2021.2.3,141.18570579124437,
10,3,TMT-A_1_practicelinestimulus7.png,TMT-A_1_practicegreenlinestimulus7.png,TMT-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,11.494405300007202,None,3,1,0.10436599999957252,11.494405300007202,None,,,,,,,,,,,,,,,001,2021_Nov_17_1552,TMTAB,2021.2.3,141.18570579124437,
11,1,TMT-A_1_practicelinestimulus8.png,TMT-A_1_practicegreenlinestimulus8.png,TMT-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,11.66910579999967,None,1,1,0.041321099997730926,11.66910579999967,None,,,,,,,,,,,,,,,001,2021_Nov_17_1552,TMTAB,2021.2.3,141.18570579124437,
12,2,TMT-A_1_practicelinestimulus9.png,TMT-A_1_practicegreenlinestimulus9.png,TMT-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,11.78592270000081,None,2,1,0.002020600004470907,11.78592270000081,None,,,,,,,,,,,,,,,001,2021_Nov_17_1552,TMTAB,2021.2.3,141.18570579124437,
None,None,TMT-A_1_practicelinestimulus10.png,TMT-A_1_practicegreenlinestimulus10.png,TMT-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,11.862194900008035,None,3,0,0.0358983000041917,11.862194900008035,None,,,,,,,,,,,,,,,001,2021_Nov_17_1552,TMTAB,2021.2.3,141.18570579124437,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,11.95006519999879,None,2,0.7413020000094548,11.95006519999879,None,,,,,,,,,001,2021_Nov_17_1552,TMTAB,2021.2.3,141.18570579124437,
