NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,6.087510900004418,None,6.615408800003934,None,1,0.032906199994613416,6.615408800003934,None,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
1,1,TMT-A_1_practice.png,TMT-A_1_practice.png,TMT-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,6.665648300011526,None,9.742819400009466,None,1,1,2.4776835000084247,9.742819400009466,None,,,,,,,,,,,,,,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
2,2,TMT-A_1_practice.png,TMT-A_1_practicefirstgreen.png,TMT-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,12.290732200010098,None,3,0,0.13667000000714324,12.290732200010098,None,,,,,,,,,,,,,,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
3,3,TMT-A_1_practicelinestimulus0.png,TMT-A_1_practicegreenlinestimulus0.png,TMT-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,12.498741900009918,None,1,0,0.09170720000111032,12.498741900009918,None,,,,,,,,,,,,,,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
4,1,TMT-A_1_practicelinestimulus1.png,TMT-A_1_practicegreenlinestimulus1.png,TMT-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,12.665344300010474,None,2,0,0.10388050001347438,12.665344300010474,None,,,,,,,,,,,,,,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
5,2,TMT-A_1_practicelinestimulus2.png,TMT-A_1_practicegreenlinestimulus2.png,TMT-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,12.83907580000232,None,1,0,0.16293510000105016,12.83907580000232,None,,,,,,,,,,,,,,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
6,3,TMT-A_1_practicelinestimulus3.png,TMT-A_1_practicegreenlinestimulus3.png,TMT-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,13.075663299998268,None,3,1,0.07790530000056606,13.075663299998268,None,,,,,,,,,,,,,,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
7,1,TMT-A_1_practicelinestimulus4.png,TMT-A_1_practicegreenlinestimulus4.png,TMT-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,13.228243800011114,None,1,1,0.05009389999031555,13.228243800011114,None,,,,,,,,,,,,,,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
8,3,TMT-A_1_practicelinestimulus5.png,TMT-A_1_practicegreenlinestimulus5.png,TMT-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,13.352989400009392,None,3,1,0.08386319999408443,13.352989400009392,None,,,,,,,,,,,,,,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
9,2,TMT-A_1_practicelinestimulus6.png,TMT-A_1_practicegreenlinestimulus6.png,TMT-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,13.512770800007274,None,1,0,0.05210369999986142,13.512770800007274,None,,,,,,,,,,,,,,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
