NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23528379999334,None,7.944113799996558,None,2,0.33448249999491964,7.944113799996558,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
1,1,TMT-A_1_practice.png,TMT-A_1_practice.png,TMT-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.299130399987916,None,11.384081899988814,None,1,1,0.5936905999988085,11.384081899988814,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
2,2,TMT-A_1_practice.png,TMT-A_1_practicefirstgreen.png,TMT-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.042641399995773,None,2,1,0.013237099992693402,12.042641399995773,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
3,3,TMT-A_1_practicelinestimulus0.png,TMT-A_1_practicegreenlinestimulus0.png,TMT-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.126485999993747,None,3,1,0.030779399996390566,12.126485999993747,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
4,1,TMT-A_1_practicelinestimulus1.png,TMT-A_1_practicegreenlinestimulus1.png,TMT-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.22997439999017,None,1,1,0.07589100000041071,12.22997439999017,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
5,2,TMT-A_1_practicelinestimulus2.png,TMT-A_1_practicegreenlinestimulus2.png,TMT-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.38271099999838,None,3,0,0.10369839999475516,12.38271099999838,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
6,3,TMT-A_1_practicelinestimulus3.png,TMT-A_1_practicegreenlinestimulus3.png,TMT-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.556593899993459,None,1,0,0.161412500005099,12.556593899993459,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
7,1,TMT-A_1_practicelinestimulus4.png,TMT-A_1_practicegreenlinestimulus4.png,TMT-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.792507599995588,None,1,1,0.49331740000343416,12.792507599995588,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
8,3,TMT-A_1_practicelinestimulus5.png,TMT-A_1_practicegreenlinestimulus5.png,TMT-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.361976999993203,None,3,1,0.11508859999594279,13.361976999993203,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
9,2,TMT-A_1_practicelinestimulus6.png,TMT-A_1_practicegreenlinestimulus6.png,TMT-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.542665899993153,None,1,0,0.07574479999311734,13.542665899993153,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
