NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,6.9693255000020145,None,7.497211099995184,None,2,0.3193691000051331,7.497211099995184,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1658,TMTAB,2021.2.3,143.03389187420098,
1,2,TMT-A_1_practice.png,TMT-A_1_practice.png,TMT-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,7.838631999999052,None,10.922595399999409,None,2,1,0.5606603000051109,10.922595399999409,None,,,,,,,,001,2021_Nov_17_1658,TMTAB,2021.2.3,143.03389187420098,
2,3,TMT-A_1_practice.png,TMT-A_1_practicefirstgreen.png,TMT-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,11.554358299996238,None,1,0,0.4368108999915421,11.554358299996238,None,,,,,,,,001,2021_Nov_17_1658,TMTAB,2021.2.3,143.03389187420098,
3,1,TMT-A_1_practicelinestimulus0.png,TMT-A_1_practicegreenlinestimulus0.png,TMT-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,12.068468099998427,None,2,0,0.02853029999823775,12.068468099998427,None,,,,,,,,001,2021_Nov_17_1658,TMTAB,2021.2.3,143.03389187420098,
4,3,TMT-A_1_practicelinestimulus1.png,TMT-A_1_practicegreenlinestimulus1.png,TMT-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,12.180288899995503,None,3,1,0.002079900004900992,12.180288899995503,None,,,,,,,,001,2021_Nov_17_1658,TMTAB,2021.2.3,143.03389187420098,
5,1,TMT-A_1_practicelinestimulus2.png,TMT-A_1_practicegreenlinestimulus2.png,TMT-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,12.24925059999805,None,3,0,2.609248499997193,12.24925059999805,None,,,,,,,,001,2021_Nov_17_1658,TMTAB,2021.2.3,143.03389187420098,
6,2,TMT-A_1_practicelinestimulus3.png,TMT-A_1_practicegreenlinestimulus3.png,TMT-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,14.929286300000967,None,2,1,0.6462240999971982,14.929286300000967,None,,,,,,,,001,2021_Nov_17_1658,TMTAB,2021.2.3,143.03389187420098,
7,3,TMT-A_1_practicelinestimulus4.png,TMT-A_1_practicegreenlinestimulus4.png,TMT-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,15.651555200005532,None,1,0,0.051855500001693144,15.651555200005532,None,,,,,,,,001,2021_Nov_17_1658,TMTAB,2021.2.3,143.03389187420098,
8,2,TMT-A_1_practicelinestimulus5.png,TMT-A_1_practicegreenlinestimulus5.png,TMT-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,15.783475799995358,None,3,0,0.5345847999997204,15.783475799995358,None,,,,,,,,001,2021_Nov_17_1658,TMTAB,2021.2.3,143.03389187420098,
9,3,TMT-A_1_practicelinestimulus6.png,TMT-A_1_practicegreenlinestimulus6.png,TMT-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,16.402636900005746,None,1,0,0.22322909999638796,16.402636900005746,None,,,,,,,,001,2021_Nov_17_1658,TMTAB,2021.2.3,143.03389187420098,
