NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,0,0,0,7.2438911000008375,None,7.2438911000008375,None,8.204549199999747,None,2,1,0.918687499999578,8.204549199999747,None,,001,2021_Oct_21_1824,TMTAB,2021.2.3,60.01327493641244,
A,3,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,1,1,1,,,,,9.221223800001098,None,3,1,0.9369433000010758,9.221223800001098,None,,001,2021_Oct_21_1824,TMTAB,2021.2.3,60.01327493641244,
2,1,TMT-control_linestimulus0.png,TMT-control_greenlinestimulus0.png,TMT-control_redlinestimulus0.png,0,2,2,2,,,,,10.238323400000809,None,1,1,1.328407099999822,10.238323400000809,None,,001,2021_Oct_21_1824,TMTAB,2021.2.3,60.01327493641244,
B,2,TMT-control_linestimulus1.png,TMT-control_greenlinestimulus1.png,TMT-control_redlinestimulus1.png,0,3,3,3,,,,,11.655787200001214,None,3,0,0.9813907999996445,11.655787200001214,None,,001,2021_Oct_21_1824,TMTAB,2021.2.3,60.01327493641244,
3,3,TMT-control_linestimulus2.png,TMT-control_greenlinestimulus2.png,TMT-control_redlinestimulus2.png,0,4,4,4,,,,,12.722752200001196,None,3,1,1.3529068999996525,12.722752200001196,None,,001,2021_Oct_21_1824,TMTAB,2021.2.3,60.01327493641244,
C,2,TMT-control_linestimulus3.png,TMT-control_greenlinestimulus3.png,TMT-control_redlinestimulus3.png,0,5,5,5,,,,,14.173490400000446,None,3,0,0.3671985000000859,14.173490400000446,None,,001,2021_Oct_21_1824,TMTAB,2021.2.3,60.01327493641244,
4,1,TMT-control_linestimulus4.png,TMT-control_greenlinestimulus4.png,TMT-control_redlinestimulus4.png,0,6,6,6,,,,,14.62379510000028,None,3,0,0.4124417999992147,14.62379510000028,None,,001,2021_Oct_21_1824,TMTAB,2021.2.3,60.01327493641244,
D,3,TMT-control_linestimulus5.png,TMT-control_greenlinestimulus5.png,TMT-control_redlinestimulus5.png,0,7,7,7,,,,,15.124054300000353,None,3,1,0.3330820000010135,15.124054300000353,None,,001,2021_Oct_21_1824,TMTAB,2021.2.3,60.01327493641244,
5,1,TMT-control_linestimulus6.png,TMT-control_greenlinestimulus6.png,TMT-control_redlinestimulus6.png,0,8,8,8,,,,,15.54056490000039,None,3,0,0.30760510000072827,15.54056490000039,None,,001,2021_Oct_21_1824,TMTAB,2021.2.3,60.01327493641244,
E,2,TMT-control_linestimulus7.png,TMT-control_greenlinestimulus7.png,TMT-control_redlinestimulus7.png,0,9,9,9,,,,,15.94102759999987,None,3,0,0.2602318999997806,15.94102759999987,None,,001,2021_Oct_21_1824,TMTAB,2021.2.3,60.01327493641244,
