NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,3,TMT-A.jpg,TMT-A.jpg,TMT-A.jpg,0,0,0,0,,,,,6.498599800001102,None,6.498599800001102,None,7.212177299999894,None,2,0,0.47577170000295155,7.212177299999894,None,,001,2021_Oct_21_2320,TMTAB,2021.2.3,59.82467779926109,
2,1,TMT-A.jpg,TMT-A.jpg,TMT-A.jpg,0,1,1,1,,,,,,,,,7.761990300001344,None,3,0,0.14187980000133393,7.761990300001344,None,,001,2021_Oct_21_2320,TMTAB,2021.2.3,59.82467779926109,
3,3,TMT-A_linestimulus0.png,TMT-A_greenlinestimulus0.png,TMT-A_redlinestimulus0.png,0,2,2,2,,,,,,,,,7.995450400001573,None,1,0,0.23676420000265352,7.995450400001573,None,,001,2021_Oct_21_2320,TMTAB,2021.2.3,59.82467779926109,
4,1,TMT-A_linestimulus1.png,TMT-A_greenlinestimulus1.png,TMT-A_redlinestimulus1.png,0,3,3,3,,,,,,,,,8.328821200000675,None,2,0,0.05695850000120117,8.328821200000675,None,,001,2021_Oct_21_2320,TMTAB,2021.2.3,59.82467779926109,
5,2,TMT-A_linestimulus2.png,TMT-A_greenlinestimulus2.png,TMT-A_redlinestimulus2.png,0,4,4,4,,,,,,,,,8.478831299999001,None,3,0,0.07281979999970645,8.478831299999001,None,,001,2021_Oct_21_2320,TMTAB,2021.2.3,59.82467779926109,
6,3,TMT-A_linestimulus3.png,TMT-A_greenlinestimulus3.png,TMT-A_redlinestimulus3.png,0,5,5,5,,,,,,,,,8.645552000001771,None,1,0,0.13009600000077626,8.645552000001771,None,,001,2021_Oct_21_2320,TMTAB,2021.2.3,59.82467779926109,
7,2,TMT-A_linestimulus4.png,TMT-A_greenlinestimulus4.png,TMT-A_redlinestimulus4.png,0,6,6,6,,,,,,,,,8.8626019000003,None,2,1,0.053616900000633905,8.8626019000003,None,,001,2021_Oct_21_2320,TMTAB,2021.2.3,59.82467779926109,
8,1,TMT-A_linestimulus5.png,TMT-A_greenlinestimulus5.png,TMT-A_redlinestimulus5.png,0,7,7,7,,,,,,,,,9.012635600000067,None,3,0,0.0151917000002868,9.012635600000067,None,,001,2021_Oct_21_2320,TMTAB,2021.2.3,59.82467779926109,
9,3,TMT-A_linestimulus6.png,TMT-A_greenlinestimulus6.png,TMT-A_redlinestimulus6.png,0,8,8,8,,,,,,,,,9.112644699998782,None,1,0,0.15463699999963865,9.112644699998782,None,,001,2021_Oct_21_2320,TMTAB,2021.2.3,59.82467779926109,
10,2,TMT-A_linestimulus7.png,TMT-A_greenlinestimulus7.png,TMT-A_redlinestimulus7.png,0,9,9,9,,,,,,,,,9.362771100000828,None,2,1,-0.009759500000654953,9.362771100000828,None,,001,2021_Oct_21_2320,TMTAB,2021.2.3,59.82467779926109,
