NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,3,TMT-A.jpg,TMT-A.jpg,TMT-A.jpg,0,0,0,0,,,,,6.928294299999834,None,6.928294299999834,None,8.141632999999274,None,3,1,0.8303527999996732,8.141632999999274,None,,,,001,2021_Oct_21_2321,TMTAB,2021.2.3,59.965340034379345,
2,1,TMT-A.jpg,TMT-A.jpg,TMT-A.jpg,0,1,1,1,,,,,,,,,9.04163349999726,None,2,0,0.34180279999782215,9.04163349999726,None,,,,001,2021_Oct_21_2321,TMTAB,2021.2.3,59.965340034379345,
3,3,TMT-A_linestimulus0.png,TMT-A_greenlinestimulus0.png,TMT-A_redlinestimulus0.png,0,2,2,2,,,,,,,,,9.475358199997572,None,2,0,0.3161843999987468,9.475358199997572,None,,,,001,2021_Oct_21_2321,TMTAB,2021.2.3,59.965340034379345,
4,1,TMT-A_linestimulus1.png,TMT-A_greenlinestimulus1.png,TMT-A_redlinestimulus1.png,0,3,3,3,,,,,,,,,9.875214499999856,None,2,0,0.755185199999687,9.875214499999856,None,,,,001,2021_Oct_21_2321,TMTAB,2021.2.3,59.965340034379345,
5,2,TMT-A_linestimulus2.png,TMT-A_greenlinestimulus2.png,TMT-A_redlinestimulus2.png,0,4,4,4,,,,,,,,,10.725661699998454,None,2,1,0.29123149999941234,10.725661699998454,None,,,,001,2021_Oct_21_2321,TMTAB,2021.2.3,59.965340034379345,
6,3,TMT-A_linestimulus3.png,TMT-A_greenlinestimulus3.png,TMT-A_redlinestimulus3.png,0,5,5,5,,,,,,,,,11.125958199998422,None,1,0,-0.02001869999730843,11.125958199998422,None,,,,001,2021_Oct_21_2321,TMTAB,2021.2.3,59.965340034379345,
7,2,TMT-A_linestimulus4.png,TMT-A_greenlinestimulus4.png,TMT-A_redlinestimulus4.png,0,6,6,6,,,,,,,,,11.209487000000081,None,3,0,0.2874688999982027,11.209487000000081,None,,,,001,2021_Oct_21_2321,TMTAB,2021.2.3,59.965340034379345,
8,1,TMT-A_linestimulus5.png,TMT-A_greenlinestimulus5.png,TMT-A_redlinestimulus5.png,0,7,7,7,,,,,,,,,11.592925199998717,None,1,1,0.18575209999835351,11.592925199998717,None,,,,001,2021_Oct_21_2321,TMTAB,2021.2.3,59.965340034379345,
9,3,TMT-A_linestimulus6.png,TMT-A_greenlinestimulus6.png,TMT-A_redlinestimulus6.png,0,8,8,8,,,,,,,,,11.87634739999703,None,3,1,0.11140309999973397,11.87634739999703,None,,,,001,2021_Oct_21_2321,TMTAB,2021.2.3,59.965340034379345,
10,2,TMT-A_linestimulus7.png,TMT-A_greenlinestimulus7.png,TMT-A_redlinestimulus7.png,0,9,9,9,,,,,,,,,12.076502599997184,None,1,0,0.3837779999994382,12.076502599997184,None,,,,001,2021_Oct_21_2321,TMTAB,2021.2.3,59.965340034379345,
