NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,3,TMT-A_1_1.png,TMT-A_1_1.png,TMT-A_1_1.png,0,0,0,0,,,,,,,,,,,,,10.078550999998697,None,10.078550999998697,None,11.14599009999074,None,3,1,1.6821780000027502,11.14599009999074,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
2,1,TMT-A_1_1.png,TMT-A_1_1firstgreen.png,TMT-A_1_1firstred.png,0,1,1,1,,,,,,,,,,,,,,,,,12.912713899990194,None,1,1,1.2400261000002502,12.912713899990194,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
3,2,TMT-A_1_1linestimulus0.png,TMT-A_1_1greenlinestimulus0.png,TMT-A_1_1redlinestimulus0.png,0,2,2,2,,,,,,,,,,,,,,,,,14.24676080000063,None,2,1,1.03467899998941,14.24676080000063,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
4,3,TMT-A_1_1linestimulus1.png,TMT-A_1_1greenlinestimulus1.png,TMT-A_1_1redlinestimulus1.png,0,3,3,3,,,,,,,,,,,,,,,,,15.363967799989041,None,3,1,0.37850049999542534,15.363967799989041,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
5,2,TMT-A_1_1linestimulus2.png,TMT-A_1_1greenlinestimulus2.png,TMT-A_1_1redlinestimulus2.png,0,4,4,4,,,,,,,,,,,,,,,,,15.830846500000916,None,2,1,0.31142759999784175,15.830846500000916,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
6,1,TMT-A_1_1linestimulus3.png,TMT-A_1_1greenlinestimulus3.png,TMT-A_1_1redlinestimulus3.png,0,5,5,5,,,,,,,,,,,,,,,,,16.23103429999901,None,2,0,0.33383629999298137,16.23103429999901,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
7,3,TMT-A_1_1linestimulus4.png,TMT-A_1_1greenlinestimulus4.png,TMT-A_1_1redlinestimulus4.png,0,6,6,6,,,,,,,,,,,,,,,,,16.64824999999837,None,2,0,0.36253230000147596,16.64824999999837,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
8,1,TMT-A_1_1linestimulus5.png,TMT-A_1_1greenlinestimulus5.png,TMT-A_1_1redlinestimulus5.png,0,7,7,7,,,,,,,,,,,,,,,,,17.114969399990514,None,2,0,0.3303462999901967,17.114969399990514,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
9,3,TMT-A_1_1linestimulus6.png,TMT-A_1_1greenlinestimulus6.png,TMT-A_1_1redlinestimulus6.png,0,8,8,8,,,,,,,,,,,,,,,,,17.53163759999734,None,2,0,0.31040100000973325,17.53163759999734,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
10,1,TMT-A_1_1linestimulus7.png,TMT-A_1_1greenlinestimulus7.png,TMT-A_1_1redlinestimulus7.png,0,9,9,9,,,,,,,,,,,,,,,,,17.94856269999582,None,2,0,0.28526020000572316,17.94856269999582,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
11,2,TMT-A_1_1linestimulus8.png,TMT-A_1_1greenlinestimulus8.png,TMT-A_1_1redlinestimulus8.png,0,10,10,10,,,,,,,,,,,,,,,,,18.332009299992933,None,2,1,0.3312447000062093,18.332009299992933,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
12,1,TMT-A_1_1linestimulus9.png,TMT-A_1_1greenlinestimulus9.png,TMT-A_1_1redlinestimulus9.png,0,11,11,11,,,,,,,,,,,,,,,,,18.74900450000132,None,2,0,0.6790770999941742,18.74900450000132,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
None,None,None,TMT-A_1_1greenlinestimulus10.png,TMT-A_1_1redlinestimulus10.png,0,12,12,12,,,,,,,,,,,,,,,,,19.51586529999622,None,None,1,,19.51586529999622,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
1,2,TMT-A_1_2.png,TMT-A_1_2.png,TMT-A_1_2.png,,,,,0,0,0,0,,,,,,,,,,,,,23.567880100003094,None,2,1,0.5417613999888999,23.567880100003094,None,20.516886299999896,None,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
2,3,TMT-A_1_2.png,TMT-A_1_2firstgreen.png,TMT-A_1_2firstred.png,,,,,0,1,1,1,,,,,,,,,,,,,24.201479800001835,None,2,0,0.30622939999739174,24.201479800001835,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
3,1,TMT-A_1_2linestimulus0.png,TMT-A_1_2greenlinestimulus0.png,TMT-A_1_2redlinestimulus0.png,,,,,0,2,2,2,,,,,,,,,,,,,24.601792899993598,None,2,0,0.28275830000347923,24.601792899993598,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
4,2,TMT-A_1_2linestimulus1.png,TMT-A_1_2greenlinestimulus1.png,TMT-A_1_2redlinestimulus1.png,,,,,0,3,3,3,,,,,,,,,,,,,24.98531570000341,None,2,1,0.20686390000628307,24.98531570000341,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
5,3,TMT-A_1_2linestimulus2.png,TMT-A_1_2greenlinestimulus2.png,TMT-A_1_2redlinestimulus2.png,,,,,0,4,4,4,,,,,,,,,,,,,25.285144199995557,None,2,0,0.20537389999662992,25.285144199995557,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
6,1,TMT-A_1_2linestimulus3.png,TMT-A_1_2greenlinestimulus3.png,TMT-A_1_2redlinestimulus3.png,,,,,0,5,5,5,,,,,,,,,,,,,25.585502999994787,None,2,0,0.1822983000020031,25.585502999994787,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
7,3,TMT-A_1_2linestimulus4.png,TMT-A_1_2greenlinestimulus4.png,TMT-A_1_2redlinestimulus4.png,,,,,0,6,6,6,,,,,,,,,,,,,25.852187600001344,None,2,0,0.19020810000074562,25.852187600001344,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
8,2,TMT-A_1_2linestimulus5.png,TMT-A_1_2greenlinestimulus5.png,TMT-A_1_2redlinestimulus5.png,,,,,0,7,7,7,,,,,,,,,,,,,26.152519900002517,None,2,1,0.18532150000100955,26.152519900002517,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
9,3,TMT-A_1_2linestimulus6.png,TMT-A_1_2greenlinestimulus6.png,TMT-A_1_2redlinestimulus6.png,,,,,0,8,8,8,,,,,,,,,,,,,26.436009800003376,None,2,0,0.19644129999505822,26.436009800003376,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
10,2,TMT-A_1_2linestimulus7.png,TMT-A_1_2greenlinestimulus7.png,TMT-A_1_2redlinestimulus7.png,,,,,0,9,9,9,,,,,,,,,,,,,26.719406599993818,None,2,1,0.2543341999989934,26.719406599993818,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
11,1,TMT-A_1_2linestimulus8.png,TMT-A_1_2greenlinestimulus8.png,TMT-A_1_2redlinestimulus8.png,,,,,0,10,10,10,,,,,,,,,,,,,27.069599900001776,None,2,0,0.32090489999973215,27.069599900001776,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
12,3,TMT-A_1_2linestimulus9.png,TMT-A_1_2greenlinestimulus9.png,TMT-A_1_2redlinestimulus9.png,,,,,0,11,11,11,,,,,,,,,,,,,27.486384099989664,None,2,0,0.35890950000612065,27.486384099989664,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
None,None,None,TMT-A_1_2greenlinestimulus10.png,TMT-A_1_2redlinestimulus10.png,,,,,0,12,12,12,,,,,,,,,,,,,27.936456600000383,None,None,1,,27.936456600000383,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
1,2,TMT-A_1_3.png,TMT-A_1_3.png,TMT-A_1_3.png,,,,,,,,,0,0,0,0,,,,,,,,,32.00530049999361,None,1,0,1.2120585000084247,32.00530049999361,None,28.937115099994116,None,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
2,3,TMT-A_1_3.png,TMT-A_1_3firstgreen.png,TMT-A_1_3firstred.png,,,,,,,,,0,1,1,1,,,,,,,,,33.30588489999354,None,1,0,0.27585679999901913,33.30588489999354,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
3,1,TMT-A_1_3linestimulus0.png,TMT-A_1_3greenlinestimulus0.png,TMT-A_1_3redlinestimulus0.png,,,,,,,,,0,2,2,2,,,,,,,,,33.67277429999376,None,1,1,0.2666882000048645,33.67277429999376,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
4,2,TMT-A_1_3linestimulus1.png,TMT-A_1_3greenlinestimulus1.png,TMT-A_1_3redlinestimulus1.png,,,,,,,,,0,3,3,3,,,,,,,,,34.03951689999667,None,1,0,0.25603659999615047,34.03951689999667,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
5,3,TMT-A_1_3linestimulus2.png,TMT-A_1_3greenlinestimulus2.png,TMT-A_1_3redlinestimulus2.png,,,,,,,,,0,4,4,4,,,,,,,,,34.389679599989904,None,1,0,0.26353470000321977,34.389679599989904,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
6,2,TMT-A_1_3linestimulus3.png,TMT-A_1_3greenlinestimulus3.png,TMT-A_1_3redlinestimulus3.png,,,,,,,,,0,5,5,5,,,,,,,,,34.73961239999335,None,1,0,0.31247129999974277,34.73961239999335,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
7,3,TMT-A_1_3linestimulus4.png,TMT-A_1_3greenlinestimulus4.png,TMT-A_1_3redlinestimulus4.png,,,,,,,,,0,6,6,6,,,,,,,,,35.13996010000119,None,1,0,0.3038397999916924,35.13996010000119,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
8,1,TMT-A_1_3linestimulus5.png,TMT-A_1_3greenlinestimulus5.png,TMT-A_1_3redlinestimulus5.png,,,,,,,,,0,7,7,7,,,,,,,,,35.55681019999611,None,1,1,0.3055389999935869,35.55681019999611,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
9,2,TMT-A_1_3linestimulus6.png,TMT-A_1_3greenlinestimulus6.png,TMT-A_1_3redlinestimulus6.png,,,,,,,,,0,8,8,8,,,,,,,,,35.97374570000102,None,1,0,0.34050520000164397,35.97374570000102,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
10,1,TMT-A_1_3linestimulus7.png,TMT-A_1_3greenlinestimulus7.png,TMT-A_1_3redlinestimulus7.png,,,,,,,,,0,9,9,9,,,,,,,,,36.42399869998917,None,1,1,0.6178464999975404,36.42399869998917,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
11,3,TMT-A_1_3linestimulus8.png,TMT-A_1_3greenlinestimulus8.png,TMT-A_1_3redlinestimulus8.png,,,,,,,,,0,10,10,10,,,,,,,,,37.12426080000296,None,1,0,0.6767447000020184,37.12426080000296,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
12,2,TMT-A_1_3linestimulus9.png,TMT-A_1_3greenlinestimulus9.png,TMT-A_1_3redlinestimulus9.png,,,,,,,,,0,11,11,11,,,,,,,,,37.89120689999254,None,1,0,0.8327992999984417,37.89120689999254,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
None,None,None,TMT-A_1_3greenlinestimulus10.png,TMT-A_1_3redlinestimulus10.png,,,,,,,,,0,12,12,12,,,,,,,,,38.808433199999854,None,1,0,0.27147409999452066,38.808433199999854,None,,,,001,2021_Oct_28_1021,TMTAB,2021.2.3,59.91349689014848,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.10857440000109,None,,,,,,,
