NumberLetter,corrAns,StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMTAD1.bmp,0,0,0,0,,,,,6.5257901000004495,None,6.5257901000004495,None,7.928211799997371,None,1,1,1.3051166999939596,7.928211799997371,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
2,3,TMTAD1.bmp,0,1,1,1,,,,,,,,,9.250701699987985,None,3,1,2.4638879999984056,9.250701699987985,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
3,2,TMTAD11.bmp,0,2,2,2,,,,,,,,,11.728137999991304,None,1,0,0.692354200000409,11.728137999991304,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
4,1,TMTAD12.bmp,0,3,3,3,,,,,,,,,12.436334999991232,None,2,0,0.14011659999960102,12.436334999991232,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
5,2,TMTAD13.bmp,0,4,4,4,,,,,,,,,12.591840199995204,None,3,0,0.1156353999977,12.591840199995204,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
6,3,TMTAD14.bmp,0,5,5,5,,,,,,,,,12.719498799997382,None,1,0,0.38397660000191536,12.719498799997382,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
7,2,TMTAD15.bmp,0,6,6,6,,,,,,,,,13.114604699992924,None,2,1,0.05373870000767056,13.114604699992924,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
8,1,TMTAD16.bmp,0,7,7,7,,,,,,,,,13.179366399999708,None,3,0,0.1741360000014538,13.179366399999708,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
9,3,TMTAD17.bmp,0,8,8,8,,,,,,,,,13.36977959999058,None,1,0,0.17967149999458343,13.36977959999058,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
10,2,TMTAD18.bmp,0,9,9,9,,,,,,,,,13.560472500001197,None,2,1,0.06293689999438357,13.560472500001197,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
11,3,TMTAD19.bmp,0,10,10,10,,,,,,,,,13.640049900001031,None,1,0,0.3144045999943046,13.640049900001031,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
12,1,TMTAD110.bmp,0,11,11,11,,,,,,,,,13.96534039999824,None,2,0,0.30714230000739917,13.96534039999824,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
13,2,TMTAD111.bmp,0,12,12,12,,,,,,,,,14.288319999992382,None,3,0,0.020016900001792237,14.288319999992382,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
14,3,TMTAD112.bmp,0,13,13,13,,,,,,,,,14.321553599991603,None,1,0,0.2749156999925617,14.321553599991603,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
15,1,TMTAD113.bmp,0,14,14,14,,,,,,,,,14.611415899998974,None,2,0,0.03815630001190584,14.611415899998974,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
16,2,TMTAD114.bmp,0,15,15,15,,,,,,,,,14.660549599997466,None,3,0,0.3388591999973869,14.660549599997466,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
17,3,TMTAD115.bmp,0,16,16,16,,,,,,,,,15.011567699999432,None,1,0,0.5617996999935713,15.011567699999432,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
18,2,TMTAD116.bmp,0,17,17,17,,,,,,,,,15.586775399991893,None,2,1,0.36172260000603274,15.586775399991893,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
19,3,TMTAD117.bmp,0,18,18,18,,,,,,,,,15.95901409999351,None,3,1,0.35650179999356624,15.95901409999351,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
20,1,TMTAD118.bmp,0,19,19,19,,,,,,,,,16.33153689999017,None,1,1,0.3058651000028476,16.33153689999017,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
21,2,TMTAD119.bmp,0,20,20,20,,,,,,,,,16.6482313000015,None,2,1,0.6063100000028498,16.6482313000015,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
22,3,TMTAD120.bmp,0,21,21,21,,,,,,,,,17.26549619999423,None,3,1,0.4368650000105845,17.26549619999423,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
23,1,TMTAD121.bmp,0,22,22,22,,,,,,,,,17.71330719999969,None,1,1,0.44313109999347944,17.71330719999969,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
24,2,TMTAD122.bmp,0,23,23,23,,,,,,,,,18.170160399997258,None,2,1,0.4053585999936331,18.170160399997258,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
None,None,TMTAD123.bmp,0,24,24,24,,,,,,,,,18.59086959999695,None,3,0,0.3537594999943394,18.59086959999695,None,,,,,,,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
,,,,,,,,,,,,,,,,,,,,,,18.952857600001153,None,1,5.268619299997226,18.952857600001153,None,fxdsnb,001,2021_Jun_09_1100,TMTAB,2021.1.4,144.01875700154943,
