NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,0,0,0,0,7.267632900038734,None,7.267632900038734,None,7.969242600025609,None,1,1,0.6570122999837622,7.969242600025609,None,,001,2021_Nov_03_1309,TMTAB,2021.2.3,144.03535201086999,
A,2,TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,0,1,1,1,,,,,8.705237800022587,None,2,1,0.9989829000551254,8.705237800022587,None,,001,2021_Nov_03_1309,TMTAB,2021.2.3,144.03535201086999,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,9.78208670008462,None,2,0,1.816858800011687,9.78208670008462,None,,001,2021_Nov_03_1309,TMTAB,2021.2.3,144.03535201086999,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,11.67789370007813,None,2,0,0.332774700014852,11.67789370007813,None,,001,2021_Nov_03_1309,TMTAB,2021.2.3,144.03535201086999,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,12.086788600077853,None,2,1,0.44429150002542883,12.086788600077853,None,,001,2021_Nov_03_1309,TMTAB,2021.2.3,144.03535201086999,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,12.601039900095202,None,2,0,0.3112777000060305,12.601039900095202,None,,001,2021_Nov_03_1309,TMTAB,2021.2.3,144.03535201086999,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,12.982990000047721,None,2,1,0.26277659996412694,12.982990000047721,None,,001,2021_Nov_03_1309,TMTAB,2021.2.3,144.03535201086999,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,13.323085100040771,None,3,1,0.3605371000012383,13.323085100040771,None,,001,2021_Nov_03_1309,TMTAB,2021.2.3,144.03535201086999,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,13.753698999993503,None,2,1,-0.042817600071430206,13.753698999993503,None,,001,2021_Nov_03_1309,TMTAB,2021.2.3,144.03535201086999,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,13.830095200100914,None,2,0,0.21298119996208698,13.830095200100914,None,,001,2021_Nov_03_1309,TMTAB,2021.2.3,144.03535201086999,
