NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.663215099993977,None,17.86900939999032,None,2,0.8301924999977928,17.86900939999032,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
1,3,TMT-B_1_practice.png,TMT-B_1_practice.png,TMT-B_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.720064399996772,None,21.953374599994277,None,1,0,1.6344449000025634,21.953374599994277,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
A,1,TMT-B_1_practice.png,TMT-B_1_practicefirstgreen.png,TMT-B_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.738249599991832,None,3,0,0.03908220000448637,23.738249599991832,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
2,3,TMT-B_1_practicelinestimulus0.png,TMT-B_1_practicegreenlinestimulus0.png,TMT-B_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.891269799991278,None,1,0,0.7836343999952078,23.891269799991278,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
B,2,TMT-B_1_practicelinestimulus1.png,TMT-B_1_practicegreenlinestimulus1.png,TMT-B_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.85693639999954,None,2,1,3.0682222000032198,24.85693639999954,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
3,1,TMT-B_1_practicelinestimulus2.png,TMT-B_1_practicegreenlinestimulus2.png,TMT-B_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.07292169998982,None,2,0,0.5378642000141554,28.07292169998982,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
C,3,TMT-B_1_practicelinestimulus3.png,TMT-B_1_practicegreenlinestimulus3.png,TMT-B_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.757082799987984,None,1,0,0.12248679999902379,28.757082799987984,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
4,2,TMT-B_1_practicelinestimulus4.png,TMT-B_1_practicegreenlinestimulus4.png,TMT-B_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.029845899989596,None,3,0,0.021009600008255802,29.029845899989596,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
D,1,TMT-B_1_practicelinestimulus5.png,TMT-B_1_practicegreenlinestimulus5.png,TMT-B_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.229703599994536,None,3,0,0.13473060000978876,29.229703599994536,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
5,3,TMT-B_1_practicelinestimulus6.png,TMT-B_1_practicegreenlinestimulus6.png,TMT-B_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.507253899995703,None,1,0,0.4921786999912001,29.507253899995703,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
