NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,0,0,0,,,,,7.163732099999834,None,7.163732099999834,None,8.16075550000005,None,2,1,1.047287200000028,8.16075550000005,None,,,,,,,,001,2021_Oct_21_1801,TMTAB,2021.2.3,59.906820930715796,
A,3,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,1,1,1,,,,,,,,,9.277506299999914,None,3,1,0.558965199999875,9.277506299999914,None,,,,,,,,001,2021_Oct_21_1801,TMTAB,2021.2.3,59.906820930715796,
2,1,TMT-control_linestimulus0.png,TMT-control_greenlinestimulus0.png,TMT-control_redlinestimulus0.png,0,2,2,2,,,,,,,,,9.911111800000072,None,1,1,1.198896899999454,9.911111800000072,None,,,,,,,,001,2021_Oct_21_1801,TMTAB,2021.2.3,59.906820930715796,
B,2,TMT-control_linestimulus1.png,TMT-control_greenlinestimulus1.png,TMT-control_redlinestimulus1.png,0,3,3,3,,,,,,,,,11.195189399999435,None,3,0,1.0443470000000161,11.195189399999435,None,,,,,,,,001,2021_Oct_21_1801,TMTAB,2021.2.3,59.906820930715796,
3,3,TMT-control_linestimulus2.png,TMT-control_greenlinestimulus2.png,TMT-control_redlinestimulus2.png,0,4,4,4,,,,,,,,,12.32902120000017,None,1,0,1.3313520000001517,12.32902120000017,None,,,,,,,,001,2021_Oct_21_1801,TMTAB,2021.2.3,59.906820930715796,
C,2,TMT-control_linestimulus3.png,TMT-control_greenlinestimulus3.png,TMT-control_redlinestimulus3.png,0,5,5,5,,,,,,,,,13.746370299999398,None,1,0,0.5934620999996696,13.746370299999398,None,,,,,,,,001,2021_Oct_21_1801,TMTAB,2021.2.3,59.906820930715796,
4,1,TMT-control_linestimulus4.png,TMT-control_greenlinestimulus4.png,TMT-control_redlinestimulus4.png,0,6,6,6,,,,,,,,,14.429913099999794,None,1,1,0.3780023999997866,14.429913099999794,None,,,,,,,,001,2021_Oct_21_1801,TMTAB,2021.2.3,59.906820930715796,
D,3,TMT-control_linestimulus5.png,TMT-control_greenlinestimulus5.png,TMT-control_redlinestimulus5.png,0,7,7,7,,,,,,,,,14.896788500000184,None,1,0,0.3428332000003138,14.896788500000184,None,,,,,,,,001,2021_Oct_21_1801,TMTAB,2021.2.3,59.906820930715796,
5,1,TMT-control_linestimulus6.png,TMT-control_greenlinestimulus6.png,TMT-control_redlinestimulus6.png,0,8,8,8,,,,,,,,,15.330413099999532,None,1,1,0.27796109999962937,15.330413099999532,None,,,,,,,,001,2021_Oct_21_1801,TMTAB,2021.2.3,59.906820930715796,
E,2,TMT-control_linestimulus7.png,TMT-control_greenlinestimulus7.png,TMT-control_redlinestimulus7.png,0,9,9,9,,,,,,,,,15.697153299999627,None,1,0,0.2516654999999446,15.697153299999627,None,,,,,,,,001,2021_Oct_21_1801,TMTAB,2021.2.3,59.906820930715796,
6,1,TMT-control_linestimulus8.png,TMT-control_greenlinestimulus8.png,TMT-control_redlinestimulus8.png,0,10,10,10,,,,,,,,,16.047373200000038,None,1,1,0.21033260000058362,16.047373200000038,None,,,,,,,,001,2021_Oct_21_1801,TMTAB,2021.2.3,59.906820930715796,
F,2,TMT-control_linestimulus9.png,TMT-control_greenlinestimulus9.png,TMT-control_redlinestimulus9.png,0,11,11,11,,,,,,,,,16.347425199999634,None,2,1,0.5095921000001908,16.347425199999634,None,,,,,,,,001,2021_Oct_21_1801,TMTAB,2021.2.3,59.906820930715796,
,,,,,,,,,,,,,,,,,,,,,,,,16.91434659999959,None,escape,1.4011310999994748,16.91434659999959,None,,001,2021_Oct_21_1801,TMTAB,2021.2.3,59.906820930715796,
,,,,,,,,,,,,,18.33177749999959,None,18.33177749999959,None,,,,,,,,,,,,,,,,,,,,
