NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,displaylasttrialresult.started,displaylasttrialresult.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,0,0,0,0,,,,,6.5318881000002875,None,6.5318881000002875,None,7.330650799999603,None,1,0,0.5975834000000759,7.330650799999603,None,,,,,,001,2021_Oct_27_1315,TMTAB,2021.2.3,143.96236248099595,
A,3,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,0,1,1,1,,,,,,,,,8.00392599999941,None,2,0,0.6692464000007021,8.00392599999941,None,,,,,,001,2021_Oct_27_1315,TMTAB,2021.2.3,143.96236248099595,
2,2,TMT-B_linestimulus0.png,TMT-B_greenlinestimulus0.png,TMT-B_redlinestimulus0.png,0,2,2,2,,,,,,,,,8.760925200000202,None,1,0,1.8232788000004803,8.760925200000202,None,,,,,,001,2021_Oct_27_1315,TMTAB,2021.2.3,143.96236248099595,
B,3,TMT-B_linestimulus1.png,TMT-B_greenlinestimulus1.png,TMT-B_redlinestimulus1.png,0,3,3,3,,,,,,,,,10.664596699999493,None,2,0,0.46013479999965057,10.664596699999493,None,,,,,,001,2021_Oct_27_1315,TMTAB,2021.2.3,143.96236248099595,
3,1,TMT-B_linestimulus2.png,TMT-B_greenlinestimulus2.png,TMT-B_redlinestimulus2.png,0,4,4,4,,,,,,,,,11.205628900000193,None,1,1,0.3629993000004106,11.205628900000193,None,,,,,,001,2021_Oct_27_1315,TMTAB,2021.2.3,143.96236248099595,
C,2,TMT-B_linestimulus3.png,TMT-B_greenlinestimulus3.png,TMT-B_redlinestimulus3.png,0,5,5,5,,,,,,,,,11.65626549999979,None,2,1,0.32449149999956717,11.65626549999979,None,,,,,,001,2021_Oct_27_1315,TMTAB,2021.2.3,143.96236248099595,
4,1,TMT-B_linestimulus4.png,TMT-B_greenlinestimulus4.png,TMT-B_redlinestimulus4.png,0,6,6,6,,,,,,,,,12.065925799999604,None,1,1,0.32360609999977896,12.065925799999604,None,,,,,,001,2021_Oct_27_1315,TMTAB,2021.2.3,143.96236248099595,
D,2,TMT-B_linestimulus5.png,TMT-B_greenlinestimulus5.png,TMT-B_redlinestimulus5.png,0,7,7,7,,,,,,,,,12.475712100000237,None,2,1,0.38279700000020966,12.475712100000237,None,,,,,,001,2021_Oct_27_1315,TMTAB,2021.2.3,143.96236248099595,
5,3,TMT-B_linestimulus6.png,TMT-B_greenlinestimulus6.png,TMT-B_redlinestimulus6.png,0,8,8,8,,,,,,,,,12.933862099999715,None,1,0,0.389441700000134,12.933862099999715,None,,,,,,001,2021_Oct_27_1315,TMTAB,2021.2.3,143.96236248099595,
E,1,TMT-B_linestimulus7.png,TMT-B_greenlinestimulus7.png,TMT-B_redlinestimulus7.png,0,9,9,9,,,,,,,,,13.406015900000057,None,2,0,0.49683850000019447,13.406015900000057,None,,,,,,001,2021_Oct_27_1315,TMTAB,2021.2.3,143.96236248099595,
6,2,TMT-B_linestimulus8.png,TMT-B_greenlinestimulus8.png,TMT-B_redlinestimulus8.png,0,10,10,10,,,,,,,,,13.989171999999598,None,2,1,0.741037700000561,13.989171999999598,None,,,,,,001,2021_Oct_27_1315,TMTAB,2021.2.3,143.96236248099595,
F,3,TMT-B_linestimulus9.png,TMT-B_greenlinestimulus9.png,TMT-B_redlinestimulus9.png,0,11,11,11,,,,,,,,,14.815676799999892,None,2,0,1.0439562000001388,14.815676799999892,None,,,,,,001,2021_Oct_27_1315,TMTAB,2021.2.3,143.96236248099595,
None,None,None,TMT-B_greenlinestimulus10.png,TMT-B_redlinestimulus10.png,0,12,12,12,,,,,,,,,None,None,None,1,,None,None,,,,,,001,2021_Oct_27_1315,TMTAB,2021.2.3,143.96236248099595,
,,,,,,,,,,,,,,,,,,,,,,,,17.939396799999486,None,16.95258399999966,17.953653399999894,,,,,,,
