NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,0,0,0,0,7.989009300000362,None,7.989009300000362,None,8.580649399999857,None,3,0,0.5392661999994743,8.580649399999857,None,,001,2021_Oct_27_1317,TMTAB,2021.2.3,142.81389064994272,
A,3,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,0,1,1,1,,,,,9.183638900000005,None,3,1,0.5895296999997299,9.183638900000005,None,,001,2021_Oct_27_1317,TMTAB,2021.2.3,142.81389064994272,
2,2,TMT-B_linestimulus0.png,TMT-B_greenlinestimulus0.png,TMT-B_redlinestimulus0.png,0,2,2,2,,,,,9.84355930000038,None,3,0,0.40120850000039354,9.84355930000038,None,,001,2021_Oct_27_1317,TMTAB,2021.2.3,142.81389064994272,
B,3,TMT-B_linestimulus1.png,TMT-B_greenlinestimulus1.png,TMT-B_redlinestimulus1.png,0,3,3,3,,,,,10.322484000000259,None,3,1,0.4225783000001684,10.322484000000259,None,,001,2021_Oct_27_1317,TMTAB,2021.2.3,142.81389064994272,
3,1,TMT-B_linestimulus2.png,TMT-B_greenlinestimulus2.png,TMT-B_redlinestimulus2.png,0,4,4,4,,,,,10.836390299999948,None,3,0,0.3336410000001706,10.836390299999948,None,,001,2021_Oct_27_1317,TMTAB,2021.2.3,142.81389064994272,
C,2,TMT-B_linestimulus3.png,TMT-B_greenlinestimulus3.png,TMT-B_redlinestimulus3.png,0,5,5,5,,,,,11.260009300000092,None,3,0,0.3652116000002934,11.260009300000092,None,,001,2021_Oct_27_1317,TMTAB,2021.2.3,142.81389064994272,
4,1,TMT-B_linestimulus4.png,TMT-B_greenlinestimulus4.png,TMT-B_redlinestimulus4.png,0,6,6,6,,,,,11.719249499999933,None,3,0,0.3578526999999667,11.719249499999933,None,,001,2021_Oct_27_1317,TMTAB,2021.2.3,142.81389064994272,
D,2,TMT-B_linestimulus5.png,TMT-B_greenlinestimulus5.png,TMT-B_redlinestimulus5.png,0,7,7,7,,,,,12.148818100000426,None,3,0,0.44301500000074157,12.148818100000426,None,,001,2021_Oct_27_1317,TMTAB,2021.2.3,142.81389064994272,
5,3,TMT-B_linestimulus6.png,TMT-B_greenlinestimulus6.png,TMT-B_redlinestimulus6.png,0,8,8,8,,,,,12.669832999999926,None,3,1,0.38189669999974285,12.669832999999926,None,,001,2021_Oct_27_1317,TMTAB,2021.2.3,142.81389064994272,
E,1,TMT-B_linestimulus7.png,TMT-B_greenlinestimulus7.png,TMT-B_redlinestimulus7.png,0,9,9,9,,,,,13.128030599999875,None,3,0,0.4100522999997338,13.128030599999875,None,,001,2021_Oct_27_1317,TMTAB,2021.2.3,142.81389064994272,
6,2,TMT-B_linestimulus8.png,TMT-B_greenlinestimulus8.png,TMT-B_redlinestimulus8.png,0,10,10,10,,,,,13.620868300000438,None,3,0,0.7980853999997635,13.620868300000438,None,,001,2021_Oct_27_1317,TMTAB,2021.2.3,142.81389064994272,
F,3,TMT-B_linestimulus9.png,TMT-B_greenlinestimulus9.png,TMT-B_redlinestimulus9.png,0,11,11,11,,,,,14.495911199999682,None,3,1,2.232569899999362,14.495911199999682,None,,001,2021_Oct_27_1317,TMTAB,2021.2.3,142.81389064994272,
None,None,None,TMT-B_greenlinestimulus10.png,TMT-B_redlinestimulus10.png,0,12,12,12,,,,,16.80375550000008,None,None,1,,16.80375550000008,None,,001,2021_Oct_27_1317,TMTAB,2021.2.3,142.81389064994272,
