NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.jpg,TMT-B_1_1.jpg,TMT-B_1_1.jpg,10,,0,0,0,0,,,,,7.206757500000094,None,7.206757500000094,None,8.322022000000288,None,1,1,1.8245671000004222,8.322022000000288,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
A,2,TMT-B_1_1.jpg,TMT-B_1_1firstgreen.jpg,TMT-B_1_1firstred.jpg,10,,0,1,1,1,,,,,,,,,10.217178700000659,None,1,0,0.9764065999988816,10.217178700000659,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,,0,2,2,2,,,,,,,,,11.27898819999973,None,1,1,0.45041029999993043,11.27898819999973,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,,0,3,3,3,,,,,,,,,11.808481200001552,None,1,0,0.2853513000009116,11.808481200001552,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,,0,4,4,4,,,,,,,,,12.175025500000629,None,1,0,0.3181183999986388,12.175025500000629,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,,0,5,5,5,,,,,,,,,12.563729199999216,None,1,1,0.3812523999986297,12.563729199999216,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,,0,6,6,6,,,,,,,,,13.02234640000097,None,1,0,0.4184270000005199,13.02234640000097,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,,0,7,7,7,,,,,,,,,13.528955500001757,None,1,0,1.2207277999987127,13.528955500001757,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,,0,8,8,8,,,,,,,,,14.820680299999367,None,1,0,0.3887070000018866,14.820680299999367,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,,0,9,9,9,,,,,,,,,15.279172999998991,None,1,1,0.41673609999998007,15.279172999998991,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
