NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,NumB_1_2erLetter,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.jpg,TMT-B_1_1.jpg,TMT-B_1_1.jpg,10,,0,0,0,0,,,,,,,,,,7.014600200000132,None,7.014600200000132,None,8.194399200001499,None,2,0,0.14143220000187284,8.194399200001499,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
A,2,TMT-B_1_1.jpg,TMT-B_1_1firstgreen.jpg,TMT-B_1_1firstred.jpg,10,,0,1,1,1,,,,,,,,,,,,,,8.429835099999764,None,3,0,0.3284660999997868,8.429835099999764,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,,0,2,2,2,,,,,,,,,,,,,,8.848151099999086,None,2,0,0.22478400000181864,8.848151099999086,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,,0,3,3,3,,,,,,,,,,,,,,9.158663500002149,None,2,0,0.4755638999995426,9.158663500002149,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,,0,4,4,4,,,,,,,,,,,,,,9.722163200000068,None,1,0,0.34818520000044373,9.722163200000068,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,,0,5,5,5,,,,,,,,,,,,,,10.158464600001025,None,2,0,0.32512909999786643,10.158464600001025,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,,0,6,6,6,,,,,,,,,,,,,,10.56138220000139,None,3,0,0.3728856999987329,10.56138220000139,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,,0,7,7,7,,,,,,,,,,,,,,11.013233199999377,None,2,0,0.37913359999947716,11.013233199999377,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,,0,8,8,8,,,,,,,,,,,,,,11.478620400001091,None,2,1,0.4592421999986982,11.478620400001091,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,,0,9,9,9,,,,,,,,,,,,,,12.026698699999542,None,2,0,1.3035848999970767,12.026698699999542,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
6,2,TMT-B_1_1linestimulus8.png,TMT-B_1_1greenlinestimulus8.png,TMT-B_1_1redlinestimulus8.png,10,,0,10,10,10,,,,,,,,,,,,,,13.401789700001245,None,2,1,0.44224899999971967,13.401789700001245,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
F,3,TMT-B_1_1linestimulus9.png,TMT-B_1_1greenlinestimulus9.png,TMT-B_1_1redlinestimulus9.png,10,,0,11,11,11,,,,,,,,,,,,,,13.922751900001458,None,2,0,0.4963103999980376,13.922751900001458,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
None,None,None,TMT-B_1_1greenlinestimulus10.png,TMT-B_1_1redlinestimulus10.png,1,,0,12,12,12,,,,,,,,,,,,,,14.499328300000343,None,None,1,,14.499328300000343,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
,3,TMT-BX_1_1.jpg,TMT-BX_1_1.jpg,TMT-BX_1_1.jpg,,7,,,,,0,0,0,0,,,,,,,,,,18.554181399998924,None,2,0,0.43351500000062515,18.554181399998924,None,15.502878999999666,None,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
,1,TMT-BX_1_1.jpg,TMT-BX_1_1firstgreen.jpg,TMT-BX_1_1firstred.jpg,,G,,,,,0,1,1,1,,,,,,,,,,19.075075100001413,None,2,0,0.3098184999980731,19.075075100001413,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
