NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,NumB_1_2erLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials4.thisRepN,trials4.thisTrialN,trials4.thisN,trials4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,,,0,0,0,0,,,,,,,,,,,,,20.971845799998846,None,20.971845799998846,None,64.22237339999992,None,1,1,2.475562199993874,64.22237339999992,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
A,2,TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,,,0,1,1,1,,,,,,,,,,,,,,,,,66.87167809999664,None,2,1,0.884391500003403,66.87167809999664,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,,,0,2,2,2,,,,,,,,,,,,,,,,,67.964598999999,None,1,1,1.4328060999978334,67.964598999999,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,,,0,3,3,3,,,,,,,,,,,,,,,,,69.62168399999791,None,3,1,13.109841899989988,69.62168399999791,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,,,0,4,4,4,,,,,,,,,,,,,,,,,82.94543520000298,None,3,0,14.320880500003113,82.94543520000298,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,,,0,5,5,5,,,,,,,,,,,,,,,,,97.40392419999989,None,3,0,6.311550799990073,97.40392419999989,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,,,0,6,6,6,,,,,,,,,,,,,,,,,103.82112340000458,None,3,0,1.3639410999894608,103.82112340000458,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,,,0,7,7,7,,,,,,,,,,,,,,,,,105.32613790000323,None,3,1,1.10700089999591,105.32613790000323,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,,,0,8,8,8,,,,,,,,,,,,,,,,,106.572594199999,None,3,0,0.8753370000049472,106.572594199999,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,,,0,9,9,9,,,,,,,,,,,,,,,,,107.60124119999819,None,3,0,0.5579965999932028,107.60124119999819,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
6,2,TMT-B_1_1linestimulus8.png,TMT-B_1_1greenlinestimulus8.png,TMT-B_1_1redlinestimulus8.png,10,,,0,10,10,10,,,,,,,,,,,,,,,,,108.29332029999932,None,3,0,1.5337388000043575,108.29332029999932,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
F,3,TMT-B_1_1linestimulus9.png,TMT-B_1_1greenlinestimulus9.png,TMT-B_1_1redlinestimulus9.png,10,,,0,11,11,11,,,,,,,,,,,,,,,,,110.0161339000042,None,3,1,13.70748040000035,110.0161339000042,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
None,None,None,TMT-B_1_1greenlinestimulus10.png,TMT-B_1_1redlinestimulus10.png,1,,,0,12,12,12,,,,,,,,,,,,,,,,,123.81980510000722,None,None,1,,123.81980510000722,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,3,TMT-BX_1_1.png,TMT-BX_1_1.png,TMT-BX_1_1.png,,7,,,,,,0,0,0,0,,,,,,,,,,,,,127.96596190000128,None,2,0,19.102267800000845,127.96596190000128,None,124.83610070000577,None,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,1,TMT-BX_1_1.png,TMT-BX_1_1firstgreen.png,TMT-BX_1_1firstred.png,,G,,,,,,0,1,1,1,,,,,,,,,,,,,147.19232180000108,None,2,0,6.526006799991592,147.19232180000108,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,2,TMT-BX_1_1linestimulus0.png,TMT-BX_1_1greenlinestimulus0.png,TMT-BX_1_1redlinestimulus0.png,,8,,,,,,0,2,2,2,,,,,,,,,,,,,153.82821380000678,None,None,0,,153.82821380000678,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,1,TMT-BX_1_1linestimulus1.png,TMT-BX_1_1greenlinestimulus1.png,TMT-BX_1_1redlinestimulus1.png,,H,,,,,,0,3,3,3,,,,,,,,,,,,,154.3166589333317,None,None,0,,154.3166589333317,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,3,TMT-BX_1_1linestimulus2.png,TMT-BX_1_1greenlinestimulus2.png,TMT-BX_1_1redlinestimulus2.png,,9,,,,,,0,4,4,4,,,,,,,,,,,,,154.39999226666504,None,None,0,,154.39999226666504,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,1,TMT-BX_1_1linestimulus3.png,TMT-BX_1_1greenlinestimulus3.png,TMT-BX_1_1redlinestimulus3.png,,I,,,,,,0,5,5,5,,,,,,,,,,,,,154.48332559999835,None,None,0,,154.48332559999835,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
