NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,12.485810600002878,None,13.714329199996428,None,3,0.8073352000064915,13.714329199996428,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1830,TMTAB,2021.2.3,None,
1,['2'],TMTstop-Control_1_practice.png,TMTstop-Control_1_practice.png,TMTstop-Control_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,14.618213599998853,None,17.694486100008362,None,3,0,1.668679800000973,17.694486100008362,None,,,,,,,,001,2021_Nov_17_1830,TMTAB,2021.2.3,None,
2,['3'],TMTstop-Control_1_practice.png,TMTstop-Control_1_practicefirstgreen.png,TMTstop-Control_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,19.4830088000017,None,3,0,3.251815199997509,19.4830088000017,None,,,,,,,,001,2021_Nov_17_1830,TMTAB,2021.2.3,None,
3,['2'],TMTstop-Control_1_practicelinestimulus0.png,TMTstop-Control_1_practicegreenlinestimulus0.png,TMTstop-Control_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,22.93186140000762,None,2,0,2.206570299997111,22.93186140000762,None,,,,,,,,001,2021_Nov_17_1830,TMTAB,2021.2.3,None,
4,['1'],TMTstop-Control_1_practicelinestimulus1.png,TMTstop-Control_1_practicegreenlinestimulus1.png,TMTstop-Control_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,25.28392220000387,None,1,0,1.0662907999940217,25.28392220000387,None,,,,,,,,001,2021_Nov_17_1830,TMTAB,2021.2.3,None,
5,['2'],TMTstop-Control_1_practicelinestimulus2.png,TMTstop-Control_1_practicegreenlinestimulus2.png,TMTstop-Control_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,26.439007100008894,None,1,0,0.2950464000023203,26.439007100008894,None,,,,,,,,001,2021_Nov_17_1830,TMTAB,2021.2.3,None,
6,['1'],TMTstop-Control_1_practicelinestimulus3.png,TMTstop-Control_1_practicegreenlinestimulus3.png,TMTstop-Control_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,26.853633799997624,None,1,0,0.2714112999965437,26.853633799997624,None,,,,,,,,001,2021_Nov_17_1830,TMTAB,2021.2.3,None,
7,['2'],TMTstop-Control_1_practicelinestimulus4.png,TMTstop-Control_1_practicegreenlinestimulus4.png,TMTstop-Control_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,27.272074799999245,None,1,0,0.24179919999733102,27.272074799999245,None,,,,,,,,001,2021_Nov_17_1830,TMTAB,2021.2.3,None,
8,['1'],TMTstop-Control_1_practicelinestimulus5.png,TMTstop-Control_1_practicegreenlinestimulus5.png,TMTstop-Control_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,27.684373700001743,None,1,0,0.19642379999277182,27.684373700001743,None,,,,,,,,001,2021_Nov_17_1830,TMTAB,2021.2.3,None,
9,['3'],TMTstop-Control_1_practicelinestimulus6.png,TMTstop-Control_1_practicegreenlinestimulus6.png,TMTstop-Control_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,28.101065399998333,None,1,0,0.1723758000007365,28.101065399998333,None,,,,,,,,001,2021_Nov_17_1830,TMTAB,2021.2.3,None,
10,['1'],TMTstop-Control_1_practicelinestimulus7.png,TMTstop-Control_1_practicegreenlinestimulus7.png,TMTstop-Control_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,28.379022499997518,None,1,0,0.2798642999987351,28.379022499997518,None,,,,,,,,001,2021_Nov_17_1830,TMTAB,2021.2.3,None,
11,['3'],TMTstop-Control_1_practicelinestimulus8.png,TMTstop-Control_1_practicegreenlinestimulus8.png,TMTstop-Control_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,28.792416700001922,None,1,0,0.29646389999834355,28.792416700001922,None,,,,,,,,001,2021_Nov_17_1830,TMTAB,2021.2.3,None,
12,['1'],TMTstop-Control_1_practicelinestimulus9.png,TMTstop-Control_1_practicegreenlinestimulus9.png,TMTstop-Control_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,29.208824500004994,None,1,0,0.30670760000066366,29.208824500004994,None,,,,,,,,001,2021_Nov_17_1830,TMTAB,2021.2.3,None,
None,None,TMTstop-Control_1_practicelinestimulus10.png,TMTstop-Control_1_practicegreenlinestimulus10.png,TMTstop-Control_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,29.638084499994875,None,None,1,,29.638084499994875,None,,,,,,,,001,2021_Nov_17_1830,TMTAB,2021.2.3,None,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,30.652712600000086,None,2,2.3216121000004932,30.652712600000086,None,,001,2021_Nov_17_1830,TMTAB,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,33.00565609999467,None,,,,,,,,,,,,,,,,,,,,
