NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,0,0,0,,,,,14.006245800002944,None,14.006245800002944,None,14.241118599995389,None,2,1,37.07371840000269,14.241118599995389,None,,,,001,2021_Oct_22_1141,TMTAB,2021.2.3,None,
A,3,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,1,1,1,,,,,,,,,51.4082070000004,None,3,1,8.404974299992318,51.4082070000004,None,,,,001,2021_Oct_22_1141,TMTAB,2021.2.3,None,
2,1,TMT-control_linestimulus0.png,TMT-control_greenlinestimulus0.png,TMT-control_redlinestimulus0.png,0,2,2,2,,,,,,,,,59.92962310000439,None,1,1,8.869386200007284,59.92962310000439,None,,,,001,2021_Oct_22_1141,TMTAB,2021.2.3,None,
B,2,TMT-control_linestimulus1.png,TMT-control_greenlinestimulus1.png,TMT-control_redlinestimulus1.png,0,3,3,3,,,,,,,,,68.91563420000602,None,None,0,,68.91563420000602,None,,,,001,2021_Oct_22_1141,TMTAB,2021.2.3,None,
1,3,TMT-control2.jpg,TMT-control2.jpg,TMT-control2.jpg,,,,,0,0,0,0,,,,,104.28088986667086,None,None,0,,104.28088986667086,None,,,,001,2021_Oct_22_1141,TMTAB,2021.2.3,None,
A,1,TMT-control2.jpg,TMT-control2.jpg,TMT-control2.jpg,,,,,0,1,1,1,,,,,104.33088986667086,None,None,0,,104.33088986667086,None,,,,001,2021_Oct_22_1141,TMTAB,2021.2.3,None,
2,3,TMT-control2_linestimulus0.png,TMT-control2_greenlinestimulus0.png,TMT-control2_redlinestimulus0.png,,,,,0,2,2,2,,,,,104.39755653333754,None,None,0,,104.39755653333754,None,,,,001,2021_Oct_22_1141,TMTAB,2021.2.3,None,
B,1,TMT-control2_linestimulus1.png,TMT-control2_greenlinestimulus1.png,TMT-control2_redlinestimulus1.png,,,,,0,3,3,3,,,,,104.4642232000042,None,None,0,,104.4642232000042,None,,,,001,2021_Oct_22_1141,TMTAB,2021.2.3,None,
3,2,TMT-control2_linestimulus2.png,TMT-control2_greenlinestimulus2.png,TMT-control2_redlinestimulus2.png,,,,,0,4,4,4,,,,,104.54755653333753,None,None,0,,104.54755653333753,None,,,,001,2021_Oct_22_1141,TMTAB,2021.2.3,None,
C,3,TMT-control2_linestimulus3.png,TMT-control2_greenlinestimulus3.png,TMT-control2_redlinestimulus3.png,,,,,0,5,5,5,,,,,104.6142232000042,None,None,0,,104.6142232000042,None,,,,001,2021_Oct_22_1141,TMTAB,2021.2.3,None,
4,2,TMT-control2_linestimulus4.png,TMT-control2_greenlinestimulus4.png,TMT-control2_redlinestimulus4.png,,,,,0,6,6,6,,,,,104.68088986667087,None,None,0,,104.68088986667087,None,,,,001,2021_Oct_22_1141,TMTAB,2021.2.3,None,
D,1,TMT-control2_linestimulus5.png,TMT-control2_greenlinestimulus5.png,TMT-control2_redlinestimulus5.png,,,,,0,7,7,7,,,,,104.74755653333753,None,None,0,,104.74755653333753,None,,,,001,2021_Oct_22_1141,TMTAB,2021.2.3,None,
5,3,TMT-control2_linestimulus6.png,TMT-control2_greenlinestimulus6.png,TMT-control2_redlinestimulus6.png,,,,,0,8,8,8,,,,,104.8142232000042,None,None,0,,104.8142232000042,None,,,,001,2021_Oct_22_1141,TMTAB,2021.2.3,None,
E,2,TMT-control2_linestimulus7.png,TMT-control2_greenlinestimulus7.png,TMT-control2_redlinestimulus7.png,,,,,0,9,9,9,,,,,104.89755653333754,None,None,0,,104.89755653333754,None,,,,001,2021_Oct_22_1141,TMTAB,2021.2.3,None,
6,1,TMT-control2_linestimulus8.png,TMT-control2_greenlinestimulus8.png,TMT-control2_redlinestimulus8.png,,,,,0,10,10,10,,,,,104.9642232000042,None,None,0,,104.9642232000042,None,,,,001,2021_Oct_22_1141,TMTAB,2021.2.3,None,
F,2,TMT-control2_linestimulus9.png,TMT-control2_greenlinestimulus9.png,TMT-control2_redlinestimulus9.png,,,,,0,11,11,11,,,,,105.03088986667086,None,None,0,,105.03088986667086,None,,,,001,2021_Oct_22_1141,TMTAB,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,105.0725395000045,None,,,,,,,
