NumberLetter,corrAns,StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMTAE3.bmp,0,0,0,0,6.753642099996796,None,6.753642099996796,None,10.394329500006279,None,1,1,0.9243264000106137,10.394329500006279,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
2,2,TMTAE3.bmp,0,1,1,1,,,,,11.329965600001742,None,2,1,5.107577800008585,11.329965600001742,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
3,3,TMTAE31.bmp,0,2,2,2,,,,,16.45304710000346,None,3,1,0.9474231999920448,16.45304710000346,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
4,1,TMTAE32.bmp,0,3,3,3,,,,,17.410883500007913,None,1,1,1.0725715000007767,17.410883500007913,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
5,2,TMTAE33.bmp,0,4,4,4,,,,,18.49957670000731,None,2,1,0.8969641000003321,18.49957670000731,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
6,3,TMTAE34.bmp,0,5,5,5,,,,,19.410475399999996,None,3,1,1.0351838000060525,19.410475399999996,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
7,2,TMTAE35.bmp,0,6,6,6,,,,,20.458585300002596,None,2,1,0.8761288999958197,20.458585300002596,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
8,1,TMTAE36.bmp,0,7,7,7,,,,,21.349534699998912,None,1,1,0.9279615999985253,21.349534699998912,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
9,3,TMTAE37.bmp,0,8,8,8,,,,,22.294639700005064,None,3,1,2.177985999995144,22.294639700005064,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
10,1,TMTAE38.bmp,0,9,9,9,,,,,24.48502069999813,None,1,1,0.9944035999942571,24.48502069999813,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
11,2,TMTAE39.bmp,0,10,10,10,,,,,25.495139300008304,None,2,1,0.8814321999961976,25.495139300008304,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
12,1,TMTAE310.bmp,0,11,11,11,,,,,26.392656199997873,None,1,1,0.9537776999932248,26.392656199997873,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
13,3,TMTAE311.bmp,0,12,12,12,,,,,27.35927129999618,None,3,1,0.9152595999912592,27.35927129999618,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
14,2,TMTAE312.bmp,0,13,13,13,,,,,28.290648900001543,None,2,1,0.9438578000117559,28.290648900001543,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
15,3,TMTAE313.bmp,0,14,14,14,,,,,29.250842599998577,None,3,1,0.947634600001038,29.250842599998577,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
16,1,TMTAE314.bmp,0,15,15,15,,,,,30.212659900003928,None,1,1,1.1868135000113398,30.212659900003928,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
17,2,TMTAE315.bmp,0,16,16,16,,,,,31.4105653000006,None,3,0,2.4310796999925515,31.4105653000006,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
18,3,TMTAE316.bmp,0,17,17,17,,,,,33.8587062000006,None,1,0,1.9919563999865204,33.8587062000006,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
19,2,TMTAE317.bmp,0,18,18,18,,,,,35.863426900003105,None,3,0,5.877979299999424,35.863426900003105,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
20,1,TMTAE318.bmp,0,19,19,19,,,,,41.7573909000057,None,1,1,7.69424510000681,41.7573909000057,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
21,2,TMTAE319.bmp,0,20,20,20,,,,,49.467750399999204,None,2,1,2.7277660999970976,49.467750399999204,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
22,1,TMTAE320.bmp,0,21,21,21,,,,,52.20884420000948,None,1,1,13.370797199997469,52.20884420000948,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
23,3,TMTAE323.bmp,0,22,22,22,,,,,65.5914141999965,None,2,0,2.6712354000046616,65.5914141999965,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
24,2,TMTAE322.bmp,0,23,23,23,,,,,68.27523579999979,None,3,0,0.39145779999671504,68.27523579999979,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
None,None,TMTAE323.bmp,0,24,24,24,,,,,68.68187349999789,None,3,0,0.5087933000031626,68.68187349999789,None,shsh,001,2021_Jun_09_1027,TMTA-7,2021.1.4,143.98537110229623,
