NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,10,0,0,0,0,,,,,6.070427700062282,None,6.070427700062282,None,6.874843799974769,None,['2'],1,[0.5778719999361783],6.874843799974769,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
A,['1'],TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1firstred.png,10,0,1,1,1,,,,,,,,,7.541778700076975,None,"['2', '2', '2', '2', '2']",0,"[0.2395111999940127, 0.48933219991158694, 0.6933039999566972, 0.9092091999482363, 1.1233336000004783]",7.541778700076975,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
2,['3'],TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,,,,,8.722639700048603,None,"['2', '2', '2', '2', '2']",0,"[0.29103600000962615, 0.504353899974376, 0.7224466999759898, 0.9646224000025541, 1.1990884999977425]",8.722639700048603,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
B,['2'],TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,,,,,9.972137200064026,None,['2'],1,[0.24012999993283302],9.972137200064026,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
3,['1'],TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,,,,,10.285114199970849,None,"['2', '2', '2', '2', '2']",0,"[0.20234250009525567, 2.8244760000379756, 3.6083166000898927, 4.273592900019139, 4.835969100007787]",10.285114199970849,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
C,['2'],TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,,,,,15.194135600002483,None,['2'],1,[1.1171322000445798],15.194135600002483,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
4,['1'],TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,,,,,16.389020500006154,None,"['2', '2', '2', '2', '2']",0,"[0.7824245999800041, 1.4110798999899998, 1.847874200087972, 2.2701645999914035, 2.614780900068581]",16.389020500006154,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
D,['2'],TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,,,,,19.07627570000477,None,['2'],1,[0.29126450000330806],19.07627570000477,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
5,['3'],TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,,,,,19.4446111000143,None,"['2', '2', '2', '2', '2']",0,"[0.237204400007613, 0.48754740005824715, 0.7442625999683514, 1.0038843000074849, 1.2502892999909818]",19.4446111000143,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
E,['1'],TMTstop-B_1_1linestimulus7.png,TMTstop-B_1_1greenlinestimulus7.png,TMTstop-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,,,,,20.75672800000757,None,"['2', '2', '3', '1']",1,"[0.18791980005335063, 0.4235652000643313, 0.6624729000031948, 0.7941713000182062]",20.75672800000757,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
