NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,0,0,0,0,,,,,,,,,,,,,6.675720800063573,None,6.675720800063573,None,7.369847199996002,None,"['1', '1', '2']",1,"[0.00823919998947531, 0.4758488000370562, 0.6279936000937596]",7.369847199996002,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,0,1,1,1,,,,,,,,,,,,,,,,,8.105965499999002,None,"['3', '1']",1,"[0.0285637000342831, 0.19348490005359054]",8.105965499999002,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,0,2,2,2,,,,,,,,,,,,,,,,,8.384368699975312,None,['2'],1,[0.03874440002255142],8.384368699975312,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,0,3,3,3,,,,,,,,,,,,,,,,,8.49497280002106,None,['3'],1,[0.03663460002280772],8.49497280002106,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,0,4,4,4,,,,,,,,,,,,,,,,,8.606069499976002,None,"['1', '2']",1,"[0.11914860003162175, 0.13982820010278374]",8.606069499976002,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,0,5,5,5,,,,,,,,,,,,,,,,,8.842756400001235,None,['3'],1,[0.04066449997480959],8.842756400001235,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,0,6,6,6,,,,,,,,,,,,,,,,,8.960980199975893,None,"['1', '2']",1,"[0.07345340005122125, 0.1378163000335917]",8.960980199975893,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,0,7,7,7,,,,,,,,,,,,,,,,,9.203568400000222,None,"['3', '1']",1,"[0.00045579997822642326, 0.17157530004624277]",9.203568400000222,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,0,8,8,8,,,,,,,,,,,,,,,,,9.45336230006069,None,['2'],1,[0.11251100001391023],9.45336230006069,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,0,9,9,9,,,,,,,,,,,,,,,,,9.647650200058706,None,"['2', '1', '2', '3', '1']",1,"[0.1974239000119269, 0.26084080000873655, 0.27352159994188696, 0.35944909998215735, 0.5166457999730483]",9.647650200058706,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
