NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,0,0,0,0,5.950146600000153,None,5.950146600000153,None,6.617801000000327,None,['2'],1,[0.059941200001048855],6.617801000000327,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,0,1,1,1,,,,,6.762882299997727,None,"['3', '1']",1,"[0.05206039999757195, 0.2073582000011811]",6.762882299997727,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,0,2,2,2,,,,,7.061423499995726,None,['2'],1,[-0.03297079999902053],7.061423499995726,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,0,3,3,3,,,,,7.138146400000551,None,['3'],1,[0.004223900003125891],7.138146400000551,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,0,4,4,4,,,,,7.221315299997514,None,"['1', '2']",1,"[0.04953119999845512, 0.16341929999907734]",7.221315299997514,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,0,5,5,5,,,,,7.478276499998174,None,['3'],1,[0.007864100000006147],7.478276499998174,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,0,6,6,6,,,,,7.5617148999954225,None,"['1', '2']",1,"[0.07528780000575352, 0.15124869999999646]",7.5617148999954225,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,0,7,7,7,,,,,7.804714099998819,None,"['3', '1']",1,"[0.016746699999202974, 0.15480440000101225]",7.804714099998819,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,0,8,8,8,,,,,8.07557369999995,None,['2'],1,[-0.010780600001453422],8.07557369999995,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,0,9,9,9,,,,,8.151925400001346,None,"['3', '1']",1,"[0.023172200002591126, 0.176481500006048]",8.151925400001346,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,0,10,10,10,,,,,8.422748899996805,None,['2'],1,[-0.011553700001968537],8.422748899996805,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,0,11,11,11,,,,,8.49918020000041,None,['3'],1,[0.03835809999873163],8.49918020000041,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,0,12,12,12,,,,,8.617295899995952,None,"['1', '2']",1,"[0.05729370000335621, 0.1163245000061579]",8.617295899995952,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,0,13,13,13,,,,,8.846400099995662,None,['3'],1,[0.018142899993108585],8.846400099995662,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,0,14,14,14,,,,,8.950548000000708,None,['1'],1,[0.04979979999916395],8.950548000000708,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,0,15,15,15,,,,,9.08239859999594,None,"['2', '3']",1,"[0.0005225999993854202, 0.12221799999679206]",9.08239859999594,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,0,16,16,16,,,,,9.283963199995924,None,"['1', '2']",1,"[0.06821599999966566, 0.14886829999886686]",9.283963199995924,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,0,17,17,17,,,,,9.513023100000282,None,['3'],1,[0.05406580000271788],9.513023100000282,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,0,18,18,18,,,,,9.645413199999894,None,['1'],1,[0.06510100000014063],9.645413199999894,None,,001,2021_Nov_15_1222,TMTAB,2021.2.3,144.29035836928102,
