NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,,,,,5.962956000003032,None,5.962956000003032,None,6.48203310000099,None,9.526693400002841,None,1,0.8440627000018139,9.526693400002841,None,,,,,,,,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,1,1,1,,,,,,,,,,,10.449154300004011,None,2,0.9143989000003785,10.449154300004011,None,,,,,,,,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,2,2,2,,,,,,,,,,,11.469924600001832,None,3,4.775330700002087,11.469924600001832,None,,,,,,,,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,3,3,3,,,,,,,,,,,16.338123300003645,None,1,0.6830587000004016,16.338123300003645,None,,,,,,,,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,4,4,4,,,,,,,,,,,17.122983600005682,None,2,0.031744699997943826,17.122983600005682,None,,,,,,,,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,5,5,5,,,,,,,,,,,17.22704650000378,None,3,0.3544645000001765,17.22704650000378,None,,,,,,,,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,6,6,6,,,,,,,,,,,17.657350500005123,None,1,0.07973350000247592,17.657350500005123,None,,,,,,,,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,7,7,7,,,,,,,,,,,17.81078260000504,None,3,0.1308640999995987,17.81078260000504,None,,,,,,,,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,8,8,8,,,,,,,,,,,18.018662200003746,None,2,0.19360750000487315,18.018662200003746,None,,,,,,,,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,9,9,9,,,,,,,,,,,18.31049790000543,None,3,0.03953659999388037,18.31049790000543,None,,,,,,,,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
