NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,8.213066600001184,None,8.213066600001184,None,8.919652399999904,None,11.964484800002538,None,1,1.2089551999961259,11.964484800002538,None,,,,,,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,13.261786399998527,None,2,0.28908919999958016,13.261786399998527,None,,,,,,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,13.629866399998718,None,3,0.1225923000019975,13.629866399998718,None,,,,,,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,13.83178030000272,None,1,0.12934949999907985,13.83178030000272,None,,,,,,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,14.033299700000498,None,2,0.23792130000219913,14.033299700000498,None,,,,,,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,14.352329000001191,None,3,0.10436530000151834,14.352329000001191,None,,,,,,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,14.525981600003433,None,1,0.11026520000450546,14.525981600003433,None,,,,,,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,14.713229900000442,None,3,0.7852429999984452,14.713229900000442,None,,,,,,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,15.567844800003513,None,2,0.7890456999957678,15.567844800003513,None,,,,,,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,16.44294549999904,None,3,0.0597399000034784,16.44294549999904,None,,,,,,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,16.58144429999811,None,1,0.16263310000067577,16.58144429999811,None,,,,,,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,16.824224900003173,None,2,0.6954442999995081,16.824224900003173,None,,,,,,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,17.58817860000272,None,None,,17.58817860000272,None,,,,,,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,None,None,None,None,None,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,1,0,1,0,0,0,0,0,,,,,,,18.650601300003473,None,1,1.279634200000146,18.650601300003473,None,,,,,,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,1,0,1,0,0,1,1,1,,,,,,,20.02589689999877,None,2,0.12424369999644114,20.02589689999877,None,,,,,,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,1,0,1,0,0,2,2,2,,,,,,,20.21998149999854,None,3,0.057342799998878036,20.21998149999854,None,,,,,,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1,0,1,0,0,3,3,3,,,,,,,20.359116400002677,None,1,0.11483250000310363,20.359116400002677,None,,,,,,,001,2021_Nov_15_1356,TMTAB,2021.2.3,143.90953272277346,
