NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,5.904333500002394,None,5.904333500002394,None,6.548039699999208,None,9.598915199996554,None,1,0.9077476000020397,9.598915199996554,None,,001,2021_Nov_15_1439,TMTAB,2021.2.3,143.73226703261068,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,10.619856099998287,None,2,0.3663455999994767,10.619856099998287,None,,001,2021_Nov_15_1439,TMTAB,2021.2.3,143.73226703261068,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,11.071301199997833,None,3,0.03198810000321828,11.071301199997833,None,,001,2021_Nov_15_1439,TMTAB,2021.2.3,143.73226703261068,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,11.182401500002015,None,1,0.1118757000003825,11.182401500002015,None,,001,2021_Nov_15_1439,TMTAB,2021.2.3,143.73226703261068,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,11.363395100001071,None,2,0.023254400002770126,11.363395100001071,None,,001,2021_Nov_15_1439,TMTAB,2021.2.3,143.73226703261068,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,11.4674021000028,None,3,0.027987699999357574,11.4674021000028,None,,001,2021_Nov_15_1439,TMTAB,2021.2.3,143.73226703261068,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,11.571464799999376,None,1,1.0539635999957682,11.571464799999376,None,,001,2021_Nov_15_1439,TMTAB,2021.2.3,143.73226703261068,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,12.724080699998012,None,3,0.3366846999997506,12.724080699998012,None,,001,2021_Nov_15_1439,TMTAB,2021.2.3,143.73226703261068,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,13.161871600001177,None,2,1.584604900002887,13.161871600001177,None,,001,2021_Nov_15_1439,TMTAB,2021.2.3,143.73226703261068,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,14.821324800002913,None,3,0.12367009999434231,14.821324800002913,None,,001,2021_Nov_15_1439,TMTAB,2021.2.3,143.73226703261068,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,15.015510199998971,None,1,0.7876189000016893,15.015510199998971,None,,001,2021_Nov_15_1439,TMTAB,2021.2.3,143.73226703261068,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,15.90441319999809,None,2,0.5147958000015933,15.90441319999809,None,,001,2021_Nov_15_1439,TMTAB,2021.2.3,143.73226703261068,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,16.501843699996243,None,None,,16.501843699996243,None,,001,2021_Nov_15_1439,TMTAB,2021.2.3,143.73226703261068,
