NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,5.884156499996607,None,5.884156499996607,None,6.658814700000221,None,9.709601599999587,None,1,0.6216244999959599,9.709601599999587,None,,,,,,,001,2021_Nov_15_1441,TMTAB,2021.2.3,143.26134451860858,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,10.452968199999304,None,2,0.3611139999993611,10.452968199999304,None,,,,,,,001,2021_Nov_15_1441,TMTAB,2021.2.3,143.26134451860858,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,10.91152609999699,None,3,0.08295649999490706,10.91152609999699,None,,,,,,,001,2021_Nov_15_1441,TMTAB,2021.2.3,143.26134451860858,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,11.064474200000404,None,1,0.12885890000325162,11.064474200000404,None,,,,,,,001,2021_Nov_15_1441,TMTAB,2021.2.3,143.26134451860858,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,11.273244399999385,None,2,0.4928195000029518,11.273244399999385,None,,,,,,,001,2021_Nov_15_1441,TMTAB,2021.2.3,143.26134451860858,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,11.841748200000438,None,3,0.04215020000265213,11.841748200000438,None,,,,,,,001,2021_Nov_15_1441,TMTAB,2021.2.3,143.26134451860858,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,11.95290599999862,None,1,0.1070975999973598,11.95290599999862,None,,,,,,,001,2021_Nov_15_1441,TMTAB,2021.2.3,143.26134451860858,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,12.140572199998132,None,3,0.11450889999832725,12.140572199998132,None,,,,,,,001,2021_Nov_15_1441,TMTAB,2021.2.3,143.26134451860858,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,12.335314399999334,None,2,0.14323180000064895,12.335314399999334,None,,,,,,,001,2021_Nov_15_1441,TMTAB,2021.2.3,143.26134451860858,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,12.578006299998378,None,3,0.02046229999541538,12.578006299998378,None,,,,,,,001,2021_Nov_15_1441,TMTAB,2021.2.3,143.26134451860858,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,12.675327500001004,None,1,0.06464099999720929,12.675327500001004,None,,,,,,,001,2021_Nov_15_1441,TMTAB,2021.2.3,143.26134451860858,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,12.814214999998512,None,2,1.0449227999997674,12.814214999998512,None,,,,,,,001,2021_Nov_15_1441,TMTAB,2021.2.3,143.26134451860858,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,13.96826969999529,None,None,,13.96826969999529,None,,,,,,,001,2021_Nov_15_1441,TMTAB,2021.2.3,143.26134451860858,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,001,2021_Nov_15_1441,TMTAB,2021.2.3,143.26134451860858,
,,,,,,,,,,,,,,,,,,,,,,14.978035100000852,None,,,,,,,,,,,,,,,,,,
