NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,6.704031200000827,None,6.704031200000827,None,7.660675099999935,None,10.76335619999918,None,1,0.6986206999990827,10.76335619999918,None,,,,,,,,,,,,,,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,11.548020700000052,None,2,0.284827999999834,11.548020700000052,None,,,,,,,,,,,,,,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,11.964166199999454,None,3,0.2625761999988754,11.964166199999454,None,,,,,,,,,,,,,,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,12.347761700000774,None,1,0.011834599999929196,12.347761700000774,None,,,,,,,,,,,,,,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,12.44773030000033,None,2,0.30223949999890465,12.44773030000033,None,,,,,,,,,,,,,,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,12.864650800000163,None,3,0.26322930000060296,12.864650800000163,None,,,,,,,,,,,,,,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,13.248149499999272,None,1,0.0123976999984734,13.248149499999272,None,,,,,,,,,,,,,,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,13.348292799999399,None,3,0.12728939999942668,13.348292799999399,None,,,,,,,,,,,,,,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,13.598262400000749,None,2,0.10563299999921583,13.598262400000749,None,,,,,,,,,,,,,,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,13.798412399999506,None,3,0.012706299999990733,13.798412399999506,None,,,,,,,,,,,,,,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,13.898586200000864,None,1,0.041933200000130455,13.898586200000864,None,,,,,,,,,,,,,,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,14.031983700000637,None,2,0.6775281000009272,14.031983700000637,None,,,,,,,,,,,,,,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,14.799269400000412,None,None,,14.799269400000412,None,,,,,,,,,,,,,,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,15.846293900000092,None,x,6.138548700000683,15.846293900000092,None,,,,,,,,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,,,,,,,,,0,0,0,0,,,,,,,,,22.017241400000785,None,,,,,,,,,,,,,25.119820899999468,None,"['1', '2']",1,"[0.8888460999987728, 0.9884355999984109]",25.119820899999468,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,26.204165700000885,None,"['3', '1']",1,"[0.0846149000008154, 0.23128060000090045]",26.204165700000885,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,26.52097590000085,None,['2'],1,[6.779999966965988e-05],26.52097590000085,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,26.604249800000616,None,['3'],1,[0.008721599999262253],26.604249800000616,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,26.704535799999576,None,"['1', '2']",1,"[0.08190699999977369, 0.14551729999948293]",26.704535799999576,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,26.971290999999837,None,['3'],1,[-0.019181299998308532],26.971290999999837,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,27.054644499999995,None,"['1', '2']",1,"[0.0740763000012521, 0.12547900000026857]",27.054644499999995,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,27.271284399999786,None,"['3', '1']",1,"[0.02231510000092385, 0.1740791000011086]",27.271284399999786,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
