NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,6.279574500000308,None,6.279574500000308,None,6.726048499998797,None,9.84479250000004,None,1,0.7172074999998586,9.84479250000004,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,10.628947499999413,None,2,0.3067774000010104,10.628947499999413,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,11.028936499998963,None,3,0.3134726000007504,11.028936499998963,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,11.44590590000007,None,1,0.03512320000118052,11.44590590000007,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,11.546250499999587,None,2,0.011060499999075546,11.546250499999587,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,11.629151699999056,None,3,0.024130400001013186,11.629151699999056,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,11.746006800000032,None,1,0.036988100000598934,11.746006800000032,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,11.862938700000086,None,3,0.11720109999987471,11.862938700000086,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,12.079538500000126,None,2,0.10997200000019802,12.079538500000126,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,12.279567800000223,None,3,0.024296900000990718,12.279567800000223,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,12.380242699999144,None,1,0.048593999999866355,12.380242699999144,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,12.49633569999969,None,2,0.5325558000004094,12.49633569999969,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,13.09643270000015,None,None,,13.09643270000015,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,14.144442099999651,None,x,2.6294596000007004,14.144442099999651,None,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,1,0,1,0,0,0,0,0,,,,,,,16.865663099999438,None,1,2.6635722999999416,16.865663099999438,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,1,0,1,0,0,1,1,1,,,,,,,19.599932600000102,None,2,0.8413540000001376,19.599932600000102,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,1,0,1,0,0,2,2,2,,,,,,,20.53380399999878,None,3,0.37201869999989867,20.53380399999878,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
