NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,7.915263100003358,None,7.915263100003358,None,8.439516900005401,None,11.524452400000882,None,1,0.757635100002517,11.524452400000882,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,12.392632100003539,None,2,0.03567680000560358,12.392632100003539,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,12.518430800002534,None,3,0.0075799000042025,12.518430800002534,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,12.608481900009792,None,1,0.05842159999883734,12.608481900009792,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,12.762205500010168,None,2,0.2732333000021754,12.762205500010168,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,13.157885600012378,None,3,0.32671660000050906,13.157885600012378,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,13.581226499998593,None,1,0.031472199989366345,13.581226499998593,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,13.699278500003857,None,3,0.095147400003043,13.699278500003857,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,13.87300010000763,None,2,0.1136901999998372,13.87300010000763,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,14.087831800003187,None,3,0.019091399997705594,14.087831800003187,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,14.199631900002714,None,1,0.010260700000799261,14.199631900002714,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,14.290696299998672,None,2,0.020156599988695234,14.290696299998672,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,14.39343930000905,None,None,,14.39343930000905,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,15.473953400010942,None,x,3.003483199994662,15.473953400010942,None,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,1,0,1,0,0,0,0,0,,,,,,,,,,,18.60165200001211,None,1,0.44742589999805205,18.60165200001211,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,1,0,1,0,0,1,1,1,,,,,,,,,,,19.163615400000708,None,2,0.30221319998963736,19.163615400000708,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,1,0,1,0,0,2,2,2,,,,,,,,,,,19.573708399999305,None,3,0.29361590000917204,19.573708399999305,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1,0,1,0,0,3,3,3,,,,,,,,,,,19.977126400000998,None,1,0.03618709999136627,19.977126400000998,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,1,0,1,0,0,4,4,4,,,,,,,,,,,20.122669400007,None,2,0.2552762999985134,20.122669400007,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,1,0,1,0,0,5,5,5,,,,,,,,,,,20.521149500011234,None,3,0.34340729999530595,20.521149500011234,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,1,0,1,0,0,6,6,6,,,,,,,,,,,20.970175400012522,None,1,0.0527732000045944,20.970175400012522,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,1,0,1,0,0,7,7,7,,,,,,,,,,,21.122789300003205,None,3,0.09777300000132527,21.122789300003205,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,1,0,1,0,0,8,8,8,,,,,,,,,,,21.330456399999093,None,2,0.42244449999998324,21.330456399999093,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,1,0,1,0,0,9,9,9,,,,,,,,,,,21.906440899998415,None,3,0.7923176000040257,21.906440899998415,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,1,0,1,0,0,10,10,10,,,,,,,,,,,22.809676400007447,None,1,0.32406230000196956,22.809676400007447,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,1,0,1,0,0,11,11,11,,,,,,,,,,,23.234135100006824,None,2,2.9308217000070726,23.234135100006824,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,1,0,1,0,0,12,12,12,,,,,,,,,,,26.27464040000632,None,None,,26.27464040000632,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,27.27205120000872,None,1,4.695412899993244,27.27205120000872,None,,001,2021_Nov_17_1050,TMTAB,2021.2.3,143.7190465159553,
,,,,,,,,,,,,,,,,,,,,,,31.98040480000782,None,,,,,,,,,,,,,,,,,,,
