NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,0,0,0,,,,,10.287579000003461,None,10.287579000003461,None,11.563069300002098,None,2,1,2.14106510000056,11.563069300002098,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
A,3,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,1,1,1,,,,,,,,,13.780680300002132,None,3,1,0.9436310999990383,13.780680300002132,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
2,1,TMT-control_linestimulus0.png,TMT-control_greenlinestimulus0.png,TMT-control_redlinestimulus0.png,0,2,2,2,,,,,,,,,14.797516200000246,None,2,0,0.5298929999989923,14.797516200000246,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
B,2,TMT-control_linestimulus1.png,TMT-control_greenlinestimulus1.png,TMT-control_redlinestimulus1.png,0,3,3,3,,,,,,,,,15.414798100002372,None,2,1,0.7208690000006754,15.414798100002372,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
3,3,TMT-control_linestimulus2.png,TMT-control_greenlinestimulus2.png,TMT-control_redlinestimulus2.png,0,4,4,4,,,,,,,,,16.23188050000317,None,2,0,0.5381406999986211,16.23188050000317,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
C,2,TMT-control_linestimulus3.png,TMT-control_greenlinestimulus3.png,TMT-control_redlinestimulus3.png,0,5,5,5,,,,,,,,,16.865430700003344,None,2,1,0.5950792000003275,16.865430700003344,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
4,1,TMT-control_linestimulus4.png,TMT-control_greenlinestimulus4.png,TMT-control_redlinestimulus4.png,0,6,6,6,,,,,,,,,17.532315800002834,None,2,0,0.6394647000015539,17.532315800002834,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
D,3,TMT-control_linestimulus5.png,TMT-control_greenlinestimulus5.png,TMT-control_redlinestimulus5.png,0,7,7,7,,,,,,,,,18.266158900001756,None,2,0,0.6280329000001075,18.266158900001756,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
5,1,TMT-control_linestimulus6.png,TMT-control_greenlinestimulus6.png,TMT-control_redlinestimulus6.png,0,8,8,8,,,,,,,,,18.966247800002748,None,2,0,0.6366687999980059,18.966247800002748,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
E,2,TMT-control_linestimulus7.png,TMT-control_greenlinestimulus7.png,TMT-control_redlinestimulus7.png,0,9,9,9,,,,,,,,,19.70021330000236,None,2,1,0.5459037000000535,19.70021330000236,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
6,1,TMT-control_linestimulus8.png,TMT-control_greenlinestimulus8.png,TMT-control_redlinestimulus8.png,0,10,10,10,,,,,,,,,20.333749700002954,None,2,0,0.6967081000002509,20.333749700002954,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
F,2,TMT-control_linestimulus9.png,TMT-control_greenlinestimulus9.png,TMT-control_redlinestimulus9.png,0,11,11,11,,,,,,,,,21.11726439999984,None,2,1,4.499990800002706,21.11726439999984,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
1,3,TMT-control2.jpg,TMT-control2.jpg,TMT-control2.jpg,,,,,0,0,0,0,,,,,25.6860869000011,None,None,0,,25.6860869000011,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
A,1,TMT-control2.jpg,TMT-control2.jpg,TMT-control2.jpg,,,,,0,1,1,1,,,,,26.603803310002693,None,None,0,,26.603803310002693,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
2,3,TMT-control2_linestimulus0.png,TMT-control2_greenlinestimulus0.png,TMT-control2_redlinestimulus0.png,,,,,0,2,2,2,,,,,26.654464820002612,None,None,0,,26.654464820002612,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
B,1,TMT-control2_linestimulus1.png,TMT-control2_greenlinestimulus1.png,TMT-control2_redlinestimulus1.png,,,,,0,3,3,3,,,,,26.705126330002532,None,None,0,,26.705126330002532,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
3,2,TMT-control2_linestimulus2.png,TMT-control2_greenlinestimulus2.png,TMT-control2_redlinestimulus2.png,,,,,0,4,4,4,,,,,26.755787840002448,None,None,0,,26.755787840002448,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
C,3,TMT-control2_linestimulus3.png,TMT-control2_greenlinestimulus3.png,TMT-control2_redlinestimulus3.png,,,,,0,5,5,5,,,,,26.806449350002367,None,None,0,,26.806449350002367,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
4,2,TMT-control2_linestimulus4.png,TMT-control2_greenlinestimulus4.png,TMT-control2_redlinestimulus4.png,,,,,0,6,6,6,,,,,26.857110860002283,None,None,0,,26.857110860002283,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
D,1,TMT-control2_linestimulus5.png,TMT-control2_greenlinestimulus5.png,TMT-control2_redlinestimulus5.png,,,,,0,7,7,7,,,,,26.907772370002203,None,None,0,,26.907772370002203,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
5,3,TMT-control2_linestimulus6.png,TMT-control2_greenlinestimulus6.png,TMT-control2_redlinestimulus6.png,,,,,0,8,8,8,,,,,26.975321050002094,None,None,0,,26.975321050002094,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
E,2,TMT-control2_linestimulus7.png,TMT-control2_greenlinestimulus7.png,TMT-control2_redlinestimulus7.png,,,,,0,9,9,9,,,,,27.02598256000201,None,None,0,,27.02598256000201,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
6,1,TMT-control2_linestimulus8.png,TMT-control2_greenlinestimulus8.png,TMT-control2_redlinestimulus8.png,,,,,0,10,10,10,,,,,27.07664407000193,None,None,0,,27.07664407000193,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
F,2,TMT-control2_linestimulus9.png,TMT-control2_greenlinestimulus9.png,TMT-control2_redlinestimulus9.png,,,,,0,11,11,11,,,,,27.12730558000185,None,None,0,,27.12730558000185,None,,,,,,,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
,,,,,,,,,,,,,,,,,,,,,,,,27.136822200001916,None,escape,2.474237300000823,27.136822200001916,None,,001,2021_Oct_21_2253,TMTAB,2021.2.3,59.97843175579596,
