NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,0,0,0,0,,,,,5.937164899999971,None,5.937164899999971,None,6.783913299999995,None,2,1,0.4404054000000315,6.783913299999995,None,,,,001,2021_Oct_27_1126,TMTAB,2021.2.3,144.75550794711862,
A,3,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,0,1,1,1,,,,,,,,,7.28419580000002,None,3,1,0.14531969999995908,7.28419580000002,None,,,,001,2021_Oct_27_1126,TMTAB,2021.2.3,144.75550794711862,
2,2,TMT-B_linestimulus0.png,TMT-B_greenlinestimulus0.png,TMT-B_redlinestimulus0.png,0,2,2,2,,,,,,,,,7.505959500000017,None,1,0,0.28573770000002696,7.505959500000017,None,,,,001,2021_Oct_27_1126,TMTAB,2021.2.3,144.75550794711862,
B,3,TMT-B_linestimulus1.png,TMT-B_greenlinestimulus1.png,TMT-B_redlinestimulus1.png,0,3,3,3,,,,,,,,,7.873862499999973,None,2,0,0.1767917000000807,7.873862499999973,None,,,,001,2021_Oct_27_1126,TMTAB,2021.2.3,144.75550794711862,
3,1,TMT-B_linestimulus2.png,TMT-B_greenlinestimulus2.png,TMT-B_redlinestimulus2.png,0,4,4,4,,,,,,,,,8.123829199999932,None,3,0,0.08044389999997748,8.123829199999932,None,,,,001,2021_Oct_27_1126,TMTAB,2021.2.3,144.75550794711862,
C,2,TMT-B_linestimulus3.png,TMT-B_greenlinestimulus3.png,TMT-B_redlinestimulus3.png,0,5,5,5,,,,,,,,,8.277260099999921,None,1,0,0.12571509999997943,8.277260099999921,None,,,,001,2021_Oct_27_1126,TMTAB,2021.2.3,144.75550794711862,
4,1,TMT-B_linestimulus4.png,TMT-B_greenlinestimulus4.png,TMT-B_redlinestimulus4.png,0,6,6,6,,,,,,,,,8.478095899999971,None,2,0,-0.0017219000000068263,8.478095899999971,None,,,,001,2021_Oct_27_1126,TMTAB,2021.2.3,144.75550794711862,
D,2,TMT-B_linestimulus5.png,TMT-B_greenlinestimulus5.png,TMT-B_redlinestimulus5.png,0,7,7,7,,,,,,,,,8.56825809999998,None,3,0,0.035504299999956856,8.56825809999998,None,,,,001,2021_Oct_27_1126,TMTAB,2021.2.3,144.75550794711862,
5,3,TMT-B_linestimulus6.png,TMT-B_greenlinestimulus6.png,TMT-B_redlinestimulus6.png,0,8,8,8,,,,,,,,,8.67949520000002,None,1,0,0.15440050000006522,8.67949520000002,None,,,,001,2021_Oct_27_1126,TMTAB,2021.2.3,144.75550794711862,
E,1,TMT-B_linestimulus7.png,TMT-B_greenlinestimulus7.png,TMT-B_redlinestimulus7.png,0,9,9,9,,,,,,,,,8.915641699999924,None,2,0,0.04004710000003797,8.915641699999924,None,,,,001,2021_Oct_27_1126,TMTAB,2021.2.3,144.75550794711862,
6,2,TMT-B_linestimulus8.png,TMT-B_greenlinestimulus8.png,TMT-B_redlinestimulus8.png,0,10,10,10,,,,,,,,,9.026651899999933,None,2,1,0.4341537000000244,9.026651899999933,None,,,,001,2021_Oct_27_1126,TMTAB,2021.2.3,144.75550794711862,
F,3,TMT-B_linestimulus9.png,TMT-B_greenlinestimulus9.png,TMT-B_redlinestimulus9.png,0,11,11,11,,,,,,,,,9.53366219999998,None,3,1,0.10430889999997817,9.53366219999998,None,,,,001,2021_Oct_27_1126,TMTAB,2021.2.3,144.75550794711862,
,,,,,,,,,,,,,,,,,,,,,,,,9.649313799999959,None,,,,,,,
