NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,NumberLetter,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.jpg,TMT-B_1_1.jpg,TMT-B_1_1.jpg,10,0,0,0,0,,,,,,10.168347900000299,None,10.168347900000299,None,11.203264000001582,None,1,1,1.7552386000006663,11.203264000001582,None,,,,001,2021_Oct_27_1529,TMTAB,2021.2.3,144.25289263269522,
A,2,TMT-B_1_1.jpg,TMT-B_1_1firstgreen.jpg,TMT-B_1_1firstred.jpg,10,0,1,1,1,,,,,,,,,,13.036246700001357,None,2,1,3.463927999999214,13.036246700001357,None,,,,001,2021_Oct_27_1529,TMTAB,2021.2.3,144.25289263269522,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,,,,,,16.57767430000058,None,2,0,3.502282900000864,16.57767430000058,None,,,,001,2021_Oct_27_1529,TMTAB,2021.2.3,144.25289263269522,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,,,,,,20.161289800000304,None,2,0,2.5244956000005914,20.161289800000304,None,,,,001,2021_Oct_27_1529,TMTAB,2021.2.3,144.25289263269522,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,,,,,,22.75844010000037,None,2,1,2.189251099998728,22.75844010000037,None,,,,001,2021_Oct_27_1529,TMTAB,2021.2.3,144.25289263269522,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,,,,,,25.022001000001183,None,3,0,1.1880199000006542,25.022001000001183,None,,,,001,2021_Oct_27_1529,TMTAB,2021.2.3,144.25289263269522,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,,,,,,26.285962400001154,None,1,0,0.6110692000002018,26.285962400001154,None,,,,001,2021_Oct_27_1529,TMTAB,2021.2.3,144.25289263269522,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,,,,,,26.966183000000456,None,2,0,0.9243893000002572,26.966183000000456,None,,,,001,2021_Oct_27_1529,TMTAB,2021.2.3,144.25289263269522,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,,,,,,27.973612400001002,None,3,0,0.3767310000002908,27.973612400001002,None,,,,001,2021_Oct_27_1529,TMTAB,2021.2.3,144.25289263269522,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,,,,,,28.438478900001428,None,3,0,0.4200974999985192,28.438478900001428,None,,,,001,2021_Oct_27_1529,TMTAB,2021.2.3,144.25289263269522,
6,2,TMT-B_1_1linestimulus8.png,TMT-B_1_1greenlinestimulus8.png,TMT-B_1_1redlinestimulus8.png,10,0,10,10,10,,,,,,,,,,28.945712800001274,None,3,0,0.5141956999996182,28.945712800001274,None,,,,001,2021_Oct_27_1529,TMTAB,2021.2.3,144.25289263269522,
F,3,TMT-B_1_1linestimulus9.png,TMT-B_1_1greenlinestimulus9.png,TMT-B_1_1redlinestimulus9.png,10,0,11,11,11,,,,,,,,,,29.549565000001166,None,3,1,0.46005409999997937,29.549565000001166,None,,,,001,2021_Oct_27_1529,TMTAB,2021.2.3,144.25289263269522,
None,None,None,TMT-B_1_1greenlinestimulus10.png,TMT-B_1_1redlinestimulus10.png,1,0,12,12,12,,,,,,,,,,30.098114899999928,None,None,1,,30.098114899999928,None,,,,001,2021_Oct_27_1529,TMTAB,2021.2.3,144.25289263269522,
,,,,,,,,,,,,,,,,,,,,,,,,,,31.10330470000008,None,,,,,,,
