NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,NumB_1_2erLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,,,0,0,0,0,,,,,,,,,,,,,7.2100171000020055,None,7.2100171000020055,None,8.031696599999123,None,1,1,0.9073991000004753,8.031696599999123,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
A,2,TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,,,0,1,1,1,,,,,,,,,,,,,,,,,9.036425599999347,None,2,1,0.3898048999981256,9.036425599999347,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,,,0,2,2,2,,,,,,,,,,,,,,,,,9.52207510000153,None,3,0,1.090126600000076,9.52207510000153,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,,,0,3,3,3,,,,,,,,,,,,,,,,,10.696084600000177,None,None,0,,10.696084600000177,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,3,TMT-BX_1_1.png,TMT-BX_1_1.png,TMT-BX_1_1.png,,7,,,,,,0,0,0,0,,,,,,,,,,,,,16.08457247999904,None,None,0,,16.08457247999904,None,13.039822800001275,None,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,1,TMT-BX_1_1.png,TMT-BX_1_1firstgreen.png,TMT-BX_1_1firstred.png,,G,,,,,,0,1,1,1,,,,,,,,,,,,,16.150815539999165,None,None,0,,16.150815539999165,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,2,TMT-BX_1_1linestimulus0.png,TMT-BX_1_1greenlinestimulus0.png,TMT-BX_1_1redlinestimulus0.png,,8,,,,,,0,2,2,2,,,,,,,,,,,,,16.224418939999303,None,None,0,,16.224418939999303,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,1,TMT-BX_1_1linestimulus1.png,TMT-BX_1_1greenlinestimulus1.png,TMT-BX_1_1redlinestimulus1.png,,H,,,,,,0,3,3,3,,,,,,,,,,,,,16.31274301999947,None,None,0,,16.31274301999947,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,3,TMT-BX_1_1linestimulus2.png,TMT-BX_1_1greenlinestimulus2.png,TMT-BX_1_1redlinestimulus2.png,,9,,,,,,0,4,4,4,,,,,,,,,,,,,16.401067099999636,None,None,0,,16.401067099999636,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,1,TMT-BX_1_1linestimulus3.png,TMT-BX_1_1greenlinestimulus3.png,TMT-BX_1_1redlinestimulus3.png,,I,,,,,,0,5,5,5,,,,,,,,,,,,,16.496751519999815,None,None,0,,16.496751519999815,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
