NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,0,0,0,0,9.56549909999012,None,9.56549909999012,None,10.807133800000884,None,1,1,0.8522745000082068,10.807133800000884,None,,001,2021_Oct_28_1608,TMTAB,2021.2.3,99.26789925301675,
A,2,TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,0,1,1,1,,,,,11.766150900002685,None,2,1,0.9784882000094512,11.766150900002685,None,,001,2021_Oct_28_1608,TMTAB,2021.2.3,99.26789925301675,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,12.836084099995787,None,1,1,0.675299399998039,12.836084099995787,None,,001,2021_Oct_28_1608,TMTAB,2021.2.3,99.26789925301675,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,13.615964199998416,None,1,0,0.4127281000110088,13.615964199998416,None,,001,2021_Oct_28_1608,TMTAB,2021.2.3,99.26789925301675,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,14.127737999995588,None,1,0,0.1855280000017956,14.127737999995588,None,,001,2021_Oct_28_1608,TMTAB,2021.2.3,99.26789925301675,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,14.41211089999706,None,2,0,0.2942460000049323,14.41211089999706,None,,001,2021_Oct_28_1608,TMTAB,2021.2.3,99.26789925301675,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,14.823269100001198,None,2,1,0.19162660000438336,14.823269100001198,None,,001,2021_Oct_28_1608,TMTAB,2021.2.3,99.26789925301675,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,15.1217023999925,None,3,1,0.07989390000875574,15.1217023999925,None,,001,2021_Oct_28_1608,TMTAB,2021.2.3,99.26789925301675,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,15.302102599991485,None,1,0,0.10171809999155812,15.302102599991485,None,,001,2021_Oct_28_1608,TMTAB,2021.2.3,99.26789925301675,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,15.538861199995154,None,2,0,-0.039174899997306056,15.538861199995154,None,,001,2021_Oct_28_1608,TMTAB,2021.2.3,99.26789925301675,
6,2,TMT-B_1_1linestimulus8.png,TMT-B_1_1greenlinestimulus8.png,TMT-B_1_1redlinestimulus8.png,10,0,10,10,10,,,,,15.67766039998969,None,3,0,-0.05462950000946876,15.67766039998969,None,,001,2021_Oct_28_1608,TMTAB,2021.2.3,99.26789925301675,
F,3,TMT-B_1_1linestimulus9.png,TMT-B_1_1greenlinestimulus9.png,TMT-B_1_1redlinestimulus9.png,10,0,11,11,11,,,,,15.789231499991729,None,1,0,-0.01903320000565145,15.789231499991729,None,,001,2021_Oct_28_1608,TMTAB,2021.2.3,99.26789925301675,
None,None,None,TMT-B_1_1greenlinestimulus10.png,TMT-B_1_1redlinestimulus10.png,1,0,12,12,12,,,,,15.892788899989682,None,2,0,-0.05817050000769086,15.892788899989682,None,,001,2021_Oct_28_1608,TMTAB,2021.2.3,99.26789925301675,
