NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,NumB_1_2erLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials4.thisRepN,trials4.thisTrialN,trials4.thisN,trials4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,,,0,0,0,0,,,,,,,,,,,,,8.390141999989282,None,8.390141999989282,None,23.677044299984118,None,['1'],0,[0.9622774999879766],23.677044299984118,None,,,,,,001,2021_Oct_29_1219,TMTAB,2021.2.3,138.47768712148115,
A,2,TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,,,0,1,1,1,,,,,,,,,,,,,,,,,24.729780699999537,None,['1'],0,[1.390081600024132],24.729780699999537,None,,,,,,001,2021_Oct_29_1219,TMTAB,2021.2.3,138.47768712148115,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,,,0,2,2,2,,,,,,,,,,,,,,,,,26.22457629998098,None,['1'],0,[0.5065084999951068],26.22457629998098,None,,,,,,001,2021_Oct_29_1219,TMTAB,2021.2.3,138.47768712148115,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,,,0,3,3,3,,,,,,,,,,,,,,,,,26.84237130000838,None,['1'],0,[0.3016205999883823],26.84237130000838,None,,,,,,001,2021_Oct_29_1219,TMTAB,2021.2.3,138.47768712148115,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,,,0,4,4,4,,,,,,,,,,,,,,,,,27.23066539998399,None,['1'],0,[0.6373067999957129],27.23066539998399,None,,,,,,001,2021_Oct_29_1219,TMTAB,2021.2.3,138.47768712148115,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,,,0,5,5,5,,,,,,,,,,,,,,,,,27.961150799994357,None,['1'],0,[0.19413270000950433],27.961150799994357,None,,,,,,001,2021_Oct_29_1219,TMTAB,2021.2.3,138.47768712148115,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,,,0,6,6,6,,,,,,,,,,,,,,,,,28.25054429998272,None,None,0,,28.25054429998272,None,,,,,,001,2021_Oct_29_1219,TMTAB,2021.2.3,138.47768712148115,
,3,TMT-BX_1_1.png,TMT-BX_1_1.png,TMT-BX_1_1.png,,7,,,,,,0,0,0,0,,,,,,,,,,,,,116.79222199998912,None,None,0,,116.79222199998912,None,113.68398269999307,None,,,,001,2021_Oct_29_1219,TMTAB,2021.2.3,138.47768712148115,
,1,TMT-BX_1_1.png,TMT-BX_1_1firstgreen.png,TMT-BX_1_1firstred.png,,G,,,,,,0,1,1,1,,,,,,,,,,,,,116.88949552997947,None,None,0,,116.88949552997947,None,,,,,,001,2021_Oct_29_1219,TMTAB,2021.2.3,138.47768712148115,
,2,TMT-BX_1_1linestimulus0.png,TMT-BX_1_1greenlinestimulus0.png,TMT-BX_1_1redlinestimulus0.png,,8,,,,,,0,2,2,2,,,,,,,,,,,,,116.99757722996874,None,None,0,,116.99757722996874,None,,,,,,001,2021_Oct_29_1219,TMTAB,2021.2.3,138.47768712148115,
,1,TMT-BX_1_1linestimulus1.png,TMT-BX_1_1greenlinestimulus1.png,TMT-BX_1_1redlinestimulus1.png,,H,,,,,,0,3,3,3,,,,,,,,,,,,,117.09485075995907,None,None,0,,117.09485075995907,None,,,,,,001,2021_Oct_29_1219,TMTAB,2021.2.3,138.47768712148115,
,3,TMT-BX_1_1linestimulus2.png,TMT-BX_1_1greenlinestimulus2.png,TMT-BX_1_1redlinestimulus2.png,,9,,,,,,0,4,4,4,,,,,,,,,,,,,117.20293245994834,None,None,0,,117.20293245994834,None,,,,,,001,2021_Oct_29_1219,TMTAB,2021.2.3,138.47768712148115,
