NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,NumB_1_2erLetter,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,,0,0,0,0,,,,,,,,,,9.832263499993132,None,9.832263499993132,None,12.857066600001417,None,['1'],0,[1.232032200001413],12.857066600001417,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
A,2,TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,,0,1,1,1,,,,,,,,,,,,,,14.16689680001582,None,['2'],0,[0.31702499999664724],14.16689680001582,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,,0,2,2,2,,,,,,,,,,,,,,14.569778400007635,None,['1'],0,[0.4036052000010386],14.569778400007635,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,,0,3,3,3,,,,,,,,,,,,,,15.07058220001636,None,['3'],0,[1.9574301999819],15.07058220001636,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,,0,4,4,4,,,,,,,,,,,,,,17.104969300009543,None,['2'],0,[1.0865465000097174],17.104969300009543,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,,0,5,5,5,,,,,,,,,,,,,,18.281292400002712,None,['1'],0,[2.9357847000064794],18.281292400002712,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,,0,6,6,6,,,,,,,,,,,,,,21.305358400015393,None,['2'],0,[1.9254201000148896],21.305358400015393,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,,0,7,7,7,,,,,,,,,,,,,,23.319275500020012,None,['3'],0,[0.8280725000076927],23.319275500020012,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,,0,8,8,8,,,,,,,,,,,,,,24.228804900019895,None,['2'],0,[1.1449511999962851],24.228804900019895,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,,0,9,9,9,,,,,,,,,,,,,,25.458615000010468,None,['1'],0,[1.4788423999852967],25.458615000010468,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
6,2,TMT-B_1_1linestimulus8.png,TMT-B_1_1greenlinestimulus8.png,TMT-B_1_1redlinestimulus8.png,10,,0,10,10,10,,,,,,,,,,,,,,27.020410800003447,None,['2'],0,[1.1178041999810375],27.020410800003447,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
F,3,TMT-B_1_1linestimulus9.png,TMT-B_1_1greenlinestimulus9.png,TMT-B_1_1redlinestimulus9.png,10,,0,11,11,11,,,,,,,,,,,,,,28.231230200006394,None,['3'],0,[1.1434973999857903],28.231230200006394,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
None,None,None,TMT-B_1_1greenlinestimulus10.png,TMT-B_1_1redlinestimulus10.png,1,,0,12,12,12,,,,,,,,,,,,,,29.479879000020446,None,None,1,,29.479879000020446,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
,3,TMT-BX_1_1.png,TMT-BX_1_1.png,TMT-BX_1_1.png,,7,,,,,0,0,0,0,,,,,,,,,,33.54170259999228,None,['3'],0,[11.188762700010557],33.54170259999228,None,30.476381999993464,None,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
,1,TMT-BX_1_1.png,TMT-BX_1_1firstgreen.png,TMT-BX_1_1firstred.png,,G,,,,,0,1,1,1,,,,,,,,,,44.892242300004,None,['1'],0,[3.644483999989461],44.892242300004,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
,2,TMT-BX_1_1linestimulus0.png,TMT-BX_1_1greenlinestimulus0.png,TMT-BX_1_1redlinestimulus0.png,,8,,,,,0,2,2,2,,,,,,,,,,48.6317864000157,None,['2'],0,[1.552473400020972],48.6317864000157,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
,1,TMT-BX_1_1linestimulus1.png,TMT-BX_1_1greenlinestimulus1.png,TMT-BX_1_1redlinestimulus1.png,,H,,,,,0,3,3,3,,,,,,,,,,50.27760000000126,None,['1'],0,[0.9709304999851156],50.27760000000126,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
,3,TMT-BX_1_1linestimulus2.png,TMT-BX_1_1greenlinestimulus2.png,TMT-BX_1_1redlinestimulus2.png,,9,,,,,0,4,4,4,,,,,,,,,,51.346454900020035,None,['3'],0,[3.085413900000276],51.346454900020035,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
,1,TMT-BX_1_1linestimulus3.png,TMT-BX_1_1greenlinestimulus3.png,TMT-BX_1_1redlinestimulus3.png,,I,,,,,0,5,5,5,,,,,,,,,,54.577874600014184,None,['1'],0,[1.0570058000157587],54.577874600014184,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
,2,TMT-BX_1_1linestimulus4.png,TMT-BX_1_1greenlinestimulus4.png,TMT-BX_1_1redlinestimulus4.png,,10,,,,,0,6,6,6,,,,,,,,,,55.72942400001921,None,['2'],0,[4.254986799991457],55.72942400001921,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
,3,TMT-BX_1_1linestimulus5.png,TMT-BX_1_1greenlinestimulus5.png,TMT-BX_1_1redlinestimulus5.png,,J,,,,,0,7,7,7,,,,,,,,,,60.07547870001872,None,['3'],0,[2.617999599984614],60.07547870001872,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
,2,TMT-BX_1_1linestimulus6.png,TMT-BX_1_1greenlinestimulus6.png,TMT-BX_1_1redlinestimulus6.png,,11,,,,,0,8,8,8,,,,,,,,,,62.7974918000109,None,['2'],0,[1.9594354000000749],62.7974918000109,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
,1,TMT-BX_1_1linestimulus7.png,TMT-BX_1_1greenlinestimulus7.png,TMT-BX_1_1redlinestimulus7.png,,K,,,,,0,9,9,9,,,,,,,,,,64.9130206000118,None,['1'],0,[0.9102375999791548],64.9130206000118,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
,2,TMT-BX_1_1linestimulus8.png,TMT-BX_1_1greenlinestimulus8.png,TMT-BX_1_1redlinestimulus8.png,,12,,,,,0,10,10,10,,,,,,,,,,65.9223081000091,None,['2'],0,[1.5154969999857713],65.9223081000091,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
,1,TMT-BX_1_1linestimulus9.png,TMT-BX_1_1greenlinestimulus9.png,TMT-BX_1_1redlinestimulus9.png,,L,,,,,0,11,11,11,,,,,,,,,,67.5340991000121,None,['1'],0,[0.7365883000020403],67.5340991000121,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
,None,None,TMT-BX_1_1greenlinestimulus10.png,TMT-BX_1_1redlinestimulus10.png,,None,,,,,0,12,12,12,,,,,,,,,,68.36032259999774,None,None,1,,68.36032259999774,None,,,,001,2021_Oct_29_1623,TMTAB,2021.2.3,138.2288461233341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.3713115999999,None,,,,,,,
