NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5825610000174493,10.746988099999726,None,,,,,,,,,,,,,,,,,,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,14.393478200072423,None,1,3.809340899810195,14.393478200072423,None,,,,,,,,,,,,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,18.27616270002909,None,2,0.22661959985271096,18.27616270002909,None,,,,,,,,,,,,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,18.57407410000451,None,3,0.0609349999576807,18.57407410000451,None,,,,,,,,,,,,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,18.71283799991943,None,1,0.11311679985374212,18.71283799991943,None,,,,,,,,,,,,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,18.911250199889764,None,2,0.27042690012604,18.911250199889764,None,,,,,,,,,,,,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,19.282307900022715,None,3,0.012449400033801794,19.282307900022715,None,,,,,,,,,,,,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,19.369411899941042,None,1,0.07223020005039871,19.369411899941042,None,,,,,,,,,,,,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,19.52111089997925,None,3,0.6489270001184195,19.52111089997925,None,,,,,,,,,,,,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,20.261833699885756,None,2,0.13607109989970922,20.261833699885756,None,,,,,,,,,,,,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
