NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.233728399965912,None,7.039466300047934,None,1,0.5112407000269741,7.039466300047934,None,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.568436699919403,None,10.610900399973616,None,1,0.5688098000828177,10.610900399973616,None,,,,,,,,,,,,,,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.256024699890986,None,2,0.08401180012151599,11.256024699890986,None,,,,,,,,,,,,,,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.415908700088039,None,3,0.3531777998432517,11.415908700088039,None,,,,,,,,,,,,,,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.853730600094423,None,1,0.06213270011357963,11.853730600094423,None,,,,,,,,,,,,,,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.992456200066954,None,2,0.2954250001348555,11.992456200066954,None,,,,,,,,,,,,,,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.367616399889812,None,3,0.03386369999498129,12.367616399889812,None,,,,,,,,,,,,,,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.47874699998647,None,1,0.07182730012573302,12.47874699998647,None,,,,,,,,,,,,,,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.631301600020379,None,3,0.10420450009405613,12.631301600020379,None,,,,,,,,,,,,,,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.80513669992797,None,2,0.14167740009725094,12.80513669992797,None,,,,,,,,,,,,,,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
