NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Condition_rows,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Condition_trials.thisRepN,Condition_trials.thisTrialN,Condition_trials.thisN,Condition_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,8.276453400030732,None,10.602421399904415,None,1,1.2092353000771254,10.602421399904415,None,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,11.832546799909323,None,14.874360699905083,None,1,2.306351900100708,14.874360699905083,None,,,,,,,,,,,,,,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,17.256625100038946,None,2,0.028540800092741847,17.256625100038946,None,,,,,,,,,,,,,,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,17.374755600001663,None,3,1.228074099868536,17.374755600001663,None,,,,,,,,,,,,,,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,18.68750820006244,None,1,0.07203420018777251,18.68750820006244,None,,,,,,,,,,,,,,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,18.840861100004986,None,2,0.31596579984761775,18.840861100004986,None,,,,,,,,,,,,,,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,19.25695120007731,None,3,0.01853320002555847,19.25695120007731,None,,,,,,,,,,,,,,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,19.353956300066784,None,1,0.8983469000086188,19.353956300066784,None,,,,,,,,,,,,,,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,20.3329213000834,None,3,0.12985419994220138,20.3329213000834,None,,,,,,,,,,,,,,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,20.541601000120863,None,2,0.1832163999788463,20.541601000120863,None,,,,,,,,,,,,,,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
