NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,6.594857899937779,None,7.807204099954106,None,3,0.5561322000576183,7.807204099954106,None,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,8.389756399905309,None,11.492695299908519,None,1,1.1719520000042394,11.492695299908519,None,,,,,,,,,,,,,,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,12.743764699902385,None,2,0.15636050002649426,12.743764699902385,None,,,,,,,,,,,,,,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,12.994044399936683,None,3,0.35107339988462627,12.994044399936683,None,,,,,,,,,,,,,,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,13.42761839996092,None,1,0.10880180005915463,13.42761839996092,None,,,,,,,,,,,,,,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,13.627678999910131,None,2,0.04460499994456768,13.627678999910131,None,,,,,,,,,,,,,,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,13.761248899972998,None,3,0.039816000033169985,13.761248899972998,None,,,,,,,,,,,,,,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,13.894422699930146,None,1,0.43821079994086176,13.894422699930146,None,,,,,,,,,,,,,,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,14.428147499915212,None,3,0.10639489989262074,14.428147499915212,None,,,,,,,,,,,,,,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,14.628219699952751,None,2,0.20552299998234957,14.628219699952751,None,,,,,,,,,,,,,,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
