NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,Block_file,Condition_rows,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,3,0.5304902999196202,10.10206720000133,None,,,,,,,,,,,,001,2022_Jan_24_1443,TMTAstop-A,2021.2.3,60.00614466203036,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,13.770701700006612,None,1,0.849929100018926,13.770701700006612,None,,,,,,001,2022_Jan_24_1443,TMTAstop-A,2021.2.3,60.00614466203036,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,14.705302700051107,None,2,0.05643580004107207,14.705302700051107,None,,,,,,001,2022_Jan_24_1443,TMTAstop-A,2021.2.3,60.00614466203036,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,14.854880300001241,None,3,0.2832058999920264,14.854880300001241,None,,,,,,001,2022_Jan_24_1443,TMTAstop-A,2021.2.3,60.00614466203036,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,15.255388100049458,None,1,0.032079200027510524,15.255388100049458,None,,,,,,001,2022_Jan_24_1443,TMTAstop-A,2021.2.3,60.00614466203036,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,15.371554200071841,None,2,0.26397369999904186,15.371554200071841,None,,,,,,001,2022_Jan_24_1443,TMTAstop-A,2021.2.3,60.00614466203036,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,15.721837200107984,None,3,0.03450459998566657,15.721837200107984,None,,,,,,001,2022_Jan_24_1443,TMTAstop-A,2021.2.3,60.00614466203036,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,15.838954200036824,None,1,0.049323500017635524,15.838954200036824,None,,,,,,001,2022_Jan_24_1443,TMTAstop-A,2021.2.3,60.00614466203036,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,15.971906800055876,None,3,0.0936652000527829,15.971906800055876,None,,,,,,001,2022_Jan_24_1443,TMTAstop-A,2021.2.3,60.00614466203036,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,16.155389800085686,None,2,0.10854359995573759,16.155389800085686,None,,,,,,001,2022_Jan_24_1443,TMTAstop-A,2021.2.3,60.00614466203036,
