NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,1,0.47926309995818883,8.606230000033975,None,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,12.207758800010197,None,1,0.7150171999819577,12.207758800010197,None,,,,,,,,,,,,,,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,12.994689099956304,None,2,0.2752416000002995,12.994689099956304,None,,,,,,,,,,,,,,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,13.392232100013644,None,3,0.2587321000173688,13.392232100013644,None,,,,,,,,,,,,,,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,13.775747900013812,None,1,0.003575499984435737,13.775747900013812,None,,,,,,,,,,,,,,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,13.87590620003175,None,2,0.00760939996689558,13.87590620003175,None,,,,,,,,,,,,,,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,13.975955500034615,None,3,0.32652230001986027,13.975955500034615,None,,,,,,,,,,,,,,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,14.426366199972108,None,1,0.02156459994148463,14.426366199972108,None,,,,,,,,,,,,,,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,14.542851299978793,None,3,0.08138039999175817,14.542851299978793,None,,,,,,,,,,,,,,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,14.70963189995382,None,2,0.09235459996853024,14.70963189995382,None,,,,,,,,,,,,,,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,14.926308599999174,None,3,0.2766872000647709,14.926308599999174,None,,,,,,,,,,,,,,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,15.326555899926461,None,1,0.2724319000262767,15.326555899926461,None,,,,,,,,,,,,,,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
