NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,TrialNumber_total,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['2'],2,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1.png,TMT_Control,C1,1,1,1,1,1.0,33.12130355834961,33.12130355834961,0.0,,1.0,1.0,0.0,1,2,2.8147460999898612,3.9383072999771684,33.12130355834961,33.12130355834961,0.0,,0.0
2,['1'],1,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1firstgreen.png,Images/TMTstop-control_1_1firstred.png,TMT_Control,C1,2,None,1,2,1.0,37.11662292480469,37.11662292480469,0.0,,1.0,1.0,0.0,1,0.7386671000276692,37.11662292480469,37.11662292480469,0.0,,1.0
3,['3'],3,Images/TMTstop-control_1_1linestimulus0.png,Images/TMTstop-control_1_1greenlinestimulus0.png,Images/TMTstop-control_1_1redlinestimulus0.png,TMT_Control,C1,3,None,1,3,1.0,37.92573165893555,37.92573165893555,0.0,,1.0,1.0,0.0,3,0.6794747000094503,37.92573165893555,37.92573165893555,0.0,,2.0
4,['1'],1,Images/TMTstop-control_1_1linestimulus1.png,Images/TMTstop-control_1_1greenlinestimulus1.png,Images/TMTstop-control_1_1redlinestimulus1.png,TMT_Control,C1,4,None,1,4,1.0,38.667442321777344,38.667442321777344,0.0,,1.0,1.0,0.0,1,0.4596497999737039,38.667442321777344,38.667442321777344,0.0,,3.0
5,['3'],3,Images/TMTstop-control_1_1linestimulus2.png,Images/TMTstop-control_1_1greenlinestimulus2.png,Images/TMTstop-control_1_1redlinestimulus2.png,TMT_Control,C1,5,None,1,5,1.0,39.192840576171875,39.192840576171875,0.0,,1.0,1.0,0.0,3,0.3731781999813393,39.192840576171875,39.192840576171875,0.0,,4.0
6,['1'],1,Images/TMTstop-control_1_1linestimulus3.png,Images/TMTstop-control_1_1greenlinestimulus3.png,Images/TMTstop-control_1_1redlinestimulus3.png,TMT_Control,C1,6,None,1,6,1.0,39.634422302246094,39.634422302246094,0.0,,1.0,1.0,0.0,1,0.38461870001628995,39.634422302246094,39.634422302246094,0.0,,5.0
7,['2'],2,Images/TMTstop-control_1_1linestimulus4.png,Images/TMTstop-control_1_1greenlinestimulus4.png,Images/TMTstop-control_1_1redlinestimulus4.png,TMT_Control,C1,7,None,1,7,1.0,40.07994079589844,40.07994079589844,0.0,,1.0,1.0,0.0,2,0.46867290005320683,40.07994079589844,40.07994079589844,0.0,,6.0
8,['1'],1,Images/TMTstop-control_1_1linestimulus4.png,Images/TMTstop-control_1_1greenlinestimulus5.png,Images/TMTstop-control_1_1redlinestimulus5.png,TMT_Control,C1,8,None,1,8,1.0,40.62166213989258,40.62166213989258,0.0,,1.0,1.0,0.0,1,0.36547080002492294,40.62166213989258,40.62166213989258,0.0,,7.0
9,['3'],3,Images/TMTstop-control_1_1linestimulus6.png,Images/TMTstop-control_1_1greenlinestimulus6.png,Images/TMTstop-control_1_1redlinestimulus6.png,TMT_Control,C1,9,None,1,9,1.0,41.029571533203125,41.029571533203125,0.0,,1.0,1.0,0.0,3,0.4681781000108458,41.029571533203125,41.029571533203125,0.0,,8.0
10,['2'],2,Images/TMTstop-control_1_1linestimulus7.png,Images/TMTstop-control_1_1greenlinestimulus7.png,Images/TMTstop-control_1_1redlinestimulus7.png,TMT_Control,C1,10,None,1,10,1.0,41.55465316772461,41.55465316772461,0.0,,1.0,1.0,0.0,2,0.382300499943085,41.55465316772461,41.55465316772461,0.0,,9.0
11,['1'],1,Images/TMTstop-control_1_1linestimulus8.png,Images/TMTstop-control_1_1greenlinestimulus8.png,Images/TMTstop-control_1_1redlinestimulus8.png,TMT_Control,C1,11,None,1,11,1.0,41.9962043762207,41.9962043762207,0.0,,1.0,1.0,0.0,1,0.43738909997045994,41.9962043762207,41.9962043762207,0.0,,10.0
12,['2'],2,Images/TMTstop-control_1_1linestimulus9.png,Images/TMTstop-control_1_1greenlinestimulus9.png,Images/TMTstop-control_1_1redlinestimulus9.png,TMT_Control,C1,12,None,1,12,1.0,42.50432205200195,42.50432205200195,0.0,,1.0,1.0,0.0,2,0.3563882000162266,42.50432205200195,42.50432205200195,0.0,,11.0
13,['3'],3,Images/TMTstop-control_1_1linestimulus10.png,Images/TMTstop-control_1_1greenlinestimulus10.png,Images/TMTstop-control_1_1redlinestimulus10.png,TMT_Control,C1,13,None,1,13,1.0,42.929405212402344,42.929405212402344,0.0,,1.0,1.0,0.0,3,0.2853511000284925,42.929405212402344,42.929405212402344,0.0,,12.0
14,['2'],2,Images/TMTstop-control_1_1linestimulus11.png,Images/TMTstop-control_1_1greenlinestimulus11.png,Images/TMTstop-control_1_1redlinestimulus11.png,TMT_Control,C1,14,None,1,14,1.0,43.2876091003418,43.2876091003418,0.0,,1.0,1.0,0.0,2,0.27227210003184155,43.2876091003418,43.2876091003418,0.0,,13.0
15,['3'],3,Images/TMTstop-control_1_1linestimulus12.png,Images/TMTstop-control_1_1greenlinestimulus12.png,Images/TMTstop-control_1_1redlinestimulus12.png,TMT_Control,C1,15,None,1,15,1.0,43.62909698486328,43.62909698486328,0.0,,1.0,1.0,0.0,3,0.41864780004834756,43.62909698486328,43.62909698486328,0.0,,14.0
16,['2'],2,Images/TMTstop-control_1_1linestimulus13.png,Images/TMTstop-control_1_1greenlinestimulus13.png,Images/TMTstop-control_1_1redlinestimulus13.png,TMT_Control,C1,16,None,1,16,1.0,44.10387420654297,44.10387420654297,0.0,,1.0,1.0,0.0,2,0.37913539999863133,44.10387420654297,44.10387420654297,0.0,,15.0
17,['3'],3,Images/TMTstop-control_1_1linestimulus14.png,Images/TMTstop-control_1_1greenlinestimulus14.png,Images/TMTstop-control_1_1redlinestimulus14.png,TMT_Control,C1,17,None,1,17,1.0,44.54541015625,44.54541015625,0.0,,1.0,1.0,0.0,3,0.4389767000102438,44.54541015625,44.54541015625,0.0,,16.0
18,['2'],2,Images/TMTstop-control_1_1linestimulus15.png,Images/TMTstop-control_1_1greenlinestimulus15.png,Images/TMTstop-control_1_1redlinestimulus15.png,TMT_Control,C1,18,None,1,18,1.0,45.044551849365234,45.044551849365234,0.0,,1.0,1.0,0.0,2,0.36979169998085126,45.044551849365234,45.044551849365234,0.0,,17.0
19,['1'],1,Images/TMTstop-control_1_1linestimulus16.png,Images/TMTstop-control_1_1greenlinestimulus16.png,Images/TMTstop-control_1_1redlinestimulus16.png,TMT_Control,C1,19,None,1,19,1.0,45.486629486083984,45.486629486083984,0.0,,1.0,1.0,0.0,1,0.30230460001621395,45.486629486083984,45.486629486083984,0.0,,18.0
20,['3'],3,Images/TMTstop-control_1_1linestimulus17.png,Images/TMTstop-control_1_1greenlinestimulus17.png,Images/TMTstop-control_1_1redlinestimulus17.png,TMT_Control,C1,20,None,1,20,1.0,45.861270904541016,45.861270904541016,0.0,,1.0,1.0,0.0,3,0.2794331999612041,45.861270904541016,45.861270904541016,0.0,,19.0
21,['1'],1,Images/TMTstop-control_1_1linestimulus18.png,Images/TMTstop-control_1_1greenlinestimulus18.png,Images/TMTstop-control_1_1redlinestimulus18.png,TMT_Control,C1,21,None,1,21,1.0,46.185977935791016,46.185977935791016,0.0,,1.0,1.0,0.0,1,0.32421819999581203,46.185977935791016,46.185977935791016,0.0,,20.0
22,['2'],2,Images/TMTstop-control_1_1linestimulus19.png,Images/TMTstop-control_1_1greenlinestimulus19.png,Images/TMTstop-control_1_1redlinestimulus19.png,TMT_Control,C1,22,None,1,22,1.0,46.57756423950195,46.57756423950195,0.0,,1.0,1.0,0.0,2,0.28036250005243346,46.57756423950195,46.57756423950195,0.0,,21.0
23,['3'],3,Images/TMTstop-control_1_1linestimulus20.png,Images/TMTstop-control_1_1greenlinestimulus20.png,Images/TMTstop-control_1_1redlinestimulus20.png,TMT_Control,C1,23,None,1,23,1.0,46.919036865234375,46.919036865234375,0.0,,1.0,1.0,0.0,3,0.2790699999895878,46.919036865234375,46.919036865234375,0.0,,22.0
24,['2'],2,Images/TMTstop-control_1_1linestimulus21.png,Images/TMTstop-control_1_1greenlinestimulus21.png,Images/TMTstop-control_1_1redlinestimulus21.png,TMT_Control,C1,24,None,1,24,1.0,47.259883880615234,47.259883880615234,0.0,,1.0,1.0,0.0,2,0.2720114000258036,47.259883880615234,47.259883880615234,0.0,,23.0
25,['1'],1,Images/TMTstop-control_1_1linestimulus22.png,Images/TMTstop-control_1_1greenlinestimulus22.png,Images/TMTstop-control_1_1redlinestimulus22.png,TMT_Control,C1,25,None,1,25,1.0,47.60179901123047,47.60179901123047,0.0,,1.0,1.0,0.0,1,0.3102743999916129,47.60179901123047,47.60179901123047,0.0,,24.0
None,None,None,Images/TMTstop-control_1_1linestimulus23.png,Images/TMTstop-control_1_1greenlinestimulus23.png,Images/TMTstop-control_1_1redlinestimulus23.png,TMT_Control,C1,Feedback_last,None,1,Feedback_last,1.0,47.97685241699219,47.97685241699219,0.0,,1.0,1.0,0.0,,'--',47.97685241699219,47.97685241699219,0.0,,25.0

extraInfo
participant,
session,001
date,2022_Dec_20_1547
expName,TMT_fmri
psychopyVersion,2021.2.3
frameRate,59.94093422119121
