Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,1,12.808165499998722,None,['2'],1,[2.0049128999962704],12.808165499998722,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,2,0,14.884760500004631,None,"['3', '1']",1,"[0.436950599992997, 2.0201146000035806]",14.884760500004631,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,1,1,17.002497599998605,None,['3'],1,[0.6952503000065917],17.002497599998605,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,1,1,17.780727000004845,None,['1'],1,[0.34661659999983385],17.780727000004845,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,1,1,18.203866600000765,None,['3'],1,[0.29987629999232013],18.203866600000765,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,1,1,18.5788373999967,None,['1'],1,[0.2559103999956278],18.5788373999967,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,1,1,18.91232590000436,None,['2'],1,[0.5441398999973899],18.91232590000436,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,2,0,19.53728950000368,None,"['3', '1']",1,"[0.3655977000016719, 0.6374357000022428]",19.53728950000368,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,2,0,20.27343070000643,None,"['2', '3']",1,"[0.010572600003797561, 0.09583190000557806]",20.27343070000643,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,2,0,20.447503899995354,None,"['1', '2']",1,"[0.037907399993855506, 0.11114689998794347]",20.447503899995354,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,11,['1'],1,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,2,0,20.641780799996923,None,"['3', '1']",1,"[-0.0004741000011563301, 0.11855559999821708]",20.641780799996923,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,12,['2'],2,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,1,12,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,1,1,20.842777900004876,None,['2'],1,[-0.04456719999143388],20.842777900004876,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,1,1,20.925996300007682,None,['3'],1,[-0.03152780000527855],20.925996300007682,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,14,['2'],2,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,2,0,21.00318939999852,None,"['1', '2']",1,"[0.0009662000084063038, 0.05120360000000801]",21.00318939999852,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,1,15,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,1,1,21.162553799993475,None,['3'],1,[-0.03553439999814145],21.162553799993475,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,16,['2'],2,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,TMT_Control,1,16,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,2,0,21.27420400000119,None,"['1', '2']",1,"[-0.030355900002177805, 0.0011101999989477918]",21.27420400000119,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,17,['3'],3,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,TMT_Control,1,17,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,1,1,21.350177300002542,None,['3'],1,[0.016807599997264333],21.350177300002542,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,18,['2'],2,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,TMT_Control,1,18,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,2,0,21.45425609999802,None,"['1', '2']",1,"[0.03810649999650195, 0.09151399999973364]",21.45425609999802,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,19,['1'],1,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,TMT_Control,1,19,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,2,0,21.6415893999947,None,"['3', '1']",1,"[-0.0032543999986955896, 0.11584610000136308]",21.6415893999947,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,20,['3'],3,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,TMT_Control,1,20,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,2,0,21.842953600003966,None,"['2', '3']",1,"[-0.0234403999929782, 0.05912610000814311]",21.842953600003966,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,21,['1'],1,TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,TMT_Control,1,21,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,1,1,21.995719099999405,None,['1'],1,[0.02190709998831153],21.995719099999405,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,22,['2'],2,TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,TMT_Control,1,22,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,1,1,22.09271080000326,None,['2'],1,[-0.011253100004978478],22.09271080000326,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,23,['3'],3,TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,TMT_Control,1,23,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,1,1,22.168995800006087,None,['3'],1,[-0.014777699994738214],22.168995800006087,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,24,['2'],2,TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,TMT_Control,1,24,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,2,0,22.245482500002254,None,"['1', '2']",1,"[0.03435479999461677, 0.0751285000005737]",22.245482500002254,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,25,['1'],1,TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,TMT_Control,1,25,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,2,0,22.40539840000565,None,"['3', '1']",1,"[0.0019745999888982624, 0.11278399999719113]",22.40539840000565,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_1.xlsx,0:26,None,None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,TMT_Control,1,Feedback_last,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,2,0,22.620651599994744,None,"['2', '3']",0,"[-0.04539610000210814, 0.04773360000399407]",22.620651599994744,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_2.xlsx,26:52,1,['2'],2,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMT_Control,2,26,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,1,1,26.765925400002743,None,['2'],1,[0.6088693000056082],26.765925400002743,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_2.xlsx,26:52,2,['3'],3,TMTstop-control_1_2.png,TMTstop-control_1_2firstgreen.png,TMTstop-control_1_2firstred.png,TMT_Control,2,27,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,1,1,27.446917499997653,None,['3'],1,[0.27643269998952746],27.446917499997653,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-Control_1_2.xlsx,26:52,3,['2'],2,TMTstop-control_1_2linestimulus0.png,TMTstop-control_1_2greenlinestimulus0.png,TMTstop-control_1_2redlinestimulus0.png,TMT_Control,2,28,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,0,0,27.79413999999815,None,None,0,,27.79413999999815,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-A_1_1.xlsx,0:26,1,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMT_A,1,1,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,1,33.00194620000548,None,['1'],1,[1.2619273000018438],33.00194620000548,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-A_1_1.xlsx,0:26,2,['3'],3,TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,TMT_A,1,2,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,1,1,34.342498400001205,None,['3'],1,[0.7514541999989888],34.342498400001205,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-A_1_1.xlsx,0:26,3,['1'],1,TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,TMT_A,1,3,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,1,1,35.17589929999667,None,['1'],1,[0.8795456999941962],35.17589929999667,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
TMTstop-A_1_1.xlsx,0:26,4,['3'],3,TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,TMT_A,1,4,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,1,1,36.13463519999641,None,['3'],1,[0.44208660000003874],36.13463519999641,None,,001,2022_Mar_30_1524,TMT_fmri,2021.2.3,143.55976535962884,
