Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,s,1.1116741000005277,10.116433999995934,None,,,,,,,,,,,,,001,2022_May_10_1031,TMT_fmri,2021.2.3,118.71888081568015,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,,,,,,,,,10.116433999995934,None,2,0,11.462440899995272,None,"['1', '2']",1,"[0.5269428999890806, 0.7132852999930037]",11.462440899995272,None,,001,2022_May_10_1031,TMT_fmri,2021.2.3,118.71888081568015,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,,,,,,,,,,,2,0,12.35069680000015,None,"['2', '1']",1,"[0.19888559999526478, 0.27209259998926427]",12.35069680000015,None,,001,2022_May_10_1031,TMT_fmri,2021.2.3,118.71888081568015,
TMTstop-Control_1_1.xlsx,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,,,,,,,,,,,1,1,12.864411899994593,None,['3'],1,[-0.06285580000258051],12.864411899994593,None,,001,2022_May_10_1031,TMT_fmri,2021.2.3,118.71888081568015,
TMTstop-Control_1_1.xlsx,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,,,,,,,,,,,1,1,12.989449899992906,None,['1'],1,[-0.04322160000447184],12.989449899992906,None,,001,2022_May_10_1031,TMT_fmri,2021.2.3,118.71888081568015,
TMTstop-Control_1_1.xlsx,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,,,,,,,,,,,2,0,13.114637199993012,None,"['2', '3']",1,"[-0.09142110000539105, 0.007111900005838834]",13.114637199993012,None,,001,2022_May_10_1031,TMT_fmri,2021.2.3,118.71888081568015,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,,,,,,,,,,,1,1,13.241524400000344,None,['1'],1,[0.0197314999968512],13.241524400000344,None,,001,2022_May_10_1031,TMT_fmri,2021.2.3,118.71888081568015,
TMTstop-Control_1_1.xlsx,0:26,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,,,,,,,,,,,1,1,13.367079699994065,None,['2'],1,[-0.029905500006861985],13.367079699994065,None,,001,2022_May_10_1031,TMT_fmri,2021.2.3,118.71888081568015,
TMTstop-Control_1_1.xlsx,0:26,8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,,,,,,,,,,,0,0,13.507726899988484,None,None,0,,13.507726899988484,None,,001,2022_May_10_1031,TMT_fmri,2021.2.3,118.71888081568015,
TMTstop-Control_1_2.xlsx,26:52,1,['2'],2,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMT_Control,2,26,0,1,1,1,0,0,0,0,,,,,,,,,,,0,0,24.616461799998067,None,None,0,,24.616461799998067,None,,001,2022_May_10_1031,TMT_fmri,2021.2.3,118.71888081568015,
