NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,1.0,16.048513412475586,16.048513412475586,0.0,,1.0,1.0,0.0,3,2,-0.8101133000018308,0.8743375000049127,16.048513412475586,16.048513412475586,0.0,,0.0
2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,1.0,17.125896453857422,17.125896453857422,0.0,,1.0,1.0,0.0,3,2,3,2,1,2,3,1,-0.08203879999928176,0.269326200010255,0.2775875000079395,0.5882426000025589,1.3965488000103505,1.4867182000016328,1.582844800010207,1.7206543000065722,17.125896453857422,17.125896453857422,0.0,,1.0
3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,1.0,18.995399475097656,18.995399475097656,0.0,,1.0,1.0,0.0,2,3,-0.07880189998832066,0.010429000001749955,18.995399475097656,18.995399475097656,0.0,,2.0
4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,1.0,19.123729705810547,19.123729705810547,0.0,,1.0,1.0,0.0,1,0.015802200010512024,19.123729705810547,19.123729705810547,0.0,,3.0
5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,1.0,19.25263786315918,19.25263786315918,0.0,,1.0,1.0,0.0,2,3,-0.026307899999665096,0.04415639999206178,19.25263786315918,19.25263786315918,0.0,,4.0
6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,1.0,19.531816482543945,19.531816482543945,0.0,,1.0,1.0,0.0,1,-0.11133970000082627,19.531816482543945,19.531816482543945,0.0,,5.0
7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,1.0,19.657182693481445,19.657182693481445,0.0,,1.0,1.0,0.0,2,0.02608450000116136,19.657182693481445,19.657182693481445,0.0,,6.0
8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,1.0,19.7845516204834,19.7845516204834,0.0,,1.0,1.0,0.0,1,-0.08959400000458118,19.7845516204834,19.7845516204834,0.0,,7.0
9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,1.0,19.910673141479492,19.910673141479492,0.0,,1.0,1.0,0.0,1,3,0.008773099994868971,0.022819899997557513,19.910673141479492,19.910673141479492,0.0,,8.0
10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,1.0,20.165246963500977,20.165246963500977,0.0,,1.0,1.0,0.0,2,-0.10322119999909773,20.165246963500977,20.165246963500977,0.0,,9.0
