NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['2'],2,TMTstop-B_1_3.png,TMTstop-B_1_3.png,TMTstop-B_1_3.png,TMT_B,3,51,1.0,177.45574951171875,177.45574951171875,0.0,,0.0,0.0,0.0,,177.45574951171875,177.45574951171875,0.0,,0.0
A,['3'],3,TMTstop-B_1_3.png,TMTstop-B_1_3firstgreen.png,TMTstop-B_1_3firstred.png,TMT_B,3,52,0.0,,,,'--',,,,'--',,,,'--',
2,['2'],2,TMTstop-B_1_3linestimulus0.png,TMTstop-B_1_3greenlinestimulus0.png,TMTstop-B_1_3redlinestimulus0.png,TMT_B,3,53,0.0,,,,'--',,,,'--',,,,'--',
B,['1'],1,TMTstop-B_1_3linestimulus1.png,TMTstop-B_1_3greenlinestimulus1.png,TMTstop-B_1_3redlinestimulus1.png,TMT_B,3,54,0.0,,,,'--',,,,'--',,,,'--',
3,['2'],2,TMTstop-B_1_3linestimulus2.png,TMTstop-B_1_3greenlinestimulus2.png,TMTstop-B_1_3redlinestimulus2.png,TMT_B,3,55,0.0,,,,'--',,,,'--',,,,'--',
C,['3'],3,TMTstop-B_1_3linestimulus3.png,TMTstop-B_1_3greenlinestimulus3.png,TMTstop-B_1_3redlinestimulus3.png,TMT_B,3,56,0.0,,,,'--',,,,'--',,,,'--',
4,['2'],2,TMTstop-B_1_3linestimulus4.png,TMTstop-B_1_3greenlinestimulus4.png,TMTstop-B_1_3redlinestimulus4.png,TMT_B,3,57,0.0,,,,'--',,,,'--',,,,'--',
D,['3'],3,TMTstop-B_1_3linestimulus5.png,TMTstop-B_1_3greenlinestimulus5.png,TMTstop-B_1_3redlinestimulus5.png,TMT_B,3,58,0.0,,,,'--',,,,'--',,,,'--',
5,['1'],1,TMTstop-B_1_3linestimulus6.png,TMTstop-B_1_3greenlinestimulus6.png,TMTstop-B_1_3redlinestimulus6.png,TMT_B,3,59,0.0,,,,'--',,,,'--',,,,'--',
E,['3'],3,TMTstop-B_1_3linestimulus7.png,TMTstop-B_1_3greenlinestimulus7.png,TMTstop-B_1_3redlinestimulus7.png,TMT_B,3,60,0.0,,,,'--',,,,'--',,,,'--',
6,['1'],1,TMTstop-B_1_3linestimulus8.png,TMTstop-B_1_3greenlinestimulus8.png,TMTstop-B_1_3redlinestimulus8.png,TMT_B,3,61,0.0,,,,'--',,,,'--',,,,'--',
F,['3'],3,TMTstop-B_1_3linestimulus9.png,TMTstop-B_1_3greenlinestimulus9.png,TMTstop-B_1_3redlinestimulus9.png,TMT_B,3,62,0.0,,,,'--',,,,'--',,,,'--',
7,['2'],2,TMTstop-B_1_3linestimulus10.png,TMTstop-B_1_3greenlinestimulus10.png,TMTstop-B_1_3redlinestimulus10.png,TMT_B,3,63,0.0,,,,'--',,,,'--',,,,'--',
G,['3'],3,TMTstop-B_1_3linestimulus11.png,TMTstop-B_1_3greenlinestimulus11.png,TMTstop-B_1_3redlinestimulus11.png,TMT_B,3,64,0.0,,,,'--',,,,'--',,,,'--',
8,['1'],1,TMTstop-B_1_3linestimulus12.png,TMTstop-B_1_3greenlinestimulus12.png,TMTstop-B_1_3redlinestimulus12.png,TMT_B,3,65,0.0,,,,'--',,,,'--',,,,'--',
H,['2'],2,TMTstop-B_1_3linestimulus13.png,TMTstop-B_1_3greenlinestimulus13.png,TMTstop-B_1_3redlinestimulus13.png,TMT_B,3,66,0.0,,,,'--',,,,'--',,,,'--',
9,['1'],1,TMTstop-B_1_3linestimulus14.png,TMTstop-B_1_3greenlinestimulus14.png,TMTstop-B_1_3redlinestimulus14.png,TMT_B,3,67,0.0,,,,'--',,,,'--',,,,'--',
I,['3'],3,TMTstop-B_1_3linestimulus15.png,TMTstop-B_1_3greenlinestimulus15.png,TMTstop-B_1_3redlinestimulus15.png,TMT_B,3,68,0.0,,,,'--',,,,'--',,,,'--',
10,['2'],2,TMTstop-B_1_3linestimulus16.png,TMTstop-B_1_3greenlinestimulus16.png,TMTstop-B_1_3redlinestimulus16.png,TMT_B,3,69,0.0,,,,'--',,,,'--',,,,'--',
J,['1'],1,TMTstop-B_1_3linestimulus17.png,TMTstop-B_1_3greenlinestimulus17.png,TMTstop-B_1_3redlinestimulus17.png,TMT_B,3,70,0.0,,,,'--',,,,'--',,,,'--',
11,['3'],3,TMTstop-B_1_3linestimulus18.png,TMTstop-B_1_3greenlinestimulus18.png,TMTstop-B_1_3redlinestimulus18.png,TMT_B,3,71,0.0,,,,'--',,,,'--',,,,'--',
K,['1'],1,TMTstop-B_1_3linestimulus19.png,TMTstop-B_1_3greenlinestimulus19.png,TMTstop-B_1_3redlinestimulus19.png,TMT_B,3,72,0.0,,,,'--',,,,'--',,,,'--',
12,['2'],2,TMTstop-B_1_3linestimulus20.png,TMTstop-B_1_3greenlinestimulus20.png,TMTstop-B_1_3redlinestimulus20.png,TMT_B,3,73,0.0,,,,'--',,,,'--',,,,'--',
L,['3'],3,TMTstop-B_1_3linestimulus21.png,TMTstop-B_1_3greenlinestimulus21.png,TMTstop-B_1_3redlinestimulus21.png,TMT_B,3,74,0.0,,,,'--',,,,'--',,,,'--',
13,['2'],2,TMTstop-B_1_3linestimulus22.png,TMTstop-B_1_3greenlinestimulus22.png,TMTstop-B_1_3redlinestimulus22.png,TMT_B,3,75,0.0,,,,'--',,,,'--',,,,'--',
None,None,None,TMTstop-B_1_3linestimulus23.png,TMTstop-B_1_3greenlinestimulus23.png,TMTstop-B_1_3redlinestimulus23.png,TMT_B,3,Feedback_last,0.0,,,,'--',,,,'--',,,,'--',

extraInfo
participant,
session,001
date,2022_May_10_1109
expName,TMT_fmri
psychopyVersion,2021.2.3
frameRate,122.71384113973052
﻿NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['3'],3,TMTstop-B_1_4.png,TMTstop-B_1_4.png,TMTstop-B_1_4.png,TMT_B,4,76,1.0,177.70574951171875,177.70574951171875,0.0,,0.0,0.0,0.0,,177.70574951171875,177.70574951171875,0.0,,0.0
A,['2'],2,TMTstop-B_1_4.png,TMTstop-B_1_4firstgreen.png,TMTstop-B_1_4firstred.png,TMT_B,4,77,0.0,,,,'--',,,,'--',,,,'--',
2,['1'],1,TMTstop-B_1_4linestimulus0.png,TMTstop-B_1_4greenlinestimulus0.png,TMTstop-B_1_4redlinestimulus0.png,TMT_B,4,78,0.0,,,,'--',,,,'--',,,,'--',
B,['2'],2,TMTstop-B_1_4linestimulus1.png,TMTstop-B_1_4greenlinestimulus1.png,TMTstop-B_1_4redlinestimulus1.png,TMT_B,4,79,0.0,,,,'--',,,,'--',,,,'--',
3,['3'],3,TMTstop-B_1_4linestimulus2.png,TMTstop-B_1_4greenlinestimulus2.png,TMTstop-B_1_4redlinestimulus2.png,TMT_B,4,80,0.0,,,,'--',,,,'--',,,,'--',
C,['1'],1,TMTstop-B_1_4linestimulus3.png,TMTstop-B_1_4greenlinestimulus3.png,TMTstop-B_1_4redlinestimulus3.png,TMT_B,4,81,0.0,,,,'--',,,,'--',,,,'--',
