Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Blocks_TMTControl_2.thisRepN,Blocks_TMTControl_2.thisTrialN,Blocks_TMTControl_2.thisN,Blocks_TMTControl_2.thisIndex,trials_TMTControl_2.thisRepN,trials_TMTControl_2.thisTrialN,trials_TMTControl_2.thisN,trials_TMTControl_2.thisIndex,Blocks_TMTA_2.thisRepN,Blocks_TMTA_2.thisTrialN,Blocks_TMTA_2.thisN,Blocks_TMTA_2.thisIndex,trials_TMTA_2.thisRepN,trials_TMTA_2.thisTrialN,trials_TMTA_2.thisN,trials_TMTA_2.thisIndex,Blocks_TMTB_2.thisRepN,Blocks_TMTB_2.thisTrialN,Blocks_TMTB_2.thisN,Blocks_TMTB_2.thisIndex,trials_TMTB_2.thisRepN,trials_TMTB_2.thisTrialN,trials_TMTB_2.thisN,trials_TMTB_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,2.0093627000023844,9.851349299991853,None,,,,,,,,,,,,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.851349299991853,None,6,0,12.091153499990469,None,"['1', '2', '3', '1', '3', '2']",1,"[0.41527270000369754, 0.5951706000050763, 0.6006729000073392, 0.7318628000066383, 0.8565265000070212, 0.8848613000009209]",12.091153499990469,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,13.161484999989625,None,['1'],1,[-0.06784530000004452],13.161484999989625,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,13.286511400001473,None,"['2', '3']",1,"[-0.08374090000870638, -0.07940380000218283]",13.286511400001473,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,13.41306929998973,None,['1'],1,[-0.06832619999477174],13.41306929998973,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,13.540708300002734,None,"['2', '3']",1,"[-0.07696399999258574, -0.06938929999887478]",13.540708300002734,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,13.665555799991125,None,['1'],1,[-0.04989890000433661],13.665555799991125,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,13.80429619998904,None,"['3', '2']",1,"[-0.06431289999454748, -0.05043930000101682]",13.80429619998904,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,13.932727099992917,None,['1'],1,[-0.02600860000529792],13.932727099992917,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,14.074060500002815,None,"['3', '2', '1', '2', '3']",1,"[-0.04683020000811666, -0.009887899999739602, 0.13002069998765364, 0.26037319999886677, 0.2675728999893181]",14.074060500002815,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,14.481291699994472,None,"['1', '3', '2']",1,"[-0.007679600006667897, 0.12037609999242704, 0.12977580000006128]",14.481291699994472,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,11,['1'],1,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,14.749453299999004,None,['1'],1,[-0.0015493999962927774],14.749453299999004,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,12,['2'],2,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,1,12,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,14.887717399993562,None,"['3', '2']",1,"[-0.0162488000059966, 0.00807479998911731]",14.887717399993562,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,15.015868599992245,None,"['1', '3', '2', '1', '3', '2', '1', '3', '2', '1', '3']",1,"[0.02026609999302309, 0.1501602000062121, 0.15481199999339879, 0.2964912000024924, 0.4046758000040427, 0.4241487999970559, 0.5563376000063727, 0.7827061999996658, 0.7925424999993993, 0.9362708999979077, 1.053204800002277]",15.015868599992245,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,14,['2'],2,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,16.24936099999468,None,"['3', '2']",1,"[0.08448150000185706, 0.08897040000010747]",16.24936099999468,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,1,15,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,16.52936210000189,None,"['2', '1', '3', '2', '1', '3']",1,"[-0.0008277000015368685, 0.05187959999602754, 0.19947099999990314, 0.24617270000453573, 0.3862567000032868, 0.5195143000019016]",16.52936210000189,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,16,['2'],2,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,TMT_Control,1,16,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,17.170055499998853,None,['2'],1,[0.006616099999519065],17.170055499998853,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,17,['3'],3,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,TMT_Control,1,17,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,17.296729599998798,None,"['1', '3']",1,"[-0.024072799991699867, 0.09250340001017321]",17.296729599998798,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,18,['2'],2,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,TMT_Control,1,18,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,17.549411100000725,None,['2'],1,[-0.06497890000173356],17.549411100000725,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,19,['1'],1,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,TMT_Control,1,19,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,17.675322999988566,None,['1'],1,[-0.09246060000441503],17.675322999988566,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
TMTstop-Control_1_1.xlsx,0:26,20,['3'],3,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,TMT_Control,1,20,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,17.801669799999218,None,['3'],1,[-0.07807139999931678],17.801669799999218,None,,001,2022_May_10_1115,TMT_fmri,2021.2.3,117.71879805739613,
