NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['3'],3,TMTstop-control_1_5.png,TMTstop-control_1_5.png,TMTstop-control_1_5.png,TMT_Control,5,101,1.0,185.99041748046875,185.99041748046875,0.0,,0.0,0.0,0.0,,185.99041748046875,185.99041748046875,0.0,,0.0
2,['2'],2,TMTstop-control_1_5.png,TMTstop-control_1_5firstgreen.png,TMTstop-control_1_5firstred.png,TMT_Control,5,102,0.0,,,,'--',,,,'--',,,,'--',
3,['1'],1,TMTstop-control_1_5linestimulus0.png,TMTstop-control_1_5greenlinestimulus0.png,TMTstop-control_1_5redlinestimulus0.png,TMT_Control,5,103,0.0,,,,'--',,,,'--',,,,'--',
4,['3'],3,TMTstop-control_1_5linestimulus1.png,TMTstop-control_1_5greenlinestimulus1.png,TMTstop-control_1_5redlinestimulus1.png,TMT_Control,5,104,0.0,,,,'--',,,,'--',,,,'--',
5,['1'],1,TMTstop-control_1_5linestimulus2.png,TMTstop-control_1_5greenlinestimulus2.png,TMTstop-control_1_5redlinestimulus2.png,TMT_Control,5,105,0.0,,,,'--',,,,'--',,,,'--',
6,['2'],2,TMTstop-control_1_5linestimulus3.png,TMTstop-control_1_5greenlinestimulus3.png,TMTstop-control_1_5redlinestimulus3.png,TMT_Control,5,106,0.0,,,,'--',,,,'--',,,,'--',
7,['3'],3,TMTstop-control_1_5linestimulus4.png,TMTstop-control_1_5greenlinestimulus4.png,TMTstop-control_1_5redlinestimulus4.png,TMT_Control,5,107,0.0,,,,'--',,,,'--',,,,'--',
8,['2'],2,TMTstop-control_1_5linestimulus4.png,TMTstop-control_1_5greenlinestimulus5.png,TMTstop-control_1_5redlinestimulus5.png,TMT_Control,5,108,0.0,,,,'--',,,,'--',,,,'--',
9,['1'],1,TMTstop-control_1_5linestimulus6.png,TMTstop-control_1_5greenlinestimulus6.png,TMTstop-control_1_5redlinestimulus6.png,TMT_Control,5,109,0.0,,,,'--',,,,'--',,,,'--',
10,['2'],2,TMTstop-control_1_5linestimulus7.png,TMTstop-control_1_5greenlinestimulus7.png,TMTstop-control_1_5redlinestimulus7.png,TMT_Control,5,110,0.0,,,,'--',,,,'--',,,,'--',
11,['1'],1,TMTstop-control_1_5linestimulus8.png,TMTstop-control_1_5greenlinestimulus8.png,TMTstop-control_1_5redlinestimulus8.png,TMT_Control,5,111,0.0,,,,'--',,,,'--',,,,'--',
12,['3'],3,TMTstop-control_1_5linestimulus9.png,TMTstop-control_1_5greenlinestimulus9.png,TMTstop-control_1_5redlinestimulus9.png,TMT_Control,5,112,0.0,,,,'--',,,,'--',,,,'--',
13,['2'],2,TMTstop-control_1_5linestimulus10.png,TMTstop-control_1_5greenlinestimulus10.png,TMTstop-control_1_5redlinestimulus10.png,TMT_Control,5,113,0.0,,,,'--',,,,'--',,,,'--',
14,['3'],3,TMTstop-control_1_5linestimulus11.png,TMTstop-control_1_5greenlinestimulus11.png,TMTstop-control_1_5redlinestimulus11.png,TMT_Control,5,114,0.0,,,,'--',,,,'--',,,,'--',
15,['1'],1,TMTstop-control_1_5linestimulus12.png,TMTstop-control_1_5greenlinestimulus12.png,TMTstop-control_1_5redlinestimulus12.png,TMT_Control,5,115,0.0,,,,'--',,,,'--',,,,'--',
16,['2'],2,TMTstop-control_1_5linestimulus13.png,TMTstop-control_1_5greenlinestimulus13.png,TMTstop-control_1_5redlinestimulus13.png,TMT_Control,5,116,0.0,,,,'--',,,,'--',,,,'--',
17,['3'],3,TMTstop-control_1_5linestimulus14.png,TMTstop-control_1_5greenlinestimulus14.png,TMTstop-control_1_5redlinestimulus14.png,TMT_Control,5,117,0.0,,,,'--',,,,'--',,,,'--',
18,['1'],1,TMTstop-control_1_5linestimulus15.png,TMTstop-control_1_5greenlinestimulus15.png,TMTstop-control_1_5redlinestimulus15.png,TMT_Control,5,118,0.0,,,,'--',,,,'--',,,,'--',
19,['2'],2,TMTstop-control_1_5linestimulus16.png,TMTstop-control_1_5greenlinestimulus16.png,TMTstop-control_1_5redlinestimulus16.png,TMT_Control,5,119,0.0,,,,'--',,,,'--',,,,'--',
20,['1'],1,TMTstop-control_1_5linestimulus17.png,TMTstop-control_1_5greenlinestimulus17.png,TMTstop-control_1_5redlinestimulus17.png,TMT_Control,5,120,0.0,,,,'--',,,,'--',,,,'--',
21,['2'],2,TMTstop-control_1_5linestimulus18.png,TMTstop-control_1_5greenlinestimulus18.png,TMTstop-control_1_5redlinestimulus18.png,TMT_Control,5,121,0.0,,,,'--',,,,'--',,,,'--',
22,['1'],1,TMTstop-control_1_5linestimulus19.png,TMTstop-control_1_5greenlinestimulus19.png,TMTstop-control_1_5redlinestimulus19.png,TMT_Control,5,122,0.0,,,,'--',,,,'--',,,,'--',
23,['3'],3,TMTstop-control_1_5linestimulus20.png,TMTstop-control_1_5greenlinestimulus20.png,TMTstop-control_1_5redlinestimulus20.png,TMT_Control,5,123,0.0,,,,'--',,,,'--',,,,'--',
