Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,s,1.5139856999885524,9.832875799998874,None,,,,,,,,,,,,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,,,,,9.832875799998874,None,2,0,11.53351069999917,None,"['3', '2']",1,"[1.9322653999988688, 2.3609880000003614]",11.53351069999917,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,,,,,,,1,1,13.94448679999914,None,['1'],1,[0.31091259999084286],13.94448679999914,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,,,,,,,2,0,14.319341800000984,None,"['2', '3']",1,"[0.17794549999234732, 0.1857875999994576]",14.319341800000984,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,,,,,,,1,1,14.610785600001691,None,['1'],1,[0.0028097999893361703],14.610785600001691,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,,,,,,,1,1,14.69370259999414,None,['3'],1,[0.07176829999662004],14.69370259999414,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,,,,,,,2,0,14.831092599997646,None,"['2', '1']",1,"[-0.037060000002384186, 0.09073609999904875]",14.831092599997646,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,,,,,,,2,0,14.986149099990143,None,"['3', '2']",1,"[0.0735487999918405, 0.10295179999957327]",14.986149099990143,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,,,,,,,1,1,15.178608499991242,None,['1'],1,[0.02963150000141468],15.178608499991242,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,0,0,0,0,8,8,8,,,,,,,5,0,15.26749889999337,None,"['3', '2', '1', '2', '3']",1,"[0.08945099999255035, 0.09407209999335464, 0.2449027999973623, 0.41421859999536537, 0.41886320000048727]",15.26749889999337,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,0,0,0,0,0,9,9,9,,,,,,,2,0,15.78200759999163,None,"['1', '2']",1,"[0.06007120000140276, 0.20968439998978283]",15.78200759999163,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,11,['1'],1,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,0,0,0,0,0,10,10,10,,,,,,,1,1,16.055458000002545,None,['1'],1,[0.11352440000337083],16.055458000002545,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,12,['2'],2,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,1,12,0,0,0,0,0,11,11,11,,,,,,,2,0,16.22178690000146,None,"['3', '2']",1,"[0.09212919999845326, 0.18156339999404736]",16.22178690000146,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,0,0,0,0,0,12,12,12,,,,,,,3,0,16.487258900000597,None,"['1', '2', '3']",1,"[0.011441199996625073, 0.13438019999011885, 0.13888079999014735]",16.487258900000597,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,14,['2'],2,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,0,0,0,0,0,13,13,13,,,,,,,6,0,16.716321999992942,None,"['1', '2', '3', '1', '3', '2']",1,"[0.06725950000691228, 0.24525950000679586, 0.24995160000980832, 0.41040730000531767, 0.5845732000016142, 0.5892959000047995]",16.716321999992942,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
