Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,s,2.0978881000046385,9.389505800005281,None,,,,,,,,,,,,,,001,2022_May_10_1929,TMT_fmri,2021.2.3,59.91507636929429,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,,,,,9.389505800005281,None,1,1,1.4979040999896824,11.674159000001964,None,['2'],1,[1.3059741999895778],11.674159000001964,None,,001,2022_May_10_1929,TMT_fmri,2021.2.3,59.91507636929429,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,,,,,,,2,0,2.5281463999999687,13.050255500013009,None,"['3', '1']",1,"[0.5034836999984691, 0.972988900000928]",13.050255500013009,None,,001,2022_May_10_1929,TMT_fmri,2021.2.3,59.91507636929429,
TMTstop-Control_1_1.xlsx,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,,,,,,,2,0,3.3480279999930644,14.07166730001336,None,"['2', '3']",1,"[0.28763940000499133, 0.761913900001673]",14.07166730001336,None,,001,2022_May_10_1929,TMT_fmri,2021.2.3,59.91507636929429,
TMTstop-Control_1_1.xlsx,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,,,,,,,1,1,3.7993152999988524,14.892836600003648,None,['1'],1,[0.39106329999049194],14.892836600003648,None,,001,2022_May_10_1929,TMT_fmri,2021.2.3,59.91507636929429,
TMTstop-Control_1_1.xlsx,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,,,,,,,2,0,4.245221899996977,15.351512200009893,None,"['2', '3']",1,"[0.16374980000546202, 0.3643305000005057]",15.351512200009893,None,,001,2022_May_10_1929,TMT_fmri,2021.2.3,59.91507636929429,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,,,,,,,1,1,4.495349199991324,15.789771600000677,None,['1'],1,[0.1873217999964254],15.789771600000677,None,,001,2022_May_10_1929,TMT_fmri,2021.2.3,59.91507636929429,
TMTstop-Control_1_1.xlsx,0:26,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,,,,,,,1,1,4.68750590000127,16.048235400012345,None,['2'],1,[0.12953040000866167],16.048235400012345,None,,001,2022_May_10_1929,TMT_fmri,2021.2.3,59.91507636929429,
TMTstop-Control_1_1.xlsx,0:26,8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,,,,,,,2,0,5.0495219000004,16.239653600001475,None,"['3', '1']",1,"[0.07058430000324734, 0.2550377000006847]",16.239653600001475,None,,001,2022_May_10_1929,TMT_fmri,2021.2.3,59.91507636929429,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,0,0,0,0,8,8,8,,,,,,,2,0,6.004242299997713,16.594289800006663,None,"['1', '3']",1,"[0.6272127000120236, 0.899756900005741]",16.594289800006663,None,,001,2022_May_10_1929,TMT_fmri,2021.2.3,59.91507636929429,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,0,0,0,0,0,9,9,9,,,,,,,1,1,6.454374099994311,17.548872900006245,None,['2'],1,[0.3974488000094425],17.548872900006245,None,,001,2022_May_10_1929,TMT_fmri,2021.2.3,59.91507636929429,
