NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,n,Stim_2.started_mean,Stim_2.started_raw,Stim_2.started_std,Stim_2.stopped_raw,key_resp_8.corr_mean,key_resp_8.corr_raw,key_resp_8.corr_std,key_resp_8.keys_raw,key_resp_8.rt_raw,key_resp_8.started_mean,key_resp_8.started_raw,key_resp_8.started_std,key_resp_8.stopped_raw,order
1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,1,1,1.0,27.889738082885742,27.889738082885742,0.0,,1.0,1.0,0.0,2,1.5532458999950904,27.889738082885742,27.889738082885742,0.0,,0.0
2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,None,1,1.0,29.499839782714844,29.499839782714844,0.0,,1.0,1.0,0.0,1,1.0284522000001743,29.499839782714844,29.499839782714844,0.0,,1.0
3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,None,1,1.0,30.592185974121094,30.592185974121094,0.0,,1.0,1.0,0.0,3,0.8024588999978732,30.592185974121094,30.592185974121094,0.0,,2.0
4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,None,1,1.0,31.45439910888672,31.45439910888672,0.0,,1.0,1.0,0.0,1,0.6453644000066561,31.45439910888672,31.45439910888672,0.0,,3.0
5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,None,1,1.0,32.162940979003906,32.162940979003906,0.0,,1.0,1.0,0.0,3,0.39455639999505365,32.162940979003906,32.162940979003906,0.0,,4.0
6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,None,1,1.0,32.621070861816406,32.621070861816406,0.0,,1.0,1.0,0.0,1,0.24265910000394797,32.621070861816406,32.621070861816406,0.0,,5.0
7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,None,1,1.0,32.92939758300781,32.92939758300781,0.0,,1.0,1.0,0.0,2,0.3201580999957514,32.92939758300781,32.92939758300781,0.0,,6.0
8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,None,1,1.0,33.320613861083984,33.320613861083984,0.0,,1.0,1.0,0.0,1,0.34576360000210116,33.320613861083984,33.320613861083984,0.0,,7.0
9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,None,1,1.0,33.729034423828125,33.729034423828125,0.0,,1.0,1.0,0.0,3,0.5548374999998487,33.729034423828125,33.729034423828125,0.0,,8.0
10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,None,1,1.0,34.35419845581055,34.35419845581055,0.0,,1.0,1.0,0.0,2,0.36100810000061756,34.35419845581055,34.35419845581055,0.0,,9.0
