Block_file,Condition_rows,Round,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Block,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_baseline1.thisRepN,trials_baseline1.thisTrialN,trials_baseline1.thisN,trials_baseline1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim_2.started,Stim_2.stopped,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,s,1.0915082999999868,13.054241000005277,None,,,,,,,,,,,,,,001,2022_Nov_17_1906,TMT_fmri,2021.2.3,144.219398070852,
TMTstop-Control_1_1.xlsx,0:26,1,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,1,0,0,0,0,0,0,0,0,,,,,13.054241000005277,None,2,0,2.1227295999997295,27.948813000009977,None,"['1', '2']",1,"[1.7246949999971548, 1.8219851000030758]",27.948813000009977,None,,001,2022_Nov_17_1906,TMT_fmri,2021.2.3,144.219398070852,
TMTstop-Control_1_1.xlsx,0:26,None,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,1,0,0,0,0,0,1,1,1,,,,,,,5,0,2.646002099994803,29.84687570000824,None,"['3', '1', '2', '3', '1']",1,"[0.07420650000858586, 0.2115068999992218, 0.2663405000057537, 0.38105900000664406, 0.46899480000138283]",29.84687570000824,None,,001,2022_Nov_17_1906,TMT_fmri,2021.2.3,144.219398070852,
TMTstop-Control_1_1.xlsx,0:26,None,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,1,0,0,0,0,0,2,2,2,,,,,,,2,0,2.825236299991957,30.369189100005315,None,"['2', '3']",1,"[0.07291679999616463, 0.1027192999899853]",30.369189100005315,None,,001,2022_Nov_17_1906,TMT_fmri,2021.2.3,144.219398070852,
TMTstop-Control_1_1.xlsx,0:26,None,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,1,0,0,0,0,0,3,3,3,,,,,,,0,0,,30.563209700005245,None,None,0,,30.563209700005245,None,,001,2022_Nov_17_1906,TMT_fmri,2021.2.3,144.219398070852,
TMTstop-Control_1_2.xlsx,26:52,None,1,['2'],2,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMT_Control,2,26,1,0,1,1,1,0,0,0,0,,,,,,,1,1,53.65791209999588,78.21505759999854,None,['2'],1,[3.1147057999914978],78.21505759999854,None,,001,2022_Nov_17_1906,TMT_fmri,2021.2.3,144.219398070852,
TMTstop-Control_1_2.xlsx,26:52,None,2,['3'],3,TMTstop-control_1_2.png,TMTstop-control_1_2firstgreen.png,TMTstop-control_1_2firstred.png,TMT_Control,2,27,1,0,1,1,1,0,1,1,1,,,,,,,1,1,54.05476529999578,81.38125820001005,None,['3'],1,[0.34241219999967143],81.38125820001005,None,,001,2022_Nov_17_1906,TMT_fmri,2021.2.3,144.219398070852,
TMTstop-Control_1_2.xlsx,26:52,None,3,['2'],2,TMTstop-control_1_2linestimulus0.png,TMTstop-control_1_2greenlinestimulus0.png,TMTstop-control_1_2redlinestimulus0.png,TMT_Control,2,28,1,0,1,1,1,0,2,2,2,,,,,,,2,0,54.51710289999028,81.77774910000153,None,"['3', '2']",1,"[0.21672989999933634, 0.3961475999967661]",81.77774910000153,None,,001,2022_Nov_17_1906,TMT_fmri,2021.2.3,144.219398070852,
TMTstop-Control_1_2.xlsx,26:52,None,4,['3'],3,TMTstop-control_1_2linestimulus1.png,TMTstop-control_1_2greenlinestimulus1.png,TMTstop-control_1_2redlinestimulus1.png,TMT_Control,2,29,1,0,1,1,1,0,3,3,3,,,,,,,5,0,55.271175099987886,82.24775530000625,None,"['1', '2', '1', '2', '3']",1,"[0.12525779999850783, 0.12909509999735747, 0.4000808999990113, 0.6578970999980811, 0.6702955999935511]",82.24775530000625,None,,001,2022_Nov_17_1906,TMT_fmri,2021.2.3,144.219398070852,
TMTstop-Control_1_2.xlsx,26:52,None,5,['2'],2,TMTstop-control_1_2linestimulus2.png,TMTstop-control_1_2greenlinestimulus2.png,TMTstop-control_1_2redlinestimulus2.png,TMT_Control,2,30,1,0,1,1,1,0,4,4,4,,,,,,,1,1,55.68335149998893,82.9913910000032,None,['2'],1,[0.3672684000048321],82.9913910000032,None,,001,2022_Nov_17_1906,TMT_fmri,2021.2.3,144.219398070852,
