Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_baseline1.thisRepN,Blocks_baseline1.thisTrialN,Blocks_baseline1.thisN,Blocks_baseline1.thisIndex,trials_baseline1.thisRepN,trials_baseline1.thisTrialN,trials_baseline1.thisN,trials_baseline1.thisIndex,Blocks_TMT.thisRepN,Blocks_TMT.thisTrialN,Blocks_TMT.thisN,Blocks_TMT.thisIndex,Blocks_baseline2.thisRepN,Blocks_baseline2.thisTrialN,Blocks_baseline2.thisN,Blocks_baseline2.thisIndex,trials_baseline2.thisRepN,trials_baseline2.thisTrialN,trials_baseline2.thisN,trials_baseline2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim_2.started,Stim_2.stopped,key_resp_8.keys,key_resp_8.corr,key_resp_8.started,key_resp_8.stopped,ResponseClock,key_resp_8.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.447006499991403,14.045353199995589,None,,,,,,,,,,,,,,001,2022_Nov_17_2116,TMT_fmri,2021.2.3,59.916907235084444,
C1,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,14.045353199995589,None,0,0,29.223239099999773,None,None,0,29.223239099999773,None,,,,001,2022_Nov_17_2116,TMT_fmri,2021.2.3,59.916907235084444,
C3,52:78,1,['2'],2,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMT_Control,C3,51,2,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,1,82.9557877000043,None,['2'],1,82.9557877000043,None,78.16691329999594,[24.205611299999873],,001,2022_Nov_17_2116,TMT_fmri,2021.2.3,59.916907235084444,
C3,52:78,2,['1'],1,TMTstop-control_1_3.png,TMTstop-control_1_3firstgreen.png,TMTstop-control_1_3firstred.png,TMT_Control,C3,52,None,1,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,2,0,107.22456729999976,None,"['3', '1']",1,107.22456729999976,None,80.42644509999081,"[0.3871130000043195, 2.1801198000030126]",,001,2022_Nov_17_2116,TMT_fmri,2021.2.3,59.916907235084444,
C3,52:78,3,['2'],2,TMTstop-control_1_3linestimulus0.png,TMTstop-control_1_3greenlinestimulus0.png,TMTstop-control_1_3redlinestimulus0.png,TMT_Control,C3,53,None,1,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,0,0,109.47712929999398,None,None,0,109.47712929999398,None,,,,001,2022_Nov_17_2116,TMT_fmri,2021.2.3,59.916907235084444,
C4,78:104,1,['2'],2,TMTstop-control_1_4.png,TMTstop-control_1_4.png,TMTstop-control_1_4.png,TMT_Control,C4,76,None,1,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,2,0,157.21643899999617,None,"['1', '2']",1,157.21643899999617,None,136.7668435999949,"[8.459221899989643, 8.532992199994624]",,001,2022_Nov_17_2116,TMT_fmri,2021.2.3,59.916907235084444,
C4,78:104,2,['1'],1,TMTstop-control_1_4.png,TMTstop-control_1_4firstgreen.png,TMTstop-control_1_4firstred.png,TMT_Control,C4,77,None,1,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,5,0,165.8165927999944,None,"['3', '1', '2', '3', '1']",1,165.8165927999944,None,137.29735769999388,"[0.007802900014212355, 0.18885460001183674, 0.2307963000057498, 0.323498900004779, 0.47121320001315325]",,001,2022_Nov_17_2116,TMT_fmri,2021.2.3,59.916907235084444,
C4,78:104,3,['3'],3,TMTstop-control_1_4linestimulus0.png,TMTstop-control_1_4greenlinestimulus0.png,TMTstop-control_1_4redlinestimulus0.png,TMT_Control,C4,78,None,1,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,2,0,166.35001159999229,None,"['2', '3']",1,166.35001159999229,None,137.45322169999417,"[-0.014576200002920814, 0.0730868999962695]",,001,2022_Nov_17_2116,TMT_fmri,2021.2.3,59.916907235084444,
C4,78:104,4,['1'],1,TMTstop-control_1_4linestimulus1.png,TMTstop-control_1_4greenlinestimulus1.png,TMTstop-control_1_4redlinestimulus1.png,TMT_Control,C4,79,None,1,,,,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,1,1,166.50520179999876,None,['1'],1,166.50520179999876,None,137.60521979999612,[0.09382429999823216],,001,2022_Nov_17_2116,TMT_fmri,2021.2.3,59.916907235084444,
C4,78:104,5,['3'],3,TMTstop-control_1_4linestimulus2.png,TMTstop-control_1_4greenlinestimulus2.png,TMTstop-control_1_4redlinestimulus2.png,TMT_Control,C4,80,None,1,,,,,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,2,0,166.6553217000037,None,"['2', '3']",1,166.6553217000037,None,137.78818649999448,"[0.028885000006994233, 0.08662400000321213]",,001,2022_Nov_17_2116,TMT_fmri,2021.2.3,59.916907235084444,
C4,78:104,6,['1'],1,TMTstop-control_1_4linestimulus3.png,TMTstop-control_1_4greenlinestimulus3.png,TMTstop-control_1_4redlinestimulus3.png,TMT_Control,C4,81,None,1,,,,,,,,,,,,,0,1,1,1,0,5,5,5,,,,,,,1,1,166.83895599999232,None,['1'],1,166.83895599999232,None,137.92229779998888,[0.08070649999717716],,001,2022_Nov_17_2116,TMT_fmri,2021.2.3,59.916907235084444,
C4,78:104,7,['3'],3,TMTstop-control_1_4linestimulus4.png,TMTstop-control_1_4greenlinestimulus4.png,TMTstop-control_1_4redlinestimulus4.png,TMT_Control,C4,82,None,1,,,,,,,,,,,,,0,1,1,1,0,6,6,6,,,,,,,2,0,166.97235409999848,None,"['2', '3']",1,166.97235409999848,None,138.08326139999554,"[-0.0047664000012446195, 0.08126209999318235]",,001,2022_Nov_17_2116,TMT_fmri,2021.2.3,59.916907235084444,
C4,78:104,8,['1'],1,TMTstop-control_1_4linestimulus4.png,TMTstop-control_1_4greenlinestimulus5.png,TMTstop-control_1_4redlinestimulus5.png,TMT_Control,C4,83,None,1,,,,,,,,,,,,,0,1,1,1,0,7,7,7,,,,,,,1,1,167.13329779999913,None,['1'],1,167.13329779999913,None,138.21622649999335,[0.08197899999504443],,001,2022_Nov_17_2116,TMT_fmri,2021.2.3,59.916907235084444,
C4,78:104,9,['3'],3,TMTstop-control_1_4linestimulus6.png,TMTstop-control_1_4greenlinestimulus6.png,TMTstop-control_1_4redlinestimulus6.png,TMT_Control,C4,84,None,1,,,,,,,,,,,,,0,1,1,1,0,8,8,8,,,,,,,2,0,167.2661778000038,None,"['2', '3']",1,167.2661778000038,None,138.36674420000054,"[0.007474099998944439, 0.09936599999491591]",,001,2022_Nov_17_2116,TMT_fmri,2021.2.3,59.916907235084444,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
